range_end_m,entry_end_h,profit_pct,stop_pct,direction,is_m,is_md,oos_m,oos_md,oos_pos,oos_ns
20,10,0.01,0.015,long,-0.145,0.27,-0.166,-0.335,13,30
20,10,0.01,0.015,short,1.127,1.3,-0.462,-0.64,10,30
20,10,0.015,0.005,both,0.403,0.435,0.434,0.595,19,30
20,10,0.015,0.005,long,-0.195,-0.295,0.171,0.125,16,30
20,10,0.015,0.005,short,1.035,0.985,0.56,0.77,20,30
20,10,0.015,0.01,both,0.413,0.615,0.133,-0.25,12,30
20,10,0.015,0.01,long,0.117,0.125,0.051,-0.365,13,30
20,10,0.015,0.01,short,0.769,0.745,0.146,0.055,16,30
20,10,0.015,0.015,both,0.318,0.35,-0.201,-0.595,10,30
20,10,0.015,0.015,long,-0.122,0.17,-0.204,-0.68,12,30
20,10,0.015,0.015,short,0.799,0.725,-0.196,-0.225,13,30
20,10,0.02,0.005,both,0.493,0.445,0.554,0.585,20,30
20,10,0.02,0.005,long,0.181,0.11,0.273,0.32,17,30
20,10,0.02,0.005,short,0.885,0.82,0.704,0.81,22,30
20,10,0.02,0.01,both,0.459,0.675,0.246,-0.09,13,30
20,10,0.02,0.01,long,0.346,0.48,0.154,0.13,16,30
20,10,0.02,0.01,short,0.663,0.725,0.262,0.115,16,30
20,10,0.02,0.015,both,0.38,0.545,-0.08,-0.395,12,30
20,10,0.02,0.015,long,0.067,0.43,-0.089,-0.41,14,30
20,10,0.02,0.015,short,0.735,0.645,-0.062,-0.125,14,30
20,10,0.03,0.005,both,0.535,0.645,0.515,0.53,22,30
20,10,0.03,0.005,long,0.407,0.285,0.375,0.6,20,30
20,10,0.03,0.005,short,0.747,0.625,0.545,0.595,19,30
20,10,0.03,0.01,both,0.478,0.8,0.195,0.075,15,30
20,10,0.03,0.01,long,0.535,0.74,0.131,0.145,18,30
20,10,0.03,0.01,short,0.493,0.84,0.217,0.095,17,30
20,10,0.03,0.015,both,0.409,0.44,-0.063,-0.205,13,30
20,10,0.03,0.015,long,0.264,0.415,-0.069,-0.145,15,30
20,10,0.03,0.015,short,0.59,0.56,-0.036,-0.08,13,30
20,11,0.01,0.005,both,0.527,0.59,0.665,0.8,19,30
20,11,0.01,0.005,long,-0.347,-0.225,0.725,0.88,25,30
20,11,0.01,0.005,short,1.265,1.43,0.664,0.925,21,30
20,11,0.01,0.01,both,0.462,0.455,0.271,-0.11,13,30
20,11,0.01,0.01,long,-0.092,0.07,0.464,0.005,15,30
20,11,0.01,0.01,short,1.014,0.955,0.271,0.38,17,30
20,11,0.01,0.015,both,0.316,0.425,-0.067,-0.285,10,30
20,11,0.01,0.015,long,-0.297,-0.175,0.147,-0.23,12,30
20,11,0.01,0.015,short,0.96,1.175,-0.05,-0.27,13,30
20,11,0.015,0.005,both,0.373,0.075,0.682,0.66,21,30
20,11,0.015,0.005,long,-0.198,-0.245,0.4,0.1,16,30
20,11,0.015,0.005,short,0.86,0.74,0.936,1.045,23,30
20,11,0.015,0.01,both,0.333,0.37,0.392,-0.1,15,30
20,11,0.015,0.01,long,-0.01,0.03,0.303,0.19,18,30
20,11,0.015,0.01,short,0.633,0.82,0.598,0.56,18,30
20,11,0.015,0.015,both,0.243,0.17,0.077,-0.18,11,30
20,11,0.015,0.015,long,-0.197,0.095,0.113,-0.2,15,30
20,11,0.015,0.015,short,0.65,0.56,0.223,0.21,17,30
20,11,0.02,0.005,both,0.474,0.35,0.796,0.73,23,30
20,11,0.02,0.005,long,0.193,0.205,0.51,0.515,17,30
20,11,0.02,0.005,short,0.708,0.74,1.042,1.15,21,30
20,11,0.02,0.01,both,0.422,0.525,0.497,0.11,16,30
20,11,0.02,0.01,long,0.265,0.265,0.406,0.41,20,30
20,11,0.02,0.01,short,0.556,0.68,0.679,0.23,18,30
20,11,0.02,0.015,both,0.351,0.36,0.198,-0.055,13,30
20,11,0.02,0.015,long,0.062,-0.055,0.227,-0.165,14,30
20,11,0.02,0.015,short,0.613,0.545,0.312,0.29,17,30
20,11,0.03,0.005,both,0.514,0.7,0.697,0.76,22,30
20,11,0.03,0.005,long,0.384,0.34,0.556,0.545,18,30
20,11,0.03,0.005,short,0.593,0.68,0.822,0.875,22,30
20,11,0.03,0.01,both,0.439,0.555,0.364,0.255,16,30
20,11,0.03,0.01,long,0.452,0.61,0.349,0.215,18,30
20,11,0.03,0.01,short,0.374,0.4,0.509,0.35,17,30
20,11,0.03,0.015,both,0.381,0.355,0.123,-0.025,13,30
20,11,0.03,0.015,long,0.263,0.43,0.214,-0.17,14,30
20,11,0.03,0.015,short,0.458,0.555,0.199,0.16,16,30
