date,slot,vol,fwd_bps,med20,vol_ratio,sym
2025-08-01,09:00-09:30,179800.0,38.45332193975537,107950.0,1.665585919407133,5711.T
2025-08-04,09:00-09:30,98600.0,10.787486515642097,107950.0,0.9133858267716536,5711.T
2025-08-05,09:00-09:30,99600.0,103.79156958271629,102100.0,0.9755142017629774,5711.T
2025-08-06,09:00-09:30,143400.0,18.757815756564877,102100.0,1.404505386875612,5711.T
2025-08-07,09:00-09:30,111200.0,2.0777062123422674,107950.0,1.0301065308012969,5711.T
2025-08-08,09:00-09:30,785700.0,-137.9310344827589,107800.0,7.288497217068645,5711.T
2025-08-12,09:00-09:30,183100.0,38.42264914054594,111350.0,1.6443646160754377,5711.T
2025-08-13,09:00-09:30,296200.0,64.15396952686558,111350.0,2.660080826223619,5711.T
2025-08-14,09:00-09:30,122600.0,22.217733791152217,112350.0,1.0912327547841567,5711.T
2025-08-15,09:00-09:30,87400.0,12.185215272135785,117900.0,0.741306191687871,5711.T
2025-08-18,09:00-09:30,195900.0,-7.840062720502194,117900.0,1.6615776081424936,5711.T
2025-08-19,09:00-09:30,152100.0,-40.903778730034816,133000.0,1.143609022556391,5711.T
2025-08-20,09:00-09:30,346300.0,-131.2994786638344,144850.0,2.390749050742147,5711.T
2025-08-21,09:00-09:30,115600.0,-25.545293770878885,147750.0,0.7824027072758037,5711.T
2025-08-22,09:00-09:30,139400.0,-3.92233771327688,133000.0,1.0481203007518798,5711.T
2025-08-25,09:00-09:30,180300.0,-15.570260801868185,131000.0,1.3763358778625954,5711.T
2025-08-26,09:00-09:30,119200.0,-72.72012578616315,141400.0,0.842998585572843,5711.T
2025-08-27,09:00-09:30,74800.0,25.495195136300275,141400.0,0.5289957567185289,5711.T
2025-08-28,09:00-09:30,88600.0,0.0,141400.0,0.6265912305516266,5711.T
2025-08-29,09:00-09:30,85900.0,7.875566056310124,141400.0,0.6074964639321075,5711.T
2025-09-01,09:00-09:30,117900.0,45.29342260732649,131000.0,0.9,5711.T
2025-09-02,09:00-09:30,125500.0,-31.061929722383532,120900.0,1.0380479735318444,5711.T
2025-09-03,09:00-09:30,203100.0,21.064726158559477,124050.0,1.6372430471584039,5711.T
2025-09-04,09:00-09:30,242200.0,0.0,132450.0,1.8286145715364288,5711.T
2025-09-05,09:00-09:30,161100.0,-55.41754251863207,132450.0,1.216308040770102,5711.T
2025-09-08,09:00-09:30,174100.0,26.871401151631336,145750.0,1.1945111492281304,5711.T
2025-09-09,09:00-09:30,104900.0,26.917900403768957,145750.0,0.7197255574614065,5711.T
2025-09-10,09:00-09:30,109800.0,-38.85758694385122,132450.0,0.8289920724801813,5711.T
2025-09-11,09:00-09:30,93800.0,-3.886513797124458,124050.0,0.7561467150342603,5711.T
2025-09-12,09:00-09:30,319800.0,-49.73221117061999,122350.0,2.6138128320392315,5711.T
2025-09-16,09:00-09:30,70600.0,-13.466717968448894,132450.0,0.5330313325783315,5711.T
2025-09-17,09:00-09:30,139300.0,45.696877380045905,122350.0,1.138536984062117,5711.T
2025-09-18,09:00-09:30,143300.0,24.9520153550864,122350.0,1.1712300776460973,5711.T
2025-09-19,09:00-09:30,129000.0,-51.59564303458875,122350.0,1.0543522680833675,5711.T
2025-09-22,09:00-09:30,86400.0,5.738332058149442,127250.0,0.6789783889980353,5711.T
2025-09-24,09:00-09:30,179800.0,-13.310515307092263,122350.0,1.4695545565999182,5711.T
2025-09-25,09:00-09:30,1243900.0,-84.27469965931466,122350.0,10.1667347772783,5711.T
2025-09-26,09:00-09:30,490800.0,-21.238938053097513,127250.0,3.8569744597249507,5711.T
2025-09-29,09:00-09:30,329400.0,36.5430294171376,134150.0,2.455460305628028,5711.T
2025-09-30,09:00-09:30,272400.0,-7.199424046075986,141300.0,1.9278131634819533,5711.T
2025-10-01,09:00-09:30,499000.0,31.376891842007648,152200.0,3.278580814717477,5711.T
2025-10-02,09:00-09:30,585300.0,-14.25770807342741,167600.0,3.4922434367541766,5711.T
2025-10-03,09:00-09:30,158000.0,9.020386072524644,176950.0,0.8929076010172365,5711.T
2025-10-06,09:00-09:30,488100.0,51.30927105449379,167600.0,2.912291169451074,5711.T
2025-10-07,09:00-09:30,239100.0,-26.26050420168058,167600.0,1.4266109785202863,5711.T
2025-10-08,09:00-09:30,260700.0,0.0,176950.0,1.4732975416784402,5711.T
2025-10-09,09:00-09:30,480500.0,18.50294365012717,209450.0,2.294103604678921,5711.T
2025-10-10,09:00-09:30,364600.0,-95.43285616905206,249900.0,1.458983593437375,5711.T
2025-10-14,09:00-09:30,552500.0,-42.17985490129861,266550.0,2.0727818420558997,5711.T
2025-10-15,09:00-09:30,242100.0,22.49913464866804,296100.0,0.817629179331307,5711.T
2025-10-16,09:00-09:30,306400.0,-27.11404846636123,266550.0,1.1495029075220409,5711.T
2025-10-17,09:00-09:30,193900.0,29.31539920675963,289400.0,0.6700069108500346,5711.T
2025-10-20,09:00-09:30,227000.0,-49.361702127659335,289400.0,0.7843814789219073,5711.T
2025-10-21,09:00-09:30,280600.0,18.845297241734116,289400.0,0.9695922598479613,5711.T
2025-10-22,09:00-09:30,283400.0,21.074815595363283,293500.0,0.965587734241908,5711.T
