n,mean_net,t,sharpe,label,slot,period
67,-10.045391480692727,-1.142020133808139,-2.2060043453556952,SOX+2%→半導体Long,cls,OOS
70,2.1917365421250654,0.06780668617795149,0.1281425920387574,SOX-2%→半導体Short,full,ALL
23,12.669996529072861,0.15693530552724003,0.51740038025532,SOX-2%→半導体Short,full,IS
47,-2.93592260042385,-0.1033557741032251,-0.23837231785052204,SOX-2%→半導体Short,full,OOS
70,9.249901339715873,0.4804740451257869,0.9080105963028986,SOX-2%→半導体Short,am,ALL
23,16.653679793276396,0.5727429357571826,1.8882775405683196,SOX-2%→半導体Short,am,IS
47,5.626775713505406,0.22431045468448474,0.5173334868339655,SOX-2%→半導体Short,am,OOS
70,-18.905773498875035,-0.8373792732640953,-1.5824980786405674,SOX-2%→半導体Short,pm,ALL
23,-5.89670831956342,-0.09365193528956414,-0.3087612871283221,SOX-2%→半導体Short,pm,IS
47,-25.27191177811263,-1.751314151384515,-4.039104899287096,SOX-2%→半導体Short,pm,OOS
106,-3.3915761600900804,-0.1788006941830842,-0.2745909833079732,FCX+2%→非鉄Long,full,ALL
16,-33.6836798589005,-0.9400604736901411,-3.715915293947047,FCX+2%→非鉄Long,full,IS
90,1.9936867196984345,0.09302454349096541,0.15504090581827568,FCX+2%→非鉄Long,full,OOS
106,0.3089346429019937,0.01808952986014458,0.027780774647271904,FCX+2%→非鉄Long,am,ALL
16,-32.94415138550576,-0.9750111721664051,-3.8540700601955105,FCX+2%→非鉄Long,am,IS
90,6.220594381285595,0.32406906738014085,0.5401151123002347,FCX+2%→非鉄Long,am,OOS
106,-12.357971888850459,-1.3193210152972317,-2.0261311430837505,FCX+2%→非鉄Long,pm,ALL
16,-5.190381403105858,-0.2881719216734042,-1.1390995377444977,FCX+2%→非鉄Long,pm,IS
90,-13.63221019742728,-1.2876993549148013,-2.1461655915246682,FCX+2%→非鉄Long,pm,OOS
106,-11.128707571539406,-2.517867711454798,-3.8667845999513952,FCX+2%→非鉄Long,cls,ALL
16,-1.6747152398121194,-0.2299056841317502,-0.9087820110944519,FCX+2%→非鉄Long,cls,IS
90,-12.809417319402034,-2.5444055532589385,-4.240675922098231,FCX+2%→非鉄Long,cls,OOS
86,-2.8230111476721227,-0.12121377804249063,-0.20666777622702245,FCX-2%→非鉄Short,full,ALL
31,5.351132473170534,0.12853050768785354,0.36500211451549874,FCX-2%→非鉄Short,full,IS
55,-7.430255733965261,-0.2641635737355435,-0.5631986315547599,FCX-2%→非鉄Short,full,OOS
86,-2.6196650477216252,-0.13276620806473838,-0.22636450593277677,FCX-2%→非鉄Short,am,ALL
31,-25.474980771169175,-1.0550133495185399,-2.9960365857384486,FCX-2%→非鉄Short,am,IS
55,10.262421996403354,0.3705189332689118,0.7899490199624861,FCX-2%→非鉄Short,am,OOS
