trade_date,open,high,low,close,volume,ret_oc,ret_cc,vol_ma20,vol_med20,vol_ratio,vol_ratio_med,signed_vol,obv,obv_mom20,price_mom20,is_spike_3x,is_spike_2x,fwd_1,fwd_3,fwd_5,fwd_10,fwd_20
2025-12-08,5501.0,5523.0,5392.0,5469.0,1406700,-0.005817124159243736,-0.0054555373704310295,2218625.0,2031050.0,0.6340413544425038,0.6925974249772285,-1406700.0,84651200.0,11370200.0,0.11384928716904286,False,False,-0.021576156518559153,-0.0027427317608338386,0.04333516182117392,0.11354909489851894,0.28707259096727
2025-12-09,5488.0,5494.0,5332.0,5351.0,1579800,-0.024963556851311908,-0.021576156518559153,2206590.0,2031050.0,0.7159463244191263,0.7778242780827651,-1579800.0,83071400.0,4668500.0,0.06445195941913662,False,False,0.0069145954027285406,0.11231545505512996,0.049149691646421134,0.1304429078676883,0.34012334143150813
2025-12-10,5480.0,5498.0,5361.0,5388.0,1803500,-0.016788321167883202,0.0069145954027285406,2029485.0,2009100.0,0.8886490907791879,0.8976656214225275,1803500.0,84874900.0,9303600.0,0.08019246190858054,False,False,0.012249443207126953,0.059020044543429906,0.09168522642910171,0.20415738678544915,0.3938381588715665
2025-12-11,5433.0,5517.0,5390.0,5454.0,2214300,0.003865267807841022,0.012249443207126953,1978080.0,1943800.0,1.1194188303809756,1.139160407449326,2214300.0,87089200.0,8949200.0,0.06523437499999996,False,False,0.09130913091309134,0.029336266960029445,0.06325632563256334,0.16079941327466085,0.43857719105243853
2025-12-12,5623.0,5952.0,5620.0,5952.0,5292300,0.05850969233505254,0.09130913091309134,1960360.0,1943800.0,2.699657205819339,2.7226566519189217,5292300.0,92381500.0,12024500.0,0.1435158501440923,False,True,-0.04133064516129037,-0.011760752688172005,-0.026881720430107503,0.07879704301075274,0.3188844086021505
2025-12-15,5752.0,5842.0,5664.0,5706.0,3264300,-0.007997218358831715,-0.04133064516129037,2114125.0,1943800.0,1.544043043812452,1.679339438213808,-3264300.0,89117200.0,10847700.0,0.09794111987685206,False,False,-0.016123378899404184,0.01629863301787582,0.06729758149316512,0.16982124079915883,0.3617245005257623
2025-12-16,5680.0,5700.0,5561.0,5614.0,2351100,-0.011619718309859195,-0.016123378899404184,2172965.0,1943800.0,1.0819778505406208,1.2095380183146414,-2351100.0,86766100.0,10052500.0,0.10273030838735031,False,False,0.0477377983612397,0.031706448165301104,0.07748485928037052,0.13234770217313852,0.4014962593516209
2025-12-17,5730.0,5950.0,5706.0,5882.0,3976800,0.02652705061082017,0.0477377983612397,2212725.0,2009100.0,1.7972409585465885,1.9793937583992833,3976800.0,90742900.0,16333200.0,0.22746243739565952,False,False,-0.014110846650799092,0.035362121727303686,0.10302618157089416,0.12852771166269972,0.37402244134648077
2025-12-18,5800.0,5896.0,5747.0,5799.0,2128700,-0.00017241379310339866,-0.014110846650799092,2296370.0,2009100.0,0.9269847629084164,1.0595291424020705,-2128700.0,88614200.0,12313000.0,0.1976456009913259,False,False,-0.0012071046732194946,0.043110881186411376,0.09173995516468358,0.21727884117951368,0.44507673736851183
2025-12-19,5799.0,5892.0,5741.0,5792.0,2203100,-0.0012071046732194946,-0.0012071046732194946,2308230.0,2031050.0,0.9544542788197017,1.0847098791265601,-2203100.0,86411100.0,8305900.0,0.17128412537917082,False,False,0.05145027624309395,0.12016574585635365,0.10859806629834257,0.23860497237569067,0.41229281767955794
2025-12-22,5952.0,6102.0,5897.0,6090.0,2938900,0.02318548387096775,0.05145027624309395,2328185.0,2084350.0,1.2623137766113948,1.4099839278432125,2938900.0,89350000.0,13971900.0,0.2899809362423216,False,False,-0.006732348111658459,0.03957307060755344,0.09605911330049266,0.15582922824302137,0.3937602627257799
2025-12-23,6030.0,6120.0,6005.0,6049.0,1725800,0.003150912106135939,-0.006732348111658459,2338775.0,2084350.0,0.7379076653376233,0.8279799457864562,-1725800.0,87624200.0,10206100.0,0.2549792531120332,False,False,0.07257397917011077,0.06149776822615305,0.050917507025954656,0.1854852041659778,0.4066787898826252
2025-12-24,6149.0,6500.0,6122.0,6488.0,6617700,0.05513091559603178,0.07257397917011077,2323065.0,2075400.0,2.8486934287245513,3.1886383347788376,6617700.0,94241900.0,15323100.0,0.3281473899692937,True,True,-0.024198520345252827,0.028822441430332857,0.023119605425400813,0.15752157829839697,0.3545006165228113
2025-12-25,6488.0,6673.0,6292.0,6331.0,5956400,-0.024198520345252827,-0.024198520345252827,2578915.0,2165900.0,2.3096534783038605,2.7500807978207673,-5956400.0,88285500.0,7344600.0,0.2599004975124377,False,True,0.014215763702416728,0.004106776180698102,0.11498973305954818,0.23929868899068074,0.42220818196177534
2025-12-26,6387.0,6455.0,6322.0,6421.0,2740200,0.005323312979489625,0.014215763702416728,2775630.0,2208700.0,0.9872353303574324,1.2406392900801377,2740200.0,91025700.0,8344200.0,0.2511691348402183,False,False,0.039557701292633585,0.033795358978352175,0.117271453044697,0.2225510045164305,0.5348076623578881
2025-12-29,6621.0,6761.0,6515.0,6675.0,6141800,0.008155867693701913,0.039557701292633585,2825610.0,2282700.0,2.1736191477238545,2.690585709904937,6141800.0,97167500.0,16482100.0,0.3019309537741368,False,True,-0.047640449438202226,0.057528089887640466,0.054531835205992474,0.16404494382022472,0.40224719101123596
2025-12-30,6375.0,6451.0,6294.0,6357.0,4830100,-0.002823529411764669,-0.047640449438202226,3032895.0,2441300.0,1.5925707945708638,1.97849506410519,-4830100.0,92337400.0,13124000.0,0.2499016909162406,False,False,0.04420324052225899,0.1285197420166746,0.128047821299355,0.23769073462324997,0.30423155576529815
2026-01-05,6620.0,6673.0,6552.0,6638.0,3531600,0.002719033232628343,0.04420324052225899,3200800.0,2635850.0,1.1033491627093226,1.3398334503101466,3531600.0,95869000.0,15096300.0,0.2967376440711076,False,False,0.06342271768605001,0.060409761976498944,0.13136486893642663,0.21753540222958723,0.3180174751431153
2026-01-06,6950.0,7163.0,6947.0,7059.0,5133900,0.01568345323741016,0.06342271768605001,3299415.0,2746950.0,1.5560031096421638,1.8689455578004697,5133900.0,101002900.0,17476500.0,0.32563380281690146,False,False,0.016291259385182055,0.01586627000991636,0.11148887944468044,0.18713698824196068,0.3174670633234169
