,A,B,C,D
2021-11-30,-0.05788216655932354,-0.06771715039352953,-0.06724315127650411,-0.06732647173399162
2021-12-30,0.060102238433350504,0.065402496485657,0.05742093320843031,0.053781514399106216
2022-01-31,0.03680998120487186,0.012226471887251936,0.009120731898593398,0.021706808716417378
2022-02-28,0.04604834505204607,0.006253276781627928,-0.0012656420656701236,0.011593402477269851
2022-03-31,0.00037887989465671865,-0.014028617790356017,-0.005143538853946543,-0.013959928709474217
2022-04-28,-0.011956009815324565,-0.015461683582328254,-0.00902874405475723,-0.007765361514642338
2022-05-31,0.009117779886327577,0.009659675814361298,0.01223599536832278,0.020196172187250002
2022-06-30,0.015165329317605196,0.016761377467348307,0.0048282042851281425,0.0207649968849618
2022-07-29,0.03567612759487953,0.03660029933661475,0.040068506320655554,0.044850491605172724
2022-08-31,0.023967201277909415,0.021780950098705513,0.02807804154224226,0.01977850116052311
2022-09-30,-0.05704257934333103,-0.06532464909151013,-0.06866203521278388,-0.06955069052400079
2022-10-31,0.04079220087190978,0.030329346271860916,0.03649586439505612,0.03411974701991349
2022-11-30,0.04436447858591507,0.03556236652763627,0.023672330480467487,0.036654939049592904
2022-12-30,-0.008246542002302912,-0.008740351535427736,-0.012602182749578259,0.0006571731904722693
2023-01-31,0.044780420526505584,0.053430001543712156,0.04747429464183786,0.048448283004702095
2023-02-28,0.0665442468442537,0.048943241949085024,0.05555700180067098,0.054732236586637194
2023-03-31,-0.020994885803295116,-0.010272659296515075,-0.010987674127872939,-0.020339853222096933
2023-04-28,0.01673819113235741,0.012859220829996671,0.012990171629010092,0.01303360806685464
2023-05-31,-0.019700644705702788,-0.0040981222689243325,-0.010608211927901049,-0.023841479414924545
2023-06-30,0.0845344462307906,0.08447778944905497,0.08608093771174641,0.07728075408660837
2023-07-31,0.04394488405155212,0.02661764874162138,0.024838053301897724,0.03657202062557311
2023-08-31,0.025764823429546425,0.021264452157343308,0.015111352456919715,0.03830744176527948
2023-09-29,0.01945344318104151,0.004464438725194664,0.014013451665706434,0.014848186786986748
2023-10-31,-0.025364256458706144,-0.008681456880025694,-0.028857043869003438,-0.022691645821646962
2023-11-30,0.06004532171712822,0.05179277370101758,0.06586736211146606,0.05860725265510416
2023-12-29,0.015886411525522493,0.006205519761839906,0.005584786075967502,0.018043559059865218
2024-01-31,0.10590348352739723,0.09805881312611615,0.09414467028590486,0.10227782429601162
2024-02-29,0.030303011775985194,0.043380743137770565,0.0431143178723357,0.028049023541802227
2024-03-29,0.014366206349922027,0.029556798417720968,0.030250584518519617,0.010991810410193533
2024-04-30,-0.01949158361003753,-0.006851827530796509,-0.005153784644122414,-0.015482587664311539
2024-05-31,-0.017494382259240656,0.0004986377247539244,-0.00343069023234899,-0.017068161821145473
2024-06-28,0.010717307490075082,0.011324269334172465,0.0140689370704986,0.0208763360840222
2024-07-31,0.001314122932572372,0.0018938967997823477,-0.0014004592705511066,0.0007325966830781655
2024-08-30,-0.016284203453570102,-0.013983331684770006,-0.01355371798782312,-0.010009183559438351
2024-09-30,-0.03667949945455676,-0.02735536575900251,-0.027088005227394008,-0.036148975655253296
2024-10-31,0.0069565786424281425,0.012112707967803475,0.01375090852666982,0.0050292819756850736
2024-11-29,0.008114655607781289,-0.0016061086559829056,0.0008077188354030207,0.0043615937460981845
2024-12-30,0.04983447443122846,0.04486411127662951,0.043053433282881026,0.04667535434577639
2025-01-31,-0.0054222993218964064,0.003063044298021764,0.0048028336385530605,-0.002455235212554597
2025-02-28,0.0039050280259083155,-0.01151661994832941,-0.013116841770816422,-0.012895998861231956
2025-03-31,0.0013931254686284748,0.011825624578536233,0.0122212797094659,0.01337985044552117
2025-04-30,-0.00965744335622182,0.006969946653126774,0.006861041171735768,-0.01542723836971945
2025-05-30,0.03635172167159147,0.015581406468373532,0.016487361703428294,0.02228223288647496
2025-06-30,-0.02058958578359961,-0.008151409964021238,-0.010664070610401252,-0.02381874458412479
2025-07-31,0.043272775156906085,0.047016783712544453,0.04812655875441426,0.05029566123916732
2025-08-29,0.07039606512885578,0.08176766804647663,0.07980507437059974,0.08017249403567575
2025-09-30,-0.004565501157987816,0.0068856249914976166,0.00747067312355223,0.004648449059345463
2025-10-31,0.022964663774805223,0.011693977339108612,0.009765640053294293,0.02008448077680635
2025-11-28,0.05424714589147952,0.0675572260011513,0.06817717934539681,0.06733355414421666
2025-12-30,0.034877453833211655,0.029222177417765036,0.022521015409365013,0.035466312039902255
2026-01-30,0.027397144134024037,0.014061479441008141,0.020475799651639426,0.02036204746565724
2026-02-27,0.09700744988955207,0.08606002755910612,0.09022664692045869,0.08398528058364052
2026-03-31,-0.1009413873031994,-0.09747999432270019,-0.10341417318698755,-0.10497443725580838
2026-04-30,-0.00670284352522442,-0.009217022211114515,0.0006266071609662028,-0.0005711996170338091
2026-05-29,0.011493265440149492,0.0044616967032409666,0.0011676318703519933,-0.003807606793111905
2026-06-30,0.005800700391866695,0.007733649639895468,-0.0019479407383136934,0.006547734148540013
2026-07-31,0.07095836264933857,0.06079600469273254,0.06720503873960007,0.06389975300003664
