dt,mkt_am,mkt_pm,am_bucket
2025-02-19,-0.0031257727406833412,0.0005927334765943015,-0.5〜0%
2025-02-20,-0.00870684843573585,0.003174823486261798,-1〜-0.5%
2025-02-21,0.003929206917107934,0.002067648391747744,0〜+0.5%
2025-02-25,0.009432336631176647,-0.0008887426624835506,+0.5〜+1%
2025-02-26,-0.006789494573082944,0.008660634022263287,-1〜-0.5%
2025-02-27,0.002810747932118103,0.0019536380986162586,0〜+0.5%
2025-02-28,-0.008791433655841913,-0.0008598505199590781,-1〜-0.5%
2025-03-03,-0.0016916373516748867,0.003275781403799857,-0.5〜0%
2025-03-04,-0.006892581414999875,0.006338821331340322,-1〜-0.5%
2025-03-05,0.002479385775370183,0.0029515556615759093,0〜+0.5%
2025-03-06,0.004383163035208896,-0.00031052643996720946,0〜+0.5%
2025-03-07,0.0031134025147103654,-0.003228333052290904,0〜+0.5%
2025-03-10,0.002114145647410165,-0.004277789642937893,0〜+0.5%
2025-03-11,-0.005478984074025186,0.007994466998735666,-1〜-0.5%
2025-03-12,0.008965596319098585,0.0004756130362293821,+0.5〜+1%
2025-03-13,0.003115457088238772,-0.008406140043651476,0〜+0.5%
2025-03-14,0.009130145051473785,0.0047553061922527085,+0.5〜+1%
2025-03-17,0.0029634812779452124,0.00016461778915284495,0〜+0.5%
2025-03-18,0.000734898345583919,-0.000662248630614907,0〜+0.5%
2025-03-19,0.007784473291144945,-0.006721239777627751,+0.5〜+1%
2025-03-21,0.008104648262139835,-0.0056095173572904625,+0.5〜+1%
2025-03-24,-0.004777156248356855,-0.0004716325258330272,-0.5〜0%
2025-03-25,-0.0031306717603965524,-0.0018750933178247387,-0.5〜0%
2025-03-26,-0.005695166321213053,0.0038722188682509596,-1〜-0.5%
2025-03-27,0.003004601971368332,0.0035309577089654696,0〜+0.5%
2025-03-28,-0.008473626857577658,-1.119453060454492e-05,-1〜-0.5%
2025-03-31,-0.008391433488129473,-0.002027393522885241,-1〜-0.5%
2025-04-01,-0.003593247296657958,-0.006657389040659647,-0.5〜0%
2025-04-02,-0.006974485078834124,0.002081894240804213,-1〜-0.5%
2025-04-03,0.0081064473817012,0.0045263058159256365,+0.5〜+1%
2025-04-04,-0.006461461644963483,-0.003140375617123693,-1〜-0.5%
2025-04-07,-0.02162461159549032,-0.01804335805177124,-3〜-2%
2025-04-08,0.016283411937941108,-0.0004973738479886826,+1〜+2%
2025-04-09,-0.004927143960630933,-0.01084439118777074,-0.5〜0%
2025-04-10,-0.001122721032400629,0.02724523198718837,-0.5〜0%
2025-04-11,0.0025341391676650307,0.019770447028971367,0〜+0.5%
2025-04-14,0.0034054062472530034,-0.006136134531785643,0〜+0.5%
2025-04-15,-0.0032018454039836725,-9.370924178494925e-05,-0.5〜0%
2025-04-16,-0.008790992964057533,-0.004188254648623404,-1〜-0.5%
2025-04-17,0.008851765748372799,0.00611867191255553,+0.5〜+1%
2025-04-18,0.003652621798368538,0.002109301837608873,0〜+0.5%
2025-04-21,-0.009500522342234443,0.000572128612803634,-1〜-0.5%
2025-04-22,0.004856950716671761,0.0007547140132291465,0〜+0.5%
2025-04-23,-0.005003100501249206,0.004394047295808302,-1〜-0.5%
2025-04-24,0.0011701116706815072,-0.00801926888214053,0〜+0.5%
2025-04-25,0.003095551022550602,0.00403482340219543,0〜+0.5%
2025-04-28,-0.0017453147568718141,-0.0014450634189634975,-0.5〜0%
2025-04-30,-0.0018291380963949195,0.005307232015894389,-0.5〜0%
2025-05-01,0.0021657511213015695,0.004542068121228119,0〜+0.5%
2025-05-02,-0.0010573822120729603,0.004386893170192193,-0.5〜0%
2025-05-07,-0.002922584656223363,0.0018969266364928746,-0.5〜0%
2025-05-08,-0.001116208799048682,0.004264108101616863,-0.5〜0%
2025-05-09,0.002462178115427723,-0.0012379209344532784,0〜+0.5%
2025-05-12,-0.0005126441670028212,0.00674032014607136,-0.5〜0%
2025-05-13,-0.009189541226424227,1.0322144810028064e-05,-1〜-0.5%
2025-05-14,-0.010860207208137077,0.007007717712749869,-2〜-1%
2025-05-15,8.451160725438278e-05,-0.00018453556941667816,0〜+0.5%
2025-05-16,-0.006628353592572068,0.0025375982671256006,-1〜-0.5%
2025-05-19,0.0021624759811056777,-0.0038181595638674863,0〜+0.5%
2025-05-20,-0.001776253329313729,-0.004187870277163473,-0.5〜0%
2025-05-21,-0.0024561039019883706,-0.002074489157752378,-0.5〜0%
