date,morning_vol,fwd_bps,med20,vol_ratio,sym
2026-03-11,1005600.0,-261.6541353383461,1752000.0,0.5739726027397261,5706.T
2026-03-12,913900.0,28.87391722810495,1750850.0,0.5219750406945198,5706.T
2026-03-13,1466900.0,-3.1655587211143477,1750850.0,0.8378216294942457,5706.T
2026-03-16,1262200.0,243.11183144246405,1750850.0,0.7209069880343832,5706.T
2026-03-17,1197200.0,-380.1916932907345,1750850.0,0.6837821629494245,5706.T
2026-03-18,808000.0,272.6696258719086,1701200.0,0.4749588525746532,5706.T
2026-03-19,1205700.0,-213.90374331550777,1701200.0,0.7087350105807665,5706.T
2026-03-23,1864100.0,215.22309711285993,1595250.0,1.1685315781225514,5706.T
2026-03-24,1372500.0,336.53846153846257,1708650.0,0.8032657361074532,5706.T
2026-03-25,1295800.0,137.82051282051233,1562950.0,0.8290732269106498,5706.T
2026-03-26,812100.0,-118.36212412028146,1465750.0,0.554050827221559,5706.T
2026-03-27,893100.0,292.9558920342323,1418550.0,0.629586549645765,5706.T
2026-03-30,1060500.0,3.383522246658277,1334150.0,0.7948881310197504,5706.T
2026-03-31,1442700.0,-119.80267794221233,1279000.0,1.1279906176700547,5706.T
2026-04-01,878900.0,155.3205551883674,1279000.0,0.6871774824081314,5706.T
2026-04-02,1351100.0,-33.61344537815114,1257300.0,1.0746043108247834,5706.T
2026-04-03,827600.0,-15.837820715869366,1257300.0,0.6582359023303905,5706.T
2026-04-06,1117400.0,91.56930849384182,1229050.0,0.9091574793539726,5706.T
2026-04-07,789700.0,144.69453376205755,1201450.0,0.6572891089932997,5706.T
2026-04-08,1465200.0,-34.168564920273866,1157300.0,1.2660502894668626,5706.T
2026-04-09,1109500.0,-71.38777841233623,1157300.0,0.9586969670785449,5706.T
2026-04-10,1239600.0,250.75778451363993,1157300.0,1.0711137993605806,5706.T
2026-04-13,1186900.0,164.62053571428604,1201450.0,0.9878896333596904,5706.T
2026-04-14,1103100.0,26.20545073375169,1192050.0,0.9253806467849502,5706.T
2026-04-15,1747900.0,-44.63040446304078,1152150.0,1.517076769517858,5706.T
2026-04-16,1298900.0,-44.83122362869185,1152150.0,1.1273705680683939,5706.T
2026-04-17,643000.0,-68.02721088435382,1196300.0,0.5374905960043468,5706.T
2026-04-20,505900.0,-252.74725274725296,1152150.0,0.4390921321008549,5706.T
2025-04-01,966000.0,-53.04212168486755,,,5713.T
2025-04-02,677000.0,-118.63877614736174,,,5713.T
2025-04-03,1771000.0,-79.10349373764004,,,5713.T
2025-04-04,1944200.0,-30.292230933713917,,,5713.T
2025-04-07,2515000.0,-100.08169934640487,,,5713.T
2025-04-08,1297800.0,-168.178382464097,,,5713.T
2025-04-09,1500900.0,-227.87385554425276,,,5713.T
