date,open_px,open_vol,gap_bps,fwd_bps,med20,vol_ratio,sym,gap_dir,vol_dir,quad
2026-01-09,19845.0,548100.0,-146.47467725918517,27.71478961955065,327150.0,1.6753782668500687,5706.T,DG,HV,DG_HV
2026-01-14,20670.0,431200.0,184.77457501847817,374.93952588292245,344050.0,1.2533062054933877,5706.T,UG,LV,UG_LV
2026-01-15,21455.0,653800.0,4.66309162975076,88.55744581682589,344050.0,1.9003051881993895,5706.T,UG,HV,UG_HV
2026-01-16,21675.0,431500.0,13.86001386001423,251.44175317185713,362450.0,1.190509035729066,5706.T,UG,LV,UG_LV
2026-01-19,21985.0,813400.0,-105.76057605760525,425.28997043438596,367250.0,2.2148400272294078,5706.T,DG,HV,DG_HV
2026-01-20,22630.0,510400.0,-126.52705061082071,-260.7158638974816,389400.0,1.310734463276836,5706.T,DG,HV,DG_HV
2026-01-22,22165.0,707400.0,88.75739644970349,-216.55763591247435,422700.0,1.673527324343506,5706.T,UG,HV,UG_HV
2026-01-23,21800.0,352700.0,53.03204980401155,6.880733944953921,422700.0,0.8343979181452567,5706.T,UG,LV,UG_LV
2026-01-26,21700.0,399800.0,-52.7160210864086,2.3041474654372784,422700.0,0.945824461793234,5706.T,DG,LV,DG_LV
2026-01-27,21505.0,238500.0,-92.14466712738955,183.6782143687521,422700.0,0.5642299503193754,5706.T,DG,LV,DG_LV
2026-01-28,22000.0,493000.0,45.66210045662045,-195.45454545454533,415500.0,1.1865222623345366,5706.T,UG,LV,UG_LV
2026-01-29,21570.0,317700.0,0.0,27.816411682892728,431350.0,0.7365248637996986,5706.T,DG,LV,DG_LV
2026-01-30,21210.0,407900.0,-194.1747572815533,-396.0396039603964,431350.0,0.945635794598354,5706.T,DG,LV,DG_LV
2026-02-02,19985.0,515700.0,-189.00343642611728,-95.07130347760851,431350.0,1.1955488582357714,5706.T,DG,LV,DG_LV
2026-02-04,21105.0,562100.0,139.32260389142525,431.1774461028195,433500.0,1.2966551326412918,5706.T,UG,LV,UG_LV
2026-02-05,22095.0,391500.0,36.338859868272344,-457.1169947952025,464250.0,0.8432956381260097,5706.T,UG,LV,UG_LV
