id,name,group,period,n,win_rate,mean_ret,sharpe,t_stat,p_value,edge_class
A5,円高3日連続→自動車翌日CO,A,3M,18,0.4444444444444444,-0.003525824147289975,-2.0182825209327673,-0.53940869307463,0.5965997606327607,noise
A5,円高3日連続→自動車翌日CO,A,1Y,50,0.58,0.0036708328252263267,2.5774309281722267,1.1480789846780035,0.25651018504160017,noise
A5,円高3日連続→自動車翌日CO,A,2Y,64,0.5625,0.003919765091994225,2.879206890336738,1.4509838866542146,0.15174562018808926,noise
A6,NVDA>+2%→半導体翌日CO,A,3M,10,0.5,0.007186193945418638,3.4982244785112306,0.696862996431752,0.5034888565180269,noise
A6,NVDA>+2%→半導体翌日CO,A,1Y,40,0.75,0.013321083944251782,8.577526073910736,3.417368186949944,0.0014921145681310046,strong_pos
A6,NVDA>+2%→半導体翌日CO,A,2Y,81,0.691358024691358,0.013644438762781251,8.03131253857283,4.553326216821118,1.864502687614165e-05,strong_pos
B7,半導体5日MOM上位2→翌日CO,B,3M,124,0.5080645161290323,0.009643754092071199,2.468405845835339,1.7315185096910743,0.08586659324517452,weak_pos
B7,半導体5日MOM上位2→翌日CO,B,1Y,502,0.5278884462151394,0.006029432932375002,1.9507735422491288,2.753331129219028,0.006113451402482708,strong_pos
B7,半導体5日MOM上位2→翌日CO,B,2Y,784,0.5025510204081632,0.003532105908716573,1.2026236193102793,2.121228678338276,0.03421618277656289,strong_pos
B8,半導体20日MOM上位2→翌5日CO,B,3M,116,0.7155172413793104,0.07344635236210831,8.936691303080927,6.0632500739725925,1.7405135463270492e-08,strong_pos
B8,半導体20日MOM上位2→翌5日CO,B,1Y,494,0.6376518218623481,0.04897945303403645,6.946122942303921,9.72535962962231,1.4412444598266475e-20,strong_pos
B8,半導体20日MOM上位2→翌5日CO,B,2Y,746,0.599195710455764,0.03403062752978714,5.04042429225543,8.672338866409106,2.6314511804323314e-17,strong_pos
B9,非鉄5日MOM上位2→翌日CO,B,3M,124,0.5,0.003616936234176608,0.9943977879854323,0.6975425774483823,0.48677974794302736,noise
B9,非鉄5日MOM上位2→翌日CO,B,1Y,502,0.5597609561752988,0.007199218364662125,2.6106463909029456,3.684678831131301,0.0002539397123451598,strong_pos
B9,非鉄5日MOM上位2→翌日CO,B,2Y,784,0.5408163265306123,0.0045745080727286015,1.7879426193912835,3.153634352908498,0.001674052906917703,strong_pos
B10,半導体3日+2%超→翌日継続,B,3M,31,0.5161290322580645,0.006234695908846868,3.281834547000959,1.1510581360563774,0.2588002556200451,noise
B10,半導体3日+2%超→翌日継続,B,1Y,109,0.6238532110091743,0.005485441354278383,3.676623092727144,2.4180322520162054,0.017277962100764994,strong_pos
B10,半導体3日+2%超→翌日継続,B,2Y,154,0.577922077922078,0.004819138488749904,3.2953678830969855,2.576107575549012,0.010938283557515072,strong_pos
C11,半導体Zスコア下位2→翌5日リバ,C,3M,118,0.652542372881356,0.04395515324835857,7.284534556901655,4.984740348375428,2.1711968352388245e-06,strong_pos
C11,半導体Zスコア下位2→翌5日リバ,C,1Y,496,0.6189516129032258,0.028371006497153822,5.41797258650539,7.601116189512307,1.483552650863614e-13,strong_pos
C11,半導体Zスコア下位2→翌5日リバ,C,2Y,748,0.5762032085561497,0.01840325967152997,3.4756512107110296,5.988067897716398,3.2977153813944137e-09,strong_pos
C12,半導体個別-3%(セクターフラット)→翌日リバ,C,3M,50,0.6,0.024524652795019797,6.647519473495931,2.9610405168725795,0.004716221498804017,strong_pos
C12,半導体個別-3%(セクターフラット)→翌日リバ,C,1Y,121,0.5454545454545454,0.010671000443163221,3.6505275649791544,2.52957783338884,0.01271607940782414,strong_pos
C12,半導体個別-3%(セクターフラット)→翌日リバ,C,2Y,183,0.5519125683060109,0.007651067884589734,2.978451764338914,2.538141590627427,0.01198253886132565,strong_pos
C13,非鉄個別-3%(セクターフラット)→翌日リバ,C,3M,13,0.6153846153846154,0.036554348666092834,7.287303640215355,1.6551534797690086,0.12379130959920899,weak_pos
C13,非鉄個別-3%(セクターフラット)→翌日リバ,C,1Y,42,0.5476190476190477,0.011421613935557887,3.386415757709591,1.382498443884828,0.17430352886049386,noise
C13,非鉄個別-3%(セクターフラット)→翌日リバ,C,2Y,67,0.5373134328358209,0.007647743065171048,2.541576952606592,1.3105101669321648,0.19456557028735186,noise
D14,月曜日の半導体翌日ON,D,3M,12,0.4166666666666667,-0.004795285110697708,-4.890212922555472,-1.0671319467648415,0.30877311975363586,noise
D14,月曜日の半導体翌日ON,D,1Y,45,0.4666666666666667,-0.0031159885951847445,-3.4344903851878983,-1.451337080932867,0.15377902435000787,noise
D14,月曜日の半導体翌日ON,D,2Y,72,0.4722222222222222,-0.001776548144433704,-2.0417648594314386,-1.0913692240495858,0.2788002172209586,noise
D15,火曜日の半導体翌日ON,D,3M,13,0.6153846153846154,0.004098892459235783,3.535658036405572,0.8030482866028898,0.4375640222067294,noise
D15,火曜日の半導体翌日ON,D,1Y,52,0.6346153846153846,0.0050303836476406445,5.625404256655507,2.5553779258292577,0.013632273475133806,strong_pos
D15,火曜日の半導体翌日ON,D,2Y,80,0.55,0.0027130380080776263,2.8752143950239746,1.6199997861407933,0.10921760391078769,weak_pos
D16,水曜日の半導体翌日ON,D,3M,12,0.4166666666666667,-0.001941107407419754,-1.707120800220665,-0.37252429940213255,0.7165803690073307,noise
D16,水曜日の半導体翌日ON,D,1Y,50,0.56,0.003030195721681113,3.1686502825542227,1.4114290161693264,0.16443665592687437,noise
D16,水曜日の半導体翌日ON,D,2Y,81,0.5308641975308642,0.0021950772295125094,2.271700782025001,1.287933283369093,0.2014822070538156,noise
D17,木曜日の半導体翌日ON,D,3M,14,0.6428571428571429,0.003146966933205704,2.307549861046339,0.5438947182239805,0.5957191574371785,noise
D17,木曜日の半導体翌日ON,D,1Y,53,0.6037735849056604,0.0014298638318281465,1.5378726049964506,0.7052742456220802,0.48378700035535716,noise
D17,木曜日の半導体翌日ON,D,2Y,83,0.5301204819277109,0.0009808322606657885,0.9843751982163602,0.5649362446880037,0.573659459903716,noise
D18,金曜日の半導体翌日ON,D,3M,12,0.8333333333333334,0.008695529034800255,10.31475540230743,2.250864162191832,0.04582042694459858,strong_pos
D18,金曜日の半導体翌日ON,D,1Y,52,0.5769230769230769,0.0032094832556791037,3.352564799193497,1.5229252320196223,0.13395450476224158,weak_pos
D18,金曜日の半導体翌日ON,D,2Y,82,0.5365853658536586,0.0017930010256121435,1.924144531302538,1.0976006273100563,0.27563109886641324,noise
D19,月曜日の非鉄翌日ON,D,3M,12,0.4166666666666667,-0.007816071842415123,-5.2471423005396485,-1.1450203225917936,0.27650288880448654,noise
D19,月曜日の非鉄翌日ON,D,1Y,45,0.4888888888888889,-0.003964781684120745,-2.7669235252415167,-1.169238594933147,0.24860287596226782,noise
D19,月曜日の非鉄翌日ON,D,2Y,72,0.4583333333333333,-0.0030978257521910558,-2.4941576591609897,-1.333183347025503,0.18673362843893035,noise
D20,金曜日の非鉄翌日ON,D,3M,12,0.4166666666666667,0.0005908540127812757,0.523172091254822,0.11416550998397935,0.9111637379035993,noise
D20,金曜日の非鉄翌日ON,D,1Y,52,0.5,0.0027805928747370885,2.3501808391326002,1.0675855394607425,0.2907350718434888,noise
D20,金曜日の非鉄翌日ON,D,2Y,82,0.4878048780487805,0.0011910408147727941,1.1134467144195501,0.6351496950158483,0.5271209820943643,noise
E21,信用倍率>5倍→翌5日CO,E,3M,603,0.5887230514096186,0.028672988770279982,4.445985904315725,6.877434567150087,1.5300313924106762e-11,strong_pos
E22,信用倍率<1.5倍→翌5日CO,E,3M,58,0.6896551724137931,0.02520916876573332,5.412932938914983,2.596847061150161,0.011948661967506463,strong_pos
E21,信用倍率>5倍→翌5日CO,E,1Y,2284,0.6409807355516638,0.028734633825888242,5.704509424336454,17.1737873618295,2.8756715831308183e-62,strong_pos
E22,信用倍率<1.5倍→翌5日CO,E,1Y,804,0.6592039800995025,0.03495096783330684,6.95360123295407,12.420455856148116,1.5901454111910824e-32,strong_pos
E21,信用倍率>5倍→翌5日CO,E,2Y,4704,0.5735544217687075,0.014267336368983353,2.7916522782077027,12.06131635678912,5.168398698965343e-33,strong_pos
E22,信用倍率<1.5倍→翌5日CO,E,2Y,960,0.6395833333333333,0.030524196124817386,6.141101227371694,11.986202271552724,6.026282105810543e-31,strong_pos
F23,ADR_8035>+1%→8035翌日ON,F,3M,24,0.375,-0.0026238580485595914,-1.5056160093367066,-0.4646431879944202,0.6465555740954216,noise
F23,ADR_8035>+1%→8035翌日ON,F,1Y,100,0.45,-0.00023203223448726892,-0.1578415918679452,-0.09943085681550906,0.9209972471275845,noise
F23,ADR_8035>+1%→8035翌日ON,F,2Y,142,0.44366197183098594,-0.0006441152527104709,-0.4537732435238942,-0.3406299150128795,0.7338891948827688,noise
F24,ADR_8035<-1%→8035翌日ON,F,3M,22,0.5,-0.00022742694795500928,-0.15986291249601825,-0.04723444219459952,0.9627727051888977,noise
F24,ADR_8035<-1%→8035翌日ON,F,1Y,76,0.5921052631578947,0.003342900375734494,2.853600077732467,1.5671105484098629,0.12129864168548636,weak_pos
F24,ADR_8035<-1%→8035翌日ON,F,2Y,124,0.5161290322580645,0.001698479388214898,1.4792576869007243,1.0376584019977522,0.30146472940544267,noise
F25,ADR_6920>+1%→6920翌日ON,F,3M,28,0.5,-0.0016210423175286922,-0.885330550094146,-0.29511018336471534,0.7701671371917679,noise
F25,ADR_6920>+1%→6920翌日ON,F,1Y,96,0.53125,0.003823121476295032,1.9378552062977712,1.1960702002929073,0.23464592234756546,noise
F25,ADR_6920>+1%→6920翌日ON,F,2Y,136,0.49264705882352944,0.002524110488241144,1.3192395470428726,0.9691541182038557,0.33420141939781156,noise
F26,NVDA>+1.5%→半導体翌日ON,F,3M,19,0.42105263157894735,-0.00553084848751731,-4.982519491388932,-1.368124236038337,0.18811060407514993,noise
F26,NVDA>+1.5%→半導体翌日ON,F,1Y,65,0.4461538461538462,-0.0024677196611051643,-2.5913834995921037,-1.3160975996387718,0.19283576980820755,noise
F26,NVDA>+1.5%→半導体翌日ON,F,2Y,113,0.40707964601769914,-0.002587609637554745,-2.861197937796097,-1.9159618385567958,0.0579191805836671,weak_neg
F27,NVDA<-1.5%→半導体翌日ON,F,3M,11,0.8181818181818182,0.008978690758019714,11.28215465242077,2.3571548878105384,0.040147656838696116,strong_pos
F27,NVDA<-1.5%→半導体翌日ON,F,1Y,47,0.6382978723404256,0.004523880749814549,4.605735339447739,1.9890588693443347,0.05266115864405801,weak_pos
F27,NVDA<-1.5%→半導体翌日ON,F,2Y,87,0.5747126436781609,0.002828477533250692,2.6730726311463244,1.5706163540308236,0.11994392736659462,weak_pos
