code,entry_date,SUE,car0,car0_z,div,d5,d10,d20,period
98430,2021-04-02,0.5527659144852272,0.0083906976214879,0.0,0.5527659144852272,-72.31733733020329,-216.1164494036738,-96.83454390338464,IS
82270,2021-04-07,0.2950900115954532,-0.0092738273217195,0.0,0.2950900115954532,19.272508992673743,-411.391766508129,-448.4714641401832,IS
76490,2021-04-08,0.4352623723855455,0.0525015334831213,0.0,0.4352623723855455,20.7584748282752,-24.64810042403176,-398.2248763993257,IS
33820,2021-04-12,0.06471064680810089,-0.0407657184806772,-0.24603140201311047,0.31074204882121137,515.5392540449277,666.8126428513455,1720.943446847949,IS
36970,2021-04-12,0.31356343813835014,0.0414216424450015,1.466468307773414,-1.152904869635064,-178.1511552165016,-95.35218198025052,43.33865296833328,IS
68970,2021-04-12,1.9627832681074648,-0.0653791238385234,-0.75888945047005,2.7216727185775147,846.3598264607764,572.1093234701768,-215.3256688178995,IS
99830,2021-04-12,0.3362051424744618,-0.0511089001786025,-0.46154745529025365,0.7977525977647155,238.8099088468798,161.67220736746924,126.80615268011896,IS
82670,2021-04-13,-0.2880407070959587,-0.0003091945966454,0.7071067811865476,-0.9951474882825062,181.8385605198292,-10.01980893989174,66.4323140738754,IS
65060,2021-04-13,0.017131704282218708,-0.0149297430094341,-0.7071067811865476,0.7242384854687662,-99.72953191150324,-343.1754990305968,-761.0885323606476,IS
60700,2021-04-14,2.190044479204116,0.0088218877331516,-0.49612358885480673,2.6861680680589224,-372.4620301250126,-1004.3212128751278,-1347.8824723422167,IS
33490,2021-04-14,0.13384392330975342,0.0365481208278215,0.47994024417673614,-0.3460963208669827,-80.06951066172108,-128.0228262625549,-342.1814364920217,IS
82330,2021-04-14,-1.0837605279546516,0.0167234192080432,-0.2179610605420548,-0.8657994674125968,-259.66560110956,180.84674184320585,699.8122025968556,IS
62550,2021-04-14,0.9197072203314979,-0.0237751550342474,-1.6436575650860412,2.563364785417539,501.6201927083674,603.7160565867483,-503.8525034278818,IS
75160,2021-04-14,0.26627772600437305,0.0517235940139413,1.014171867907801,-0.7478941419034278,-392.6996590582932,-606.7497283471213,-480.27573517026246,IS
63230,2021-04-14,0.045435227774733807,0.0474472793511657,0.8636301023983658,-0.8181948746236319,-245.72302943182132,617.1397762994812,-381.5176711125134,IS
30860,2021-04-15,-1.0912898476564856,-0.0286661327225582,-0.4382810177827042,-0.6530088298737815,-175.03953622861724,906.3990729060766,1326.3598979864266,IS
44430,2021-04-15,2.1062061935778034,-0.0294125127792831,-0.4642336474579265,2.57043984103573,44.690228955693854,223.82659487905295,-1483.7214348221785,IS
14070,2021-04-15,0.4783563338291616,-0.0425268494230315,-0.9202366171043226,1.3985929509334842,362.1505464160113,1129.6467006991584,-611.7637628645057,IS
39940,2021-04-15,0.8047742280058181,0.0313253001324428,1.6477010854953569,-0.8429268574895388,1348.364756384197,2493.112393327099,644.070650552091,IS
96020,2021-04-15,-0.37777889690231675,-0.0110271422812365,0.17505019684959622,-0.5528290937519129,-336.7741847667849,-411.0940400415819,-608.6574307259151,IS
60700,2021-04-16,2.190044479204116,0.001667336182495,-0.18343981894543918,2.373484298149555,-604.7994484003061,-1193.942256025682,-425.9547525634544,IS
61820,2021-04-16,0.24201721112404462,-0.0725572627479862,-1.0612220033851079,1.3032392145091525,-264.5056247776667,-1105.1707856693197,-1422.0043073913591,IS
26700,2021-04-16,-0.02947226411799139,0.0080812238024128,-0.10758900443265143,0.07811674031466004,-232.33519222961684,-42.8804022100493,334.69837368106937,IS
65320,2021-04-16,0.7557264921537145,0.1315241779817828,1.3522508267631985,-0.5965243346094841,1228.4595556547451,841.0768709541328,1896.207009564045,IS
85950,2021-04-22,0.0,0.031501691992771,-0.7071067811865485,0.7071067811865485,719.2273334426469,583.4863096396281,1051.4265607739326,IS
44790,2021-04-22,-0.7071067811865475,0.0368967373785502,0.7071067811865466,-1.414213562373094,-907.8688050859696,-1750.7951644752684,-547.4623127679046,IS
46840,2021-04-26,-0.3721346311516203,0.0462746027052707,1.292791509867035,-1.6649261410186553,-201.23440756699472,29.59418753452514,254.34793556095792,IS
61460,2021-04-26,0.014489158233719964,0.021298544506078,0.2464356911922868,-0.23194653295856685,-724.6143275361517,-1377.1538962992202,-1103.462346523103,IS
