section,st_date,en_date,pub_date,FrgnBal,IndBal,InvTrBal,TotBal,ret_week,ret_pub_1w,ret_pub_2w,frgn_next,date,period,frgn_ma4,signal,strat_ret
TSE1st,2017-03-06,2017-03-10,2017-03-16,-93732725.0,-108377743.0,-50461708.0,15514825.0,0.012290179432760784,-0.01829349712912265,-0.03820841996833457,-387964019.0,2017-03-10,IS,-84514645.25,0,-0.0
TSE1st,2017-03-13,2017-03-17,2017-03-24,-387964019.0,108871965.0,-58344423.0,-8305870.0,-0.007322175732217717,-0.0202860251826521,-0.03507306078035133,-375127010.0,2017-03-17,IS,-158632789.5,0,-0.0
TSE1st,2017-03-21,2017-03-24,2017-03-30,-375127010.0,329813395.0,-48713633.0,-28205062.0,-0.012472656100088297,-0.03103581458375604,-0.03880622418319046,-73803870.0,2017-03-24,IS,-234141784.0,0,-0.0
TSE1st,2017-03-27,2017-03-31,2017-04-06,-73803870.0,78887674.0,-30593608.0,-6850509.0,-0.007734241237478678,-0.008019294950614153,-0.00497912416057511,106718908.0,2017-03-31,IS,-232656906.0,0,-0.0
TSE1st,2017-04-03,2017-04-07,2017-04-13,106718908.0,-3575956.0,-2164639.0,-23158730.0,-0.01796932163503684,0.003064747907458143,0.04655692598974337,101310202.0,2017-04-07,IS,-182543997.75,0,0.0
TSE1st,2017-04-10,2017-04-14,2017-04-20,101310202.0,-48466449.0,-2718076.0,-11990261.0,-0.027059647251025387,0.04335929278046735,0.07398102946069085,288372494.0,2017-04-14,IS,-60225442.5,0,0.0
TSE1st,2017-04-17,2017-04-21,2017-04-27,288372494.0,-98951587.0,18268423.0,-2210337.0,0.015617217829145158,0.029349177116752445,0.030950041323120736,277015438.0,2017-04-21,IS,105649433.5,1,0.029349177116752445
TSE1st,2017-04-24,2017-04-28,2017-05-09,277015438.0,-438047711.0,54982222.0,10685429.0,0.019032856791223907,0.001555219785430273,-0.01046296237758959,155592329.0,2017-04-28,IS,193354260.5,1,0.001555219785430273
TSE1st,2017-05-01,2017-05-02,2017-05-11,155592329.0,-185915076.0,-17471499.0,2863365.0,0.00683868369951357,-0.02007108377550626,-0.005318679656680425,560613204.0,2017-05-02,IS,205572615.75,1,-0.02007108377550626
TSE1st,2017-05-08,2017-05-12,2017-05-18,560613204.0,-514592122.0,-171435390.0,20158891.0,-0.003247449333484531,0.015054565565494782,0.020019163863898015,30606994.0,2017-05-12,IS,320398366.25,1,0.015054565565494782
TSE1st,2017-05-15,2017-05-19,2017-05-25,30606994.0,23178610.0,-178848347.0,-4930567.0,-0.012829113924050617,0.004890966916283324,0.007596203798735379,19286138.0,2017-05-19,IS,255956991.25,1,0.004890966916283324
TSE1st,2017-05-22,2017-05-26,2017-06-01,19286138.0,-80986019.0,45519060.0,-3985237.0,0.001129078557075891,0.002692070056867557,0.0012293996746817193,439296568.0,2017-05-26,IS,191524666.25,1,0.002692070056867557
TSE1st,2017-05-29,2017-06-02,2017-06-08,439296568.0,-338930683.0,53897457.0,19968880.0,0.02674164602186968,-0.001458743342911628,0.012556510585320702,-33967550.0,2017-06-02,IS,262450726.0,1,-0.001458743342911628
TSE1st,2017-06-05,2017-06-09,2017-06-15,-33967550.0,-1922067.0,-167034621.0,2810252.0,-0.011372882724522748,0.014035728453677176,0.02265614669193816,-189691002.0,2017-06-09,IS,113805537.5,1,0.014035728453677176
TSE1st,2017-06-12,2017-06-16,2017-06-22,-189691002.0,31383100.0,-50838048.0,8003852.0,0.00282114919418186,0.008501099119462285,0.003198002955824064,-10597204.0,2017-06-16,IS,58731038.5,1,0.008501099119462285
TSE1st,2017-06-19,2017-06-23,2017-06-29,-10597204.0,-221440476.0,-87161348.0,10550333.0,0.003281301562198413,-0.005258394034739822,-0.0030540555517927226,8038267.0,2017-06-23,IS,51260203.0,1,-0.005258394034739822
