symbol,name,threshold,direction,exit,n,mean,wr,pf,sharpe
6501.T,日立,0.5,long,15:30,72,0.15498303838598768,52.77777777777778,1.2814701286523058,1.4369768039490822
6501.T,日立,0.5,short,09:30,72,-0.28303975318371016,36.11111111111111,0.5054446092973188,-4.131794598525626
6501.T,日立,0.5,short,10:00,72,-0.2112341264727381,38.88888888888889,0.6425821519218988,-2.6654966054044453
6501.T,日立,0.5,short,11:30,72,-0.08890280016398593,44.44444444444444,0.8588853845394946,-0.9121438581113808
6501.T,日立,0.5,short,13:00,72,-0.23501036113861218,38.88888888888889,0.6637176749228766,-2.314464429373342
6501.T,日立,0.5,short,15:30,72,-0.23498303838598775,44.44444444444444,0.6859385236062074,-2.1787234203086197
6501.T,日立,1.0,long,09:30,31,0.21863284919800996,58.06451612903226,1.9066852668024654,3.792915967825621
6501.T,日立,1.0,long,10:00,31,0.07533276264023935,58.06451612903226,1.159401261567314,0.8697199450016152
6501.T,日立,1.0,long,11:30,31,-0.018994188422284834,51.61290322580645,0.9695057113823782,-0.16814416675228752
6501.T,日立,1.0,long,13:00,31,0.0595980767254314,51.61290322580645,1.1018536488175337,0.5190986854979864
6501.T,日立,1.0,long,15:30,31,0.09510554174908126,45.16129032258064,1.1384642521712458,0.7624645892624471
6501.T,日立,1.0,short,09:30,31,-0.29863284919801,29.03225806451613,0.41789455693363126,-5.180782789024288
6501.T,日立,1.0,short,10:00,31,-0.1553327626402394,38.70967741935484,0.7388848997372535,-1.7933233435973288
6501.T,日立,1.0,short,11:30,31,-0.061005811577715195,45.16129032258064,0.9055121455817647,-0.5400478886872102
6501.T,日立,1.0,short,13:00,31,-0.13959807672543145,45.16129032258064,0.7968930517628147,-1.2158979300635138
6501.T,日立,1.0,short,15:30,31,-0.17510554174908138,48.38709677419355,0.7861911611114265,-1.4038275006049412
6501.T,日立,1.5,long,09:30,14,0.10133523963225564,42.857142857142854,1.2302673504746322,1.3313096996550684
6501.T,日立,1.5,long,10:00,14,-0.3910247800919853,42.857142857142854,0.5527261089803075,-3.606292072628672
6501.T,日立,1.5,long,11:30,14,-0.4482936750667915,42.857142857142854,0.6335068403626434,-2.8561581214729905
6501.T,日立,1.5,long,13:00,14,-0.15222434378160601,42.857142857142854,0.8488512751511418,-0.9563536192680627
6501.T,日立,1.5,long,15:30,14,0.03317284373197148,28.57142857142857,1.0345856060510086,0.20451431268839376
6501.T,日立,1.5,short,09:30,14,-0.1813352396322557,50.0,0.68549363947678,-2.382323901219204
6501.T,日立,1.5,short,10:00,14,0.31102478009198525,50.0,1.5997305903155514,2.8684785618265534
6501.T,日立,1.5,short,11:30,14,0.36829367506679145,57.14285714285714,1.4551387041785588,2.346464002581404
6501.T,日立,1.5,short,13:00,14,0.07222434378160601,57.14285714285714,1.0812259985534693,0.4537514227940853
6501.T,日立,1.5,short,15:30,14,-0.11317284373197155,64.28571428571429,0.888627014854106,-0.697723310604448
6501.T,日立,2.0,long,09:30,5,0.0810671699200638,40.0,1.2564896114515254,1.5680705430744428
6501.T,日立,2.0,long,10:00,5,-0.7108221901634382,40.0,0.3437231172694619,-5.893812407693016
6501.T,日立,2.0,long,11:30,5,-0.5595001198673399,40.0,0.6539396343435132,-2.8327616068559993
6501.T,日立,2.0,long,13:00,5,-0.04762044112131658,40.0,0.9708373084989739,-0.2040409100226616
6501.T,日立,2.0,long,15:30,5,0.5258030420502546,40.0,1.3277117445618944,2.1228902191696495
6501.T,日立,2.0,short,09:30,5,-0.16106716992006387,40.0,0.626794159785,-3.115498972729149
6501.T,日立,2.0,short,10:00,5,0.6308221901634381,60.0,2.560316925482527,5.230489006791548
6501.T,日立,2.0,short,11:30,5,0.47950011986733987,60.0,1.4402031105862443,2.427719819550908
6501.T,日立,2.0,short,13:00,5,-0.03237955887868349,60.0,0.9799792865869043,-0.1387377878946509
6501.T,日立,2.0,short,15:30,5,-0.6058030420502547,60.0,0.7198302152583407,-2.4458841997129195
7011.T,三菱重工,0.5,long,09:30,91,0.0250399174118131,48.35164835164835,1.0408509744232959,0.25534401437455373
7011.T,三菱重工,0.5,long,10:00,91,-0.006130490209922081,51.64835164835166,0.9909225519605319,-0.05776559870219444
7011.T,三菱重工,0.5,long,11:30,91,-0.05012809223541251,50.54945054945055,0.9412289628531991,-0.3729943548542327
7011.T,三菱重工,0.5,long,13:00,91,-0.07150662633406037,48.35164835164835,0.9269071014137215,-0.4583249615439665
7011.T,三菱重工,0.5,long,15:30,91,0.019543703392194287,43.956043956043956,1.0208133490690006,0.1274336118989422
7011.T,三菱重工,0.5,short,09:30,91,-0.10503991741181319,50.54945054945055,0.8449166350545915,-1.0711422781630444
7011.T,三菱重工,0.5,short,10:00,91,-0.07386950979007799,48.35164835164835,0.8960378173628906,-0.6960481646239679
7011.T,三菱重工,0.5,short,11:30,91,-0.029871907764587563,49.45054945054945,0.9645752722476721,-0.22227163388927632
7011.T,三菱重工,0.5,short,13:00,91,-0.008493373665939621,50.54945054945055,0.9910209695562305,-0.05443866335735817
7011.T,三菱重工,0.5,short,15:30,91,-0.09954370339219439,56.043956043956044,0.8998259040974307,-0.6490690843236376
7011.T,三菱重工,1.0,long,09:30,37,0.3531400612717255,51.35135135135135,1.7239777663482199,3.3453295703866712
7011.T,三菱重工,1.0,long,10:00,37,0.4104135934079737,54.054054054054056,1.7792468872085576,3.5186983342043927
7011.T,三菱重工,1.0,long,11:30,37,0.5202143303914208,59.45945945945946,1.7659763858022546,3.370501934178872
7011.T,三菱重工,1.0,long,13:00,37,0.4795938569563054,51.35135135135135,1.6148812154613827,2.726764302278138
7011.T,三菱重工,1.0,long,15:30,37,0.5156917514737684,43.24324324324324,1.5941451456496207,2.9171718694533952
7011.T,三菱重工,1.0,short,09:30,37,-0.43314006127172544,48.64864864864865,0.5089107364220825,-4.103177220599902
7011.T,三菱重工,1.0,short,10:00,37,-0.4904135934079737,45.94594594594595,0.4997498043975468,-4.204581724174201
7011.T,三菱重工,1.0,short,11:30,37,-0.6002143303914209,40.54054054054054,0.5186478035609625,-3.8888270532339866
7011.T,三菱重工,1.0,short,13:00,37,-0.5595938569563055,45.94594594594595,0.5701166110965408,-3.1816098784217997
7011.T,三菱重工,1.0,short,15:30,37,-0.5956917514737685,56.75675675675676,0.5799788248027384,-3.369716919649225
7011.T,三菱重工,1.5,long,09:30,15,0.667672861336872,66.66666666666666,2.3434553105863936,5.273841130368351
7011.T,三菱重工,1.5,long,10:00,15,0.5947341124091388,60.0,2.0577693729144833,4.338654169111099
7011.T,三菱重工,1.5,long,11:30,15,0.9972625220115056,80.0,2.651333643250275,5.550775786011427
7011.T,三菱重工,1.5,long,13:00,15,1.2002627345940027,66.66666666666666,3.199222633519335,5.962578261340029
7011.T,三菱重工,1.5,long,15:30,15,1.2740556037603576,60.0,3.353349415259358,7.171942391218269
7011.T,三菱重工,1.5,short,09:30,15,-0.747672861336872,33.33333333333333,0.3861410340969335,-5.905748333522736
7011.T,三菱重工,1.5,short,10:00,15,-0.6747341124091388,40.0,0.44004873772997305,-4.922263426234241
7011.T,三菱重工,1.5,short,11:30,15,-1.0772625220115055,20.0,0.3530638384592172,-5.996056795855485
7011.T,三菱重工,1.5,short,13:00,15,-1.2802627345940027,33.33333333333333,0.2884910842845025,-6.359996465837192
7011.T,三菱重工,1.5,short,15:30,15,-1.354055603760358,40.0,0.273355184374221,-7.622280186212485
7011.T,三菱重工,2.0,long,09:30,5,0.9439297425769944,40.0,2.208906676727964,5.240338877405253
7011.T,三菱重工,2.0,long,10:00,5,1.0247750907061115,40.0,2.0813749669552983,4.892579045174513
7011.T,三菱重工,2.0,long,11:30,5,1.8751498931063622,80.0,3.370645802172532,7.260763317559745
7011.T,三菱重工,2.0,long,13:00,5,2.4372402732452203,60.0,3.882890378567672,8.094131208080944
7011.T,三菱重工,2.0,long,15:30,5,2.936414030761631,60.0,11.70763574862803,13.796880430086464
7011.T,三菱重工,2.0,short,09:30,5,-1.0239297425769944,60.0,0.41714295127762097,-5.684468446887725
7011.T,三菱重工,2.0,short,10:00,5,-1.1047750907061116,60.0,0.44883450806057223,-5.274522680576762
7011.T,三菱重工,2.0,short,11:30,5,-1.9551498931063627,20.0,0.28386377485531955,-7.570531122011117
7011.T,三菱重工,2.0,short,13:00,5,-2.5172402732452204,40.0,0.2442208296917749,-8.359813054780565
7011.T,三菱重工,2.0,short,15:30,5,-3.0164140307616316,40.0,0.0743361671500576,-14.17276421992132
5016.T,出光,0.5,long,09:30,45,-0.2859824465585183,46.666666666666664,0.5875628229074862,-3.0864017880503507
5016.T,出光,0.5,long,10:00,45,-0.20257373195670286,44.44444444444444,0.6689652950042239,-2.4982166795781353
5016.T,出光,0.5,long,11:30,45,-0.32694974876168115,46.666666666666664,0.5865971883401078,-3.285333705602953
5016.T,出光,0.5,long,13:00,45,-0.07863057123630643,55.55555555555556,0.8984377983397781,-0.6483862539614873
5016.T,出光,0.5,long,15:30,45,0.07617626493194322,55.55555555555556,1.094978639876018,0.5596562698658871
5016.T,出光,0.5,short,09:30,45,0.20598244655851825,53.333333333333336,1.4631449383511115,2.223019625909485
5016.T,出光,0.5,short,10:00,45,0.12257373195670279,53.333333333333336,1.274945024919942,1.5116261061815432
5016.T,出光,0.5,short,11:30,45,0.24694974876168113,53.333333333333336,1.4926598657836514,2.4814588060390608
5016.T,出光,0.5,short,13:00,45,-0.0013694287636936476,40.0,0.9981539176129531,-0.011292284568173817
5016.T,出光,0.5,short,15:30,45,-0.15617626493194328,42.22222222222222,0.8307422317772803,-1.1474049817418404
5016.T,出光,1.0,long,09:30,21,-0.37663497165485416,38.095238095238095,0.4702782226574475,-3.863595161379841
5016.T,出光,1.0,long,10:00,21,-0.15780024222955408,38.095238095238095,0.7190079604266135,-1.8966815923634341
5016.T,出光,1.0,long,11:30,21,-0.15206506977254472,57.14285714285714,0.7725594402628198,-1.468861187950592
5016.T,出光,1.0,long,13:00,21,0.07590443898114611,57.14285714285714,1.10615019663826,0.5793715575635825
5016.T,出光,1.0,long,15:30,21,0.13392544285866895,52.38095238095239,1.167372188136761,0.9411400774931051
5016.T,出光,1.0,short,09:30,21,0.29663497165485414,61.904761904761905,1.8130405153280134,3.042939523502344
5016.T,出光,1.0,short,10:00,21,0.07780024222955402,57.14285714285714,1.1783741069157103,0.9351207909018964
5016.T,出光,1.0,short,11:30,21,0.07206506977254466,42.857142857142854,1.128174516332079,0.6961071609290385
5016.T,出光,1.0,short,13:00,21,-0.1559044389811462,42.857142857142854,0.8136641439426797,-1.190004153327836
5016.T,出光,1.0,short,15:30,21,-0.21392544285866902,42.857142857142854,0.7808401030346059,-1.503327549808601
5016.T,出光,1.5,long,09:30,11,-0.12579449807590243,36.36363636363637,0.8097288307040164,-1.2887128760860682
5016.T,出光,1.5,long,10:00,11,0.19678874729687676,45.45454545454545,1.6234065702893514,3.173681573419548
5016.T,出光,1.5,long,11:30,11,0.22646215014085785,63.63636363636363,1.5155116661227879,2.8633608517179288
5016.T,出光,1.5,long,13:00,11,0.6299585501975783,63.63636363636363,2.247488669894542,5.187006306798878
5016.T,出光,1.5,long,15:30,11,0.8213441425164867,63.63636363636363,2.3291708387342602,5.771698705880619
5016.T,出光,1.5,short,09:30,11,0.04579449807590235,63.63636363636363,1.081134184158736,0.4691457911673111
5016.T,出光,1.5,short,10:00,11,-0.27678874729687686,45.45454545454545,0.4989845670595184,-4.46386980501867
5016.T,出光,1.5,short,11:30,11,-0.3064621501408579,36.36363636363637,0.5723786652569399,-3.8748714639546993
5016.T,出光,1.5,short,13:00,11,-0.7099585501975781,36.36363636363637,0.4013078077444471,-5.845717113111077
5016.T,出光,1.5,short,15:30,11,-0.9013441425164866,36.36363636363637,0.39514836099603984,-6.333869752788866
5016.T,出光,2.0,long,09:30,0,,,,
5016.T,出光,2.0,long,10:00,0,,,,
5016.T,出光,2.0,long,11:30,0,,,,
5016.T,出光,2.0,long,13:00,0,,,,
5016.T,出光,2.0,long,15:30,0,,,,
5016.T,出光,2.0,short,09:30,0,,,,
5016.T,出光,2.0,short,10:00,0,,,,
5016.T,出光,2.0,short,11:30,0,,,,
5016.T,出光,2.0,short,13:00,0,,,,
5016.T,出光,2.0,short,15:30,0,,,,
4502.T,武田,0.5,long,09:30,72,0.02478758045044103,50.0,1.1035808029299674,0.5612832915676106
4502.T,武田,0.5,long,10:00,72,0.017408536422497584,48.61111111111111,1.064555491419742,0.3298175425267499
4502.T,武田,0.5,long,11:30,72,0.01046508133668088,54.166666666666664,1.0313606839980782,0.17862033390103824
4502.T,武田,0.5,long,13:00,72,0.018212857552189352,55.55555555555556,1.0510843509960983,0.288857268312763
4502.T,武田,0.5,long,15:30,72,0.008348098525760418,54.166666666666664,1.023795715472719,0.1398754146603849
4502.T,武田,0.5,short,09:30,72,-0.10478758045044108,47.22222222222222,0.6566396710974564,-2.3727817318927915
4502.T,武田,0.5,short,10:00,72,-0.09740853642249765,43.05555555555556,0.7033394165627942,-1.8454764561641621
4502.T,武田,0.5,short,11:30,72,-0.09046508133668094,41.66666666666667,0.7677251144172589,-1.5440781122363938
4502.T,武田,0.5,short,13:00,72,-0.09821285755218939,43.05555555555556,0.7660139224362481,-1.5576631873621427
4502.T,武田,0.5,short,15:30,72,-0.08834809852576048,44.44444444444444,0.7809779622365999,-1.4803043923851675
4502.T,武田,1.0,long,09:30,31,-0.06000864580797276,41.935483870967744,0.8140455710345793,-1.15789071916305
4502.T,武田,1.0,long,10:00,31,-0.024029338081455427,51.61290322580645,0.936387205116525,-0.3444131273589179
4502.T,武田,1.0,long,11:30,31,-0.012435569751929165,54.83870967741935,0.9700892764481043,-0.1754332045330577
4502.T,武田,1.0,long,13:00,31,0.02024582634005761,54.83870967741935,1.050073882947714,0.281825959925804
4502.T,武田,1.0,long,15:30,31,0.05754774517955206,54.83870967741935,1.1516173644891872,0.8637580971656422
4502.T,武田,1.0,short,09:30,31,-0.019991354192027303,54.83870967741935,0.9329752105301015,-0.3857411406436759
4502.T,武田,1.0,short,10:00,31,-0.05597066191854465,48.38709677419355,0.8583038336072146,-0.8022289522236838
4502.T,武田,1.0,short,11:30,31,-0.0675644302480709,45.16129032258064,0.8489139206608926,-0.9531565298027889
4502.T,武田,1.0,short,13:00,31,-0.10024582634005771,41.935483870967744,0.7865866821575037,-1.3954419919598018
4502.T,武田,1.0,short,15:30,31,-0.13754774517955215,45.16129032258064,0.714024740123975,-2.0645114465393446
4502.T,武田,1.5,long,09:30,14,-0.2689302224104426,42.857142857142854,0.4788687973664725,-4.165898006297557
4502.T,武田,1.5,long,10:00,14,-0.23761915134647696,42.857142857142854,0.6256453229384246,-2.5305301451790547
4502.T,武田,1.5,long,11:30,14,-0.320288318771345,50.0,0.5460700910905903,-3.5548163767839367
4502.T,武田,1.5,long,13:00,14,-0.24756947311289748,50.0,0.627495713363512,-2.696840926644182
4502.T,武田,1.5,long,15:30,14,-0.3563249572334643,35.714285714285715,0.47029207635125464,-4.506777910478347
4502.T,武田,1.5,short,09:30,14,0.1889302224104426,57.14285714285714,1.6713785921937807,2.926647774335291
4502.T,武田,1.5,short,10:00,14,0.15761915134647703,57.14285714285714,1.3653581832685056,1.678568464198471
4502.T,武田,1.5,short,11:30,14,0.24028831877134507,50.0,1.5649834834626115,2.666912280769313
4502.T,武田,1.5,short,13:00,14,0.1675694731128976,50.0,1.3666415878403362,1.825379387308319
4502.T,武田,1.5,short,15:30,14,0.27632495723346434,64.28571428571429,1.8011081222275287,3.4949424341267985
4502.T,武田,2.0,long,09:30,5,-0.7002833275068387,40.0,0.22256033890313032,-8.63960539789126
4502.T,武田,2.0,long,10:00,5,-0.8428365736613873,40.0,0.29168191641165014,-6.619141548138771
4502.T,武田,2.0,long,11:30,5,-0.9247735418681733,60.0,0.20425957978518608,-8.306706121919701
4502.T,武田,2.0,long,13:00,5,-0.8927387842160783,60.0,0.23159711038232822,-7.80719735671238
4502.T,武田,2.0,long,15:30,5,-0.9031668450190722,40.0,0.1238555641525665,-10.264194397771886
4502.T,武田,2.0,short,09:30,5,0.6202833275068387,60.0,3.6682005449340127,7.652621409150572
4502.T,武田,2.0,short,10:00,5,0.7628365736613872,60.0,3.0123580256052396,5.990868712812282
4502.T,武田,2.0,short,11:30,5,0.8447735418681734,40.0,3.9601578379094464,7.588112369322587
4502.T,武田,2.0,short,13:00,5,0.8127387842160785,40.0,3.563262338039304,7.107579731064543
4502.T,武田,2.0,short,15:30,5,0.8231668450190721,60.0,6.155246051101565,9.35502068712221
5713.T,住友金属鉱山,0.5,long,09:30,86,0.13375659346908678,54.65116279069767,1.4105595932651231,2.1323870750511538
5713.T,住友金属鉱山,0.5,long,10:00,86,0.24174403715816442,60.46511627906976,1.7502371815399607,3.422075297474394
5713.T,住友金属鉱山,0.5,long,11:30,86,0.26742526010779466,63.95348837209303,1.7172106805369662,3.3916010554100975
5713.T,住友金属鉱山,0.5,long,13:00,86,0.3515326655737463,61.627906976744185,1.9612801276319793,3.9802670363720076
5713.T,住友金属鉱山,0.5,long,15:30,86,0.4555952768579452,63.95348837209303,2.1335379881632766,4.471084463538448
5713.T,住友金属鉱山,0.5,short,09:30,86,-0.21375659346908674,39.53488372093023,0.5772095042199199,-3.4077706773071315
5713.T,住友金属鉱山,0.5,short,10:00,86,-0.3217440371581644,36.04651162790697,0.4757589067557936,-4.55453766145335
5713.T,住友金属鉱山,0.5,short,11:30,86,-0.3474252601077947,33.72093023255814,0.49846093032819067,-4.406195130492758
5713.T,住友金属鉱山,0.5,short,13:00,86,-0.43153266557374625,38.372093023255815,0.4370289034457644,-4.886075782168238
5713.T,住友金属鉱山,0.5,short,15:30,86,-0.5355952768579452,33.72093023255814,0.41118241696476915,-5.2561820605765375
5713.T,住友金属鉱山,1.0,long,09:30,36,0.14907867673279657,52.77777777777778,1.5097615476415682,2.6313388896629433
5713.T,住友金属鉱山,1.0,long,10:00,36,0.3007761852942944,58.333333333333336,2.1396020123279555,4.981476178409977
5713.T,住友金属鉱山,1.0,long,11:30,36,0.4286687223086457,66.66666666666666,2.8639288037443897,6.335391744654762
5713.T,住友金属鉱山,1.0,long,13:00,36,0.4621263458530696,61.111111111111114,2.6396812630812807,5.58431648702292
5713.T,住友金属鉱山,1.0,long,15:30,36,0.5629581848434513,66.66666666666666,2.512769926424983,5.544828888126838
5713.T,住友金属鉱山,1.0,short,09:30,36,-0.2290786767327966,41.66666666666667,0.529413311932848,-4.043392684253173
5713.T,住友金属鉱山,1.0,short,10:00,36,-0.38077618529429447,41.66666666666667,0.3771793705920177,-6.306441763311149
5713.T,住友金属鉱山,1.0,short,11:30,36,-0.5086687223086458,27.77777777777778,0.2885726200535628,-7.51772979078694
5713.T,住友金属鉱山,1.0,short,13:00,36,-0.5421263458530695,38.88888888888889,0.31623464813028607,-6.5510333231668465
5713.T,住友金属鉱山,1.0,short,15:30,36,-0.6429581848434515,30.555555555555557,0.35024536532686534,-6.332784944176545
5713.T,住友金属鉱山,1.5,long,09:30,15,0.4076409167265357,60.0,2.5295310562677327,6.34653892075796
5713.T,住友金属鉱山,1.5,long,10:00,15,0.4419504211262544,60.0,2.500835161204966,6.250272059957263
5713.T,住友金属鉱山,1.5,long,11:30,15,0.7395356450593022,73.33333333333333,3.9938765588730387,8.849352499083352
5713.T,住友金属鉱山,1.5,long,13:00,15,0.9707962646910081,73.33333333333333,4.117531660492757,8.993800074829176
5713.T,住友金属鉱山,1.5,long,15:30,15,1.1575729651639277,73.33333333333333,4.418453480861188,9.159905365839927
5713.T,住友金属鉱山,1.5,short,09:30,15,-0.48764091672653564,40.0,0.32474163587885513,-7.592054502799594
5713.T,住友金属鉱山,1.5,short,10:00,15,-0.5219504211262544,40.0,0.33460344396566843,-7.381669929252963
5713.T,住友金属鉱山,1.5,short,11:30,15,-0.8195356450593022,26.666666666666668,0.21591922486851975,-9.806639960014188
5713.T,住友金属鉱山,1.5,short,13:00,15,-1.050796264691008,26.666666666666668,0.2163277707430434,-9.734948379736737
5713.T,住友金属鉱山,1.5,short,15:30,15,-1.2375729651639273,20.0,0.20542645742100626,-9.792947473179934
5713.T,住友金属鉱山,2.0,long,09:30,5,0.9409593280926698,80.0,11.335605428763602,17.96768817437923
