date,long,short,ls,long_gated,ls_eq,longg_eq
2021-11-11,0.015323346454239717,0.015246731026140692,7.661542809902534e-05,0.015323346454239717,0.9070919392909224,0.9818341751770427
2021-11-12,0.009593732425067624,0.001254128697663659,0.008339603727403964,0.009593732425067624,0.914656726608931,0.9912536295394783
2021-11-15,0.002818010128885251,0.0022122090970177143,0.0006058010318675368,0.002818010128885251,0.9152108265977152,0.9940469923078148
2021-11-16,0.027445902377860775,-0.010475969187204259,0.03792187156506503,0.027445902377860775,0.9499173340189109,1.0213295090177013
2021-11-17,-0.005754822646780733,0.005053125395757929,-0.010807948042538661,-0.005754822646780733,0.9396506768281276,1.0154519388293808
2021-11-18,0.003744402281556236,0.009953864808819546,-0.00620946252726331,0.003744402281556236,0.9338159511616458,1.0192541993859443
2021-11-19,-0.004476470969551704,4.616763803539925e-05,-0.004522638607587104,-0.004476470969551704,0.9295926390885415,1.0146915375517995
2021-11-22,-0.02770946707977042,0.005094585071831493,-0.03280405215160191,-0.02770946707977042,0.8990982336761357,0.9865749757958864
2021-11-24,0.00036261290607910726,0.00534138322986788,-0.004978770323788772,0.00036261290607910726,0.894621830072138,0.9869327206149248
2021-11-25,-0.029265114364213307,-0.02854796986155861,-0.0007171445026546985,-0.029265114364213307,0.8939802569447469,0.9580500216763448
2021-11-26,0.00041494071162715416,-0.03309740508936554,0.033512345800992695,0.00041494071162715416,0.9239396324547396,0.9584475556341137
2021-11-29,-0.002342763037224338,-0.027125868695489563,0.024783105658265223,-0.002342763037224338,0.9468377259877242,0.956202140127656
2021-11-30,0.004405781211164195,0.015581085480110302,-0.011175304268946107,0.004405781211164195,0.9362565263064944,0.9604149575507055
2021-12-01,-0.013917751608019824,-0.00946077587939651,-0.004456975728623315,-0.013917751608019824,0.9320836536929811,0.9470481407308879
2021-12-02,0.003939642969705748,0.023861776389421597,-0.019922133419715847,0.0,0.9135145587857733,0.9470481407308879
