,D_strong,D_freq,B,Combined
2025-10-08,0.0,0.0,49.02696375838645,12.256740939596613
2025-10-09,0.0,0.0,12.895984198736617,3.223996049684154
2025-10-10,0.0,0.0,88.85802031656144,22.21450507914036
2025-10-15,-187.06131512690965,-193.7587833560663,0.0,-141.9703534024714
2025-10-16,0.0,0.0,-88.21954823728139,-22.054887059320347
2025-10-17,0.0,0.0,-136.14070351758744,-34.03517587939686
2025-10-20,0.0,0.0,-21.010668748373313,-5.252667187093328
2025-10-21,0.0,0.0,248.60764690787818,62.151911726969544
2025-10-22,0.0,146.06841349880932,0.0,36.51710337470233
2025-10-23,0.0,0.0,-128.7518135164104,-32.1879533791026
2025-10-24,0.0,72.450220503014,-81.37410959980805,-2.230972274198514
2025-10-27,0.0,0.0,4.127091923357369,1.0317729808393423
2025-10-28,0.0,0.0,-69.9047619047619,-17.476190476190474
2025-10-30,0.0,0.0,-11.237709169792709,-2.809427292448177
2025-10-31,0.0,98.09043833815142,52.54405517651795,37.65862337866734
2025-11-04,0.0,0.0,39.26149238740596,9.81537309685149
2025-11-05,-8.103626391352307,418.2658456568352,169.8239934303227,142.97064657611332
2025-11-06,0.0,0.0,-25.811992567692833,-6.452998141923208
2025-11-10,0.0,0.0,-52.694586988909265,-13.173646747227316
2025-11-11,0.0,0.0,342.5325199048692,85.6331299762173
2025-11-12,0.0,0.0,29.21181652578268,7.30295413144567
2025-11-13,0.0,0.0,44.04608824940079,11.011522062350197
2025-11-14,0.0,0.0,12.714655618849775,3.178663904712444
2025-11-17,0.0,0.0,3.429094918274929,0.8572737295687323
2025-11-18,0.0,0.0,-328.37970928507906,-82.09492732126976
2025-11-19,0.0,0.0,-83.3957590612947,-20.848939765323674
2025-11-20,0.0,38.228639971592344,-19.62393798761679,4.651175495993888
2025-11-21,0.0,107.520831153796,-79.0188473094786,7.1254959610793485
2025-11-25,0.0,0.0,204.10036656115648,51.02509164028912
2025-11-27,0.0,19.709434869385156,14.782810288586308,8.623061289492867
2025-11-28,0.0,0.0,-27.045771997469593,-6.761442999367398
2025-12-01,0.0,0.0,2.9769239162518844,0.7442309790629711
2025-12-02,0.0,0.0,16.56219382255561,4.1405484556389025
2025-12-03,0.0,0.0,28.11151235013765,7.027878087534413
2025-12-04,16.38101750110735,41.02028171371895,0.0,18.445579178983415
2025-12-08,0.0,0.0,-177.8571043407926,-44.46427608519815
2025-12-09,0.0,0.0,46.960541149944305,11.740135287486076
2025-12-10,71.04895745218299,108.59678210956287,-9.63570001260623,60.26474925033065
2025-12-11,0.0,0.0,353.7863199547777,88.44657998869442
2025-12-12,156.00374930395964,53.53513179093904,48.93409180775627,103.61918055165364
2025-12-16,0.0,0.0,252.68652849740914,63.171632124352286
2025-12-18,0.0,115.06799527676827,116.92736780941316,57.99884077154536
2025-12-19,0.0,0.0,-174.36957813428444,-43.59239453357111
2025-12-24,0.0,203.54755302967968,-58.36316828390786,36.29609618644295
2025-12-26,0.0,0.0,-107.07643475144613,-26.769108687861532
2025-12-29,0.0,0.0,36.82531311799542,9.206328279498855
2026-01-05,0.0,0.0,77.25297493291228,19.31324373322807
2026-01-06,0.0,0.0,31.059072956911617,7.764768239227904
2026-01-07,0.0,7.093999528171949,120.7425149700594,31.959128624557838
2026-01-08,143.4244396508063,-63.440577801355715,30.672714563747775,63.52025401600117
2026-01-09,0.0,144.3089661829137,58.20034973769728,50.62732898015275
2026-01-14,0.0,0.0,40.8154354408558,10.20385886021395
2026-01-15,0.0,110.50353950549285,118.72107925499611,57.30615469012224
2026-01-16,0.0,-63.25098898293335,-112.53736654804314,-43.947088882744126
2026-01-19,0.0,0.0,206.29504769371556,51.57376192342889
2026-01-20,0.0,0.0,146.07128059336193,36.51782014834048
2026-01-21,0.0,-491.985026093339,-39.006748381612695,-132.74794361873793
2026-01-23,0.0,0.0,-80.18212104386446,-20.045530260966114
2026-01-26,0.0,0.0,-31.77179080824132,-7.94294770206033
2026-01-28,0.0,-84.91851687296705,68.80509950154291,-4.0283543428560336
2026-01-29,0.0,0.0,-500.25720438929363,-125.06430109732341
2026-01-30,-175.3901257693823,-25.939893899773658,0.0,-94.18003635963457
2026-02-04,256.8037305080281,160.51363312088975,97.0872246224747,192.80207968985513
2026-02-05,432.7919999850926,163.08540058291987,0.0,257.1673501382763
2026-02-06,0.0,-127.46422174347785,0.0,-31.866055435869463
2026-02-09,0.0,0.0,390.2007551684735,97.55018879211838
2026-02-10,0.0,0.0,-67.41510718580733,-16.853776796451832
2026-02-12,0.0,213.89120897248682,127.63835483422437,85.38239095167779
2026-02-13,33.69653465003642,-114.57625651549179,257.8193061220711,52.659029726663036
2026-02-16,0.0,0.0,-25.254730626408694,-6.3136826566021735
2026-02-17,0.0,0.0,44.756048753865855,11.189012188466464
2026-02-18,0.0,-366.59241591480554,0.0,-91.64810397870139
2026-02-19,0.0,124.68206550038948,102.19578474376735,56.71946256103921
2026-02-20,0.0,0.0,72.95513491477968,18.23878372869492
2026-02-24,0.0,0.0,-50.232408189599155,-12.558102047399789
2026-02-25,455.52025584727255,242.31950659039816,141.2400078008302,323.65000652144334
2026-02-26,0.0,-89.67704111626426,-53.065716471225755,-35.685689396872505
2026-02-27,0.0,0.0,80.61745873645762,20.154364684114405
2026-03-02,0.0,0.0,98.91822677659759,24.729556694149398
2026-03-03,0.0,0.0,-71.63931605211279,-17.909829013028197
2026-03-04,0.0,166.61995434125674,-63.37155395812509,25.812100095782913
2026-03-05,0.0,0.0,27.95727713868846,6.989319284672115
2026-03-06,0.0,178.87398176563508,18.506810867149568,49.34519815819616
2026-03-09,0.0,0.0,265.27070879590076,66.31767719897519
2026-03-10,0.0,0.0,-46.19921261739912,-11.54980315434978
2026-03-11,0.0,211.54735654398985,60.53341629458424,68.02019320964352
2026-03-16,0.0,0.0,-20.3251126026025,-5.081278150650625
2026-03-17,0.0,0.0,10.10974817081516,2.52743704270379
2026-03-18,0.0,-152.81743575620678,0.0,-38.204358939051694
2026-03-19,86.40834156827378,-14.576318756785355,64.52568200230503,55.691511595516815
2026-03-23,0.0,0.0,-234.87609075043636,-58.71902268760909
