,pnl_bps
2025-05-14,-84.64090014471769
2025-05-15,-108.70986690798868
2025-05-16,-120.15627534097639
2025-05-20,24.499980249645297
2025-05-22,409.0895454469208
2025-05-23,-162.1724725872584
2025-05-26,191.7556839370696
2025-05-27,37.99057012175933
2025-05-28,-143.9074371208995
2025-05-29,-111.2246537236643
2025-05-30,76.53834898740098
2025-06-02,-139.9400252720111
2025-06-03,-156.91130316357692
2025-06-04,29.27142652558779
2025-06-05,-103.19646338792145
2025-06-06,66.23859987417501
2025-06-09,-155.44687897419607
2025-06-10,142.52798836276747
2025-06-11,-132.13406890078681
2025-06-13,177.3545826589147
2025-06-16,279.4619581500706
2025-06-17,-145.02243926635927
2025-06-18,83.79745611654023
2025-06-19,76.60000439979322
2025-06-20,-169.49682378923177
2025-06-23,225.9278592035108
2025-06-24,44.65674537619725
2025-06-25,-28.25713501656545
2025-06-26,-160.70569250797683
2025-06-27,50.50618868320968
2025-07-02,188.96272504413682
2025-07-03,-60.69095589439487
2025-07-04,103.04070657017084
2025-07-07,55.19664554032389
2025-07-08,105.54529066695184
2025-07-09,210.1942251850697
2025-07-10,-73.93717083504869
2025-07-11,162.26643574337317
2025-07-15,249.6107159798724
2025-07-16,97.74524862614922
2025-07-17,250.02124297829732
2025-07-18,42.844599442828155
2025-07-23,77.46953653204812
2025-07-29,94.38749142018632
2025-07-31,-126.57285537760686
2025-08-01,213.29091905333365
2025-08-04,408.0527236608886
2025-08-05,67.05910849282625
2025-08-06,-131.41786488581198
2025-08-08,-77.20698647208344
2025-08-13,-132.81467982738437
2025-08-14,299.73720027284355
2025-08-18,-56.87485516289703
2025-08-19,-106.52357515488386
2025-08-20,-202.2417995131296
2025-08-21,-108.62264724181037
2025-08-22,-75.2186367527936
2025-08-25,45.38662233676539
2025-08-27,-40.03164249713831
2025-08-29,37.836900540966674
2025-09-01,-203.70054939543402
2025-09-02,-74.58851840623447
2025-09-03,94.47407863832248
2025-09-05,203.57351177165285
2025-09-08,-230.62550251262604
2025-09-09,-69.03962338753342
2025-09-11,-110.08595710023883
2025-09-12,-206.52815358742768
2025-09-16,31.28136897764034
2025-09-17,-42.13934662084173
2025-09-18,283.8234529768082
2025-09-19,197.29122782051587
2025-09-22,373.82165009941116
2025-09-24,22.867915571346934
2025-09-29,-96.68230341653495
2025-10-01,128.1105499296551
2025-10-02,3.55338697701103
2025-10-03,-71.22862880309633
2025-10-06,392.86503035277497
2025-10-07,369.0623077746409
2025-10-08,50.8402885146957
2025-10-09,53.90799521716351
2025-10-14,277.24856324357523
2025-10-15,348.92980739031066
