code,name,sig_date,entry,gross_ret,net_ret,reason,exit_day,year
85240,北洋銀行,2024-10-08,405.0,2.4691358024691468,2.3691358024691467,TIME,5,2024
73890,あいちフィナンシャルグループ,2024-10-30,451.2,5.939716312056742,5.839716312056742,TIME,5,2024
83580,スルガ銀行,2024-10-30,1100.0,-2.8181818181818197,-2.9181818181818198,TIME,5,2024
58300,いよぎんホールディングス,2024-11-07,1596.0,-1.4097744360902276,-1.5097744360902277,TIME,5,2024
58310,しずおかフィナンシャルグループ,2024-11-07,1356.0,-1.5855457227138658,-1.685545722713866,TIME,5,2024
58320,ちゅうぎんフィナンシャルグループ,2024-11-07,1628.0,-1.535626535626533,-1.6356265356265332,TIME,5,2024
58440,京都フィナンシャルグループ,2024-11-07,2356.0,1.8039049235993199,1.7039049235993198,TIME,5,2024
71670,めぶきフィナンシャルグループ,2024-11-07,637.1,2.5898603045047874,2.4898603045047873,TIME,5,2024
71800,九州フィナンシャルグループ,2024-11-07,783.3,-0.7149240393208078,-0.8149240393208078,TIME,5,2024
71860,横浜フィナンシャルグループ,2024-11-07,849.6,0.1647834274952853,0.06478342749528529,TIME,5,2024
73370,ひろぎんホールディングス,2024-11-07,1196.0,-4.013377926421402,-4.113377926421402,TIME,5,2024
83040,あおぞら銀行,2024-11-07,2687.0,-0.44659471529586714,-0.5465947152958671,TIME,5,2024
83060,三菱ＵＦＪフィナンシャル・グループ,2024-11-07,1784.0,0.7847533632286963,0.6847533632286963,TIME,5,2024
83080,りそなホールディングス,2024-11-07,1166.0,4.97427101200687,4.87427101200687,TIME,5,2024
83090,三井住友トラストグループ,2024-11-07,3563.0,3.003087285994943,2.903087285994943,TIME,5,2024
83160,三井住友フィナンシャルグループ,2024-11-07,3565.0,1.3744740532959376,1.2744740532959375,TIME,5,2024
83310,千葉銀行,2024-11-07,1274.5,-5.492349941153396,-5.592349941153396,TIME,5,2024
83410,七十七銀行,2024-11-07,1466.7,0.1363605372605159,0.036360537260515885,TIME,5,2024
83540,ふくおかフィナンシャルグループ,2024-11-07,3790.0,4.089709762532978,3.989709762532978,TIME,5,2024
83580,スルガ銀行,2024-11-07,1075.0,-4.651162790697672,-4.751162790697672,TIME,5,2024
