date,09:00寄成(元検証),09:05,09:10,09:20,09:30
2024-09-03,-0.0076827217095289165,0.030860542329307707,-0.04628722153388729,-0.0312693032220483,-0.03158869533177886
2024-09-04,-0.010860490517923713,-0.018819548360297804,-0.011098574195160336,-0.010725878280751526,-0.008698438758130412
2024-09-05,0.003342309969489907,0.005546415960809648,-0.004919253997975473,-0.006061303661180506,-0.0021542364168546974
2024-09-09,0.032185067859136975,0.050311401469355733,0.01989698657504387,0.023911760952958296,0.017324212550343245
2024-09-12,0.0011676297118298393,0.02512338355921001,-0.0018494322083239755,-0.0034534484190750403,-0.0099587596003065
2024-09-17,0.04541947650946856,-0.04772659262343496,0.00015185056340262547,0.006549002977735025,0.04277253915778171
2024-09-18,0.08601480031429257,-0.0020217777362551473,0.044060689673171886,0.034227824193455866,0.0396255215454145
2024-09-19,0.007341080837432901,-0.010958329580480122,0.004870799270190327,-0.0015272693636024688,-0.002879209510118616
2024-09-20,0.005613992168200261,-0.005580065555750631,0.009051134411134644,0.004821415415796549,0.010853990155886114
2024-09-24,-0.016882158821753233,-0.005545847420676741,-0.018212132912233673,-0.0015218693941875584,-0.000199459156586535
2024-09-25,-0.012150551562375577,,-0.03258904172763392,-0.02911781364339656,-0.03012649286536462
2024-09-26,-0.023991363989738113,-0.029567876778785605,-0.03288045188235307,-0.017252178047131098,-0.009464146906102523
2024-09-27,0.0008800627773119192,-0.017481486845511013,-0.016288316382113217,-0.016767862084241525,-0.018605733619779914
2024-09-30,-0.0023861864149379176,0.0053087226398864,-0.007733393726671426,-0.0025577863578267785,-0.002147540048617372
2024-10-01,0.07661070869323272,,0.06412812433634998,0.05366136221530501,-0.0035803940292093764
2024-10-02,-0.0019908676812024676,-0.01612180776283473,-0.020536787128040027,-0.01362429721918759,-0.01082983846494706
2024-10-03,0.00738160884458147,0.005062159335484937,0.002983008159806617,0.00538911460629417,0.006069087966065185
2024-10-04,0.02584114543443813,-0.03267452567670124,0.02118817116197995,0.02172335699194752,0.015434870125720068
2024-10-07,5.371111310839343e-07,-0.005460705794898277,-0.006778392918019483,-0.007697009648419543,-0.007317552449580204
2024-10-08,-0.03205209923010239,0.018974240503093234,-0.047205336871496036,-0.05054054168649575,-0.02733651580230773
2024-10-15,0.023336329740070307,-0.018538301761469204,0.01648143267123318,0.005010299344273822,0.02026974505749554
