,ped
2017-05-16,-0.006347270375281072
2017-05-17,-0.012189979211400803
2017-05-18,-0.02532109270430146
2017-05-24,-0.010045288326300939
2017-05-25,0.002285795454545414
2017-05-26,-0.0057066079295154054
2017-05-29,0.007909916440149035
2017-05-30,0.0034228213711931968
2017-05-31,-0.0035239614902447753
2017-06-01,0.015712682379348974
2017-06-02,-0.015469613259668558
2017-06-05,0.01232714683135392
2017-06-06,-0.02544100141488399
2017-06-07,0.0231969096990224
2017-06-08,-0.0032958695854653844
2017-06-09,-0.03403636766791686
2017-06-12,-0.006965899864682012
2017-06-14,0.0022590163934425923
2017-06-15,0.011447260834014816
2017-06-16,-0.004850444624090566
2017-06-19,0.012797562956945651
2017-06-28,-0.009115304606240682
2017-06-29,0.01448885941644561
2017-06-30,-0.0034685369394296776
2017-07-03,-0.01635757669491058
2017-07-04,-0.019538061504032127
2017-07-05,0.011006106329220005
2017-07-06,0.000652427994390737
2017-07-07,-0.0041340101037042375
2017-07-10,-0.00478841126080766
2017-07-11,-0.0052037122007313995
2017-07-12,0.0001954795362179903
2017-07-21,-0.004061003861003853
2017-07-24,0.004717817800314694
2017-07-25,-0.0069381496585191275
2017-07-26,-0.0021818306978945044
2017-07-27,0.007041947383740279
2017-07-28,-0.0033102651411832883
2017-07-31,-0.010231226007002854
2017-08-01,0.0021376656898095038
2017-08-02,0.002694559572038503
2017-08-03,-0.002642999566547787
2017-08-04,0.005756998910174111
2017-08-07,0.0035206807375706525
2017-08-08,0.0021907464649759353
2017-08-09,-0.01655825525501033
2017-08-10,0.0038708702125672574
2017-08-14,0.005574783445620768
2017-08-23,-0.00465765230312034
2017-08-24,-0.0002
2017-08-29,0.005453976630229929
2017-08-30,-0.010694752623688153
2017-08-31,0.012895238095238048
2017-09-01,-0.011950881316098694
2017-09-04,-0.00903215285784883
2017-09-05,-0.03975250542183253
2017-09-06,0.0024703095029333217
2017-09-07,0.011358562898728474
2017-09-08,-0.01929407665505236
2017-09-11,0.021112872975277176
2017-09-25,0.004942857142857116
2017-09-26,-0.01441262080727681
2017-09-27,-0.002839282494532158
2017-09-28,0.0008137216038825778
2017-09-29,0.01405038938251666
2017-10-02,0.0002307658499645242
2017-10-03,-0.006399252812623826
2017-10-04,-0.0006332300469907401
2017-10-05,-0.006825631975376089
2017-10-06,0.002467937961364157
2017-10-10,0.0017725337896818622
2017-10-11,0.009121874554209172
2017-10-12,0.006394853124583479
2017-10-13,-0.003968844221105571
2017-10-18,-0.005646296735133599
2017-10-19,0.0078283850708959
2017-10-20,0.011347396491830853
2017-10-23,0.006194450794523845
2017-10-24,0.00634758996490393
2017-10-25,-0.006042063148732656
2017-10-26,0.00032866284680951256
2017-10-27,0.004789498657991347
2017-10-30,0.0002213512901812605
2017-10-31,0.0017514122937803275
2017-11-01,0.009419315052831239
2017-11-02,9.310983637262683e-05
2017-11-06,-0.006070260498992189
2017-11-07,0.010937659621462993
2017-11-08,0.002420919348443498
2017-11-09,-0.0063114299657997955
2017-11-10,0.0008063920679982804
2017-11-13,-0.008762265300968842
2017-11-15,-0.010997580573120452
2017-11-16,0.0038028042749583602
2017-11-28,-0.021684375
2017-11-29,0.0036788277104327976
2017-11-30,-0.004265579657599072
2017-12-01,-0.0015890184932208725
2017-12-04,-0.002201117641268924
2017-12-05,-0.012195121951219523
2017-12-06,-0.007504049360829542
2017-12-07,0.014524502823390737
2017-12-08,0.008350053437833993
2017-12-11,0.0050358600079368245
2017-12-12,0.008227483404666601
2017-12-13,-0.016814982705992
2017-12-14,0.004278448569686933
