price_mom20,obv_mom20,divergence,fwd_1,fwd_5,fwd_10,sym,p_sign,o_sign,quad
0.12034078807241744,40976800.0,0.03857223209441474,-0.011406844106463865,0.02091254752851701,0.09885931558935357,6857.T,P+,O+,P+O+
0.040000000000000036,16577200.0,0.003739155106246339,0.011538461538461497,0.028846153846153744,0.11923076923076925,6857.T,P+,O+,P+O+
0.045725646123260466,13867200.0,0.04564661201288195,0.011406844106463865,0.011406844106463865,0.12547528517110274,6857.T,P+,O-,P+O-
0.08020304568527914,30676000.0,0.00568513845127705,0.03759398496240607,0.05827067669172936,0.15601503759398505,6857.T,P+,O+,P+O+
0.08235294117647052,25249600.0,0.04360705023867473,-0.02717391304347827,0.02717391304347827,0.07065217391304346,6857.T,P+,O+,P+O+
0.07723169508525585,27316000.0,0.01966067864271459,-0.003724394785847296,0.07635009310986973,0.13035381750465547,6857.T,P+,O+,P+O+
0.11924686192468625,30508800.0,0.09845396488817881,-0.005607476635513975,0.08785046728971957,0.11214953271028039,6857.T,P+,O+,P+O+
0.027027027027026973,-4602400.0,0.13499036839040124,0.05827067669172936,0.11278195488721798,0.1071428571428572,6857.T,P-,O-,P-O-
0.08687258687258681,11362800.0,0.1623652943489579,0.007104795737122638,0.09236234458259318,-0.026642984014209614,6857.T,P+,O-,P+O-
0.0759013282732448,7042000.0,0.1753510435488126,0.01940035273368612,0.042328042328042326,0.04938271604938271,6857.T,P+,O-,P+O-
0.1618090452261307,36958800.0,0.15080362964843386,0.006920415224913601,0.05017301038062283,0.02076124567474058,6857.T,P+,O+,P+O+
0.13229571984435795,38180800.0,0.08346872340107814,0.01718213058419238,0.022336769759450092,0.015463917525773141,6857.T,P+,O+,P+O+
0.10242085661080069,31899200.0,0.0425883893061757,0.038851351351351315,-0.0050675675675675436,0.023648648648648685,6857.T,P+,O+,P+O+
0.1603773584905661,53960000.0,0.05549549280491384,-0.039024390243902474,-0.10894308943089426,-0.026016260162601612,6857.T,P+,O+,P+O+
0.09040590405904059,30263200.0,0.03062403870563124,0.027072758037224975,0.006768189509306355,0.02876480541455151,6857.T,P+,O+,P+O+
0.14312617702448205,50937200.0,0.04004111477792549,-0.01976935749588138,-0.028006589785831926,-0.0049423393739703725,6857.T,P+,O+,P+O+
0.1531007751937985,50682800.0,0.05849597562978781,-0.010084033613445342,-0.006722689075630228,0.005042016806722671,6857.T,P+,O+,P+O+
0.10506566604127587,21187200.0,0.11893196151338215,-0.0696095076400679,0.028862478777589073,0.04074702886247872,6857.T,P+,O+,P+O+
0.07450980392156858,17643600.0,0.07904440495567466,0.08576642335766427,0.09306569343065685,0.1058394160583942,6857.T,P+,O+,P+O+
