sector,低出来高_N,低出来高_r,低出来高_wr,普通_N,普通_r,普通_wr,大商い_N,大商い_r,大商い_wr,超急増_N,超急増_r,超急増_wr,edge_high_vs_low
その他金融業,2081,0.15453937354962285,53.291686689091776,2902,0.09619121713957397,53.89386629910406,516,-0.04513366107605871,47.674418604651166,69,0.2376184605317644,50.72463768115942,0.08307908698214156
鉄鋼,2119,0.1623370743456917,53.893345917885796,2358,0.045170238106572655,50.551314673452076,486,0.059300178698983984,48.148148148148145,88,0.18595249353157764,44.31818181818182,0.023615419185885944
サービス業,8448,0.0018623630876023268,49.27793560606061,9926,0.034805583181590674,49.51642151924239,1914,0.1148393343889673,49.52978056426332,441,-0.06158067350326716,44.67120181405896,-0.06344303659086949
小売業,11529,0.07950400007300357,50.41200451036517,12407,0.08583543327484405,51.12436527766583,2736,0.05937184984678982,49.780701754385966,638,0.007347887677823933,46.08150470219436,-0.07215611239517963
情報･通信業,13538,0.06821590176279599,49.53464322647363,14941,0.06355498252339711,48.96593266849609,3357,0.22082765378088853,50.99791480488531,732,-0.00891480200298395,47.26775956284153,-0.07713070376577993
建設業,6217,0.31198374823862185,54.1096992118385,7747,0.16071556059163067,52.40738350329159,1480,0.44196711674640066,54.25675675675675,280,0.23332865960691146,51.78571428571429,-0.07865508863171039
電気機器,14836,0.262742453775674,52.736586681046106,18874,0.13020423986053217,50.455653279643954,3981,0.2850147495006938,51.51971866365235,642,0.16162488438219383,50.467289719626166,-0.10111756939348018
繊維製品,1327,0.2582217320670718,52.82592313489073,1508,0.18268976931844816,51.591511936339515,297,0.15002471160992778,53.535353535353536,63,0.14899289298571794,52.38095238095239,-0.10922883908135383
機械,10507,0.21149100623616207,51.546587988959736,12597,0.21333438530689094,52.20290545367945,2831,0.36004421392629327,53.09078064288237,461,0.09789148947361224,49.0238611713666,-0.11359951676254983
食料品,6534,0.07026399278839657,51.31619222528313,8207,0.029824112454589873,50.95650054831241,1456,-0.051240918001434994,49.58791208791209,336,-0.09983985586615984,50.595238095238095,-0.1701038486545564
銀行業,7157,0.40543874724301676,55.847422104233615,10323,0.30614160526971396,53.71500532790855,1849,-0.1378008267637412,50.784207679826935,173,0.20420081988483535,52.601156069364166,-0.2012379273581814
陸運業,5110,0.03331022504937149,50.136986301369866,7074,0.0411636445829749,51.35708227311281,1288,-0.02395698040769663,51.16459627329193,224,-0.19590950106346025,48.214285714285715,-0.22921972611283176
ガラス･土石製品,3027,0.1573749995116897,51.40403039312851,3560,0.14272597419202443,53.79213483146067,760,0.2473377118018489,52.76315789473684,139,-0.18201364078339613,47.482014388489205,-0.33938864029508586
不動産業,3995,0.12220222535487903,51.88986232790989,5009,0.16636285249103105,51.64703533639449,994,0.2745987812267035,52.112676056338024,156,-0.2769401367703766,44.871794871794876,-0.3991423621252556
海運業,814,0.19827276061961102,56.51105651105651,950,0.020406398901975497,49.684210526315795,206,0.07344512140675151,47.57281553398058,24,-0.4788350850430016,41.66666666666667,-0.6771078456626126
証券･商品先物取引業,1823,0.2142749121896003,52.98957761930884,2080,0.25596049104248647,52.74038461538461,422,-0.5203726758817291,42.65402843601896,78,-0.5339868685689635,53.84615384615385,-0.7482617807585638
鉱業,622,0.37401140448818704,55.14469453376206,718,0.09934944321807063,53.899721448467965,167,0.45355283736405766,56.287425149700596,29,-0.6102851728263261,37.93103448275862,-0.9842965773145131
パルプ・紙,659,0.2507204238607632,56.449165402124436,865,0.0025390633631095314,51.676300578034684,163,0.2160835342742474,57.668711656441715,30,-0.8504425477366842,40.0,-1.1011629715974474
石油･石炭製品,675,0.29679664739716227,55.407407407407405,949,0.12238180888856996,55.21601685985248,169,-0.5343366755501926,46.15384615384615,22,-0.9225186615325857,50.0,-1.219315308929748
倉庫･運輸関連業,510,0.24179194124975256,56.86274509803921,861,0.16292922601730278,55.28455284552846,123,0.27715632438852195,54.47154471544715,13,,,
空運業,410,0.015281678302444207,50.0,602,-0.02582939355925976,50.498338870431894,105,-0.09281075323472543,47.61904761904761,17,,,
