hypothesis,horizon,N,gross,net,wr,std,t_stat,sharpe
H6b_5日+10%超,5,12446,0.6232952134133078,0.5232952134133079,50.33745781777278,8.3327621662433,8.344872464564087,0.44583385497915723
H10c_52週高値-20〜-10%,10,68580,0.7452695035029682,0.6452695035029682,52.98046077573637,7.330949076197773,26.622687100898247,0.4418564589476834
H11b_5日+5〜+10%,10,28031,0.8396712031222046,0.7396712031222047,52.85219935071884,8.595429749006676,16.355392078310654,0.4319877049793113
H4b_20日上昇Best10%,5,25893,0.5502170124850001,0.45021701248500007,51.20688989302128,7.44185277588324,11.897182568811694,0.4294930059678148
H1b_52週高値×出来高1.5x,10,5057,0.9066183731666775,0.8066183731666774,52.185089974293064,9.526932083892213,6.767338864150415,0.4250258174743637
H4_20日上昇Best5%,5,13084,0.5973007798413462,0.49730077984134635,50.3362885967594,8.475329561199699,8.061331020524829,0.41656023900823136
H10a_52週高値-30%超,20,35522,1.6586044429520803,1.5586044429520807,53.64281290467879,13.420680904448435,23.292546912216082,0.41223668011099335
H9b_20日高値ブレイク×出来高2.0x,20,7702,1.5599726634246844,1.4599726634246846,52.90833549727344,12.678791066323058,10.797939751241175,0.40874471609081076
H11b_5日+5〜+10%,20,28031,1.5427741947828242,1.442774194782824,52.47761407013664,12.644031046871161,20.42848255963814,0.4050401591244749
H10a_52週高値-30%超,5,35522,0.45920742980664525,0.3592074298066453,51.82140645233939,6.4287712587535095,13.462621557353271,0.39667296804652086
H6a_5日+5%超,5,40477,0.47056100573545967,0.3705610057354597,50.49534303431579,6.673928358671337,14.185300927583263,0.39417896446339257
H6a_5日+5%超,20,40477,1.578229026800835,1.478229026800835,51.75778837364429,13.742464618202947,23.105190711947586,0.38182325091804536
H11a_5日+2〜+5%(緩騰),20,48785,1.2335989920456607,1.1335989920456606,53.200778927949166,10.563078147453563,25.794473497913824,0.38093794168890965
H7b_BB+2σ近辺,20,15787,1.4082723486951179,1.308272348695118,52.467219864445426,12.205373124011722,14.49724224711288,0.38048047434175297
H11b_5日+5〜+10%,5,28031,0.4027457316189994,0.3027457316189995,50.56544539973601,5.785799422171747,11.65431811317264,0.37147528385874945
H1_52週高値ブレイク,10,12066,0.7014869883102809,0.6014869883102809,52.23769269020387,8.32598025038722,9.254775835069815,0.36265288011667557
H10b_52週高値-30〜-20%,5,41522,0.3697256335600342,0.2697256335600342,52.09768315591734,5.304293196303822,14.20336252473868,0.3610022995260204
H9_20日高値ブレイク×出来高1.5x,10,13175,0.7276472761106005,0.6276472761106006,51.5673624288425,8.836779467352558,9.451531870299506,0.35655119964789167
H6b_5日+10%超,20,12446,1.6580807378965172,1.5580807378965171,50.13659006909851,15.9418266425415,11.60332589800636,0.34692623978140297
H11a_5日+2〜+5%(緩騰),10,48785,0.5922242167270925,0.4922242167270923,52.68217689863688,7.181595905430813,18.214126660234903,0.34406641502859575
H10c_52週高値-20〜-10%,5,68580,0.3361581633230082,0.23615816332300818,52.072032662583844,4.99851091866098,17.61171940266528,0.3354112194733678
H3b_20日下落Worst10%,20,25339,1.2938704149066194,1.1938704149066195,51.03989896996725,12.77702542207688,16.119655625063796,0.33167497403891305
H9b_20日高値ブレイク×出来高2.0x,10,7702,0.6955677119057515,0.5955677119057515,50.779018436769675,9.102225982286537,6.706463379815915,0.32846099313438387
H8b_5日+12%超上昇(overbought),20,8510,1.5354334344527254,1.4354334344527255,49.670975323149236,16.557454245801086,8.554649289153367,0.30773349316201537
H11a_5日+2〜+5%(緩騰),5,48785,0.30053380370800703,0.20053380370800705,50.749205698472885,4.773401891205788,13.906200343202018,0.29824615877344185
H3_20日下落Worst5%,20,12530,1.2174105580494607,1.1174105580494607,50.20750199521149,13.92729300937815,9.78466332316616,0.2847943246737353
H5_5MA>25MAゴールデンクロス,20,9068,0.928836824303088,0.8288368243030879,51.56594618438465,10.463689201455884,8.452989882500523,0.2811703225511936
H3b_20日下落Worst10%,10,25339,0.5916898998987418,0.4916898998987418,50.207190496862545,8.846414975729447,10.646860993967795,0.27901287865725344
H7b_BB+2σ近辺,10,15787,0.5745108059278676,0.47451080592786776,50.902641413821506,8.78310053767039,8.218643683542227,0.27120551912772434
H3_20日下落Worst5%,10,12530,0.5843156611060885,0.48431566110608854,50.023942537909015,9.68658169354698,6.752312238618598,0.2509910513479673
H5_5MA>25MAゴールデンクロス,5,9068,0.2789369537058989,0.17893695370589885,50.661667401852675,5.088302769015398,5.220220696275446,0.24965620380496584
H5_5MA>25MAゴールデンクロス,10,9068,0.44639469833397355,0.3463946983339736,51.01455668284076,7.366968016393929,5.770135334596955,0.23603843278898395
H1b_52週高値×出来高1.5x,5,5057,0.2876322799467234,0.18763227994672343,48.80363852086217,7.373885404536733,2.773880301801653,0.18064520569306633
H1_52週高値ブレイク,5,12066,0.24677490473090077,0.14677490473090082,49.42814520139234,6.2317687311127345,4.34982039953133,0.1672074977127349
H9_20日高値ブレイク×出来高1.5x,5,13175,0.23810747564574097,0.13810747564574108,48.89563567362429,6.657746055106566,4.105075195235766,0.14726692868124663
H3b_20日下落Worst10%,5,25339,0.2125191590777716,0.11251915907777169,50.001973242827255,6.054367718184967,5.587583545937806,0.13193892803675347
