n,mean_net,t,sharpe,thresh,direction,target,mode,period
13731,-1.3523383901409805,-0.3240174386432171,-0.043720719999074495,7.0,上昇後,翌日day(寄→引),momentum,ALL
13731,-18.64766160985902,-4.467940565439451,-0.6028736578254971,7.0,上昇後,翌日day(寄→引),fade,ALL
5343,-18.060308954348294,-3.1402033779073886,-0.6792586750864414,7.0,上昇後,翌日day(寄→引),momentum,IS
5343,-1.939691045651708,-0.33726025335716653,-0.07295290313564612,7.0,上昇後,翌日day(寄→引),fade,IS
8388,9.290328124470324,1.6117227534396787,0.2782474100215317,7.0,上昇後,翌日day(寄→引),momentum,OOS
8388,-29.290328124470324,-5.0814016105178705,-0.8772518935954542,7.0,上昇後,翌日day(寄→引),fade,OOS
13731,40.238765290970086,11.023197550593267,1.4873956649433595,7.0,上昇後,翌日gap(前日引→寄),momentum,ALL
13731,-60.238765290970086,-16.502092079728815,-2.2266806078027486,7.0,上昇後,翌日gap(前日引→寄),fade,ALL
5343,64.82944731478341,11.82465684635496,2.557796351445034,7.0,上昇後,翌日gap(前日引→寄),momentum,IS
5343,-84.82944731478341,-15.47258455085616,-3.346881082963874,7.0,上昇後,翌日gap(前日引→寄),fade,IS
8388,24.57495817923492,5.0760320752815,0.876324898385297,7.0,上昇後,翌日gap(前日引→寄),momentum,OOS
8388,-44.57495817923492,-9.207092676288413,-1.5895101595718366,7.0,上昇後,翌日gap(前日引→寄),fade,OOS
9702,-10.331865137092583,-2.1728640835688204,-0.34879634911748025,7.0,下落後,翌日day(寄→引),momentum,ALL
9702,-9.668134862907417,-2.0332769272502014,-0.32638929159565927,7.0,下落後,翌日day(寄→引),fade,ALL
4010,-24.960371834111868,-3.543096480699823,-0.884668974242202,7.0,下落後,翌日day(寄→引),momentum,IS
4010,4.96037183411187,0.7041191575674154,0.17581016386728843,7.0,下落後,翌日day(寄→引),fade,IS
5692,-0.026118149206535435,-0.004078096944137814,-0.0008546633961002519,7.0,下落後,翌日day(寄→引),momentum,OOS
5692,-19.973881850793465,-3.1187288920881238,-0.6536047237080924,7.0,下落後,翌日day(寄→引),fade,OOS
9702,-46.60117496106169,-8.847104043737053,-1.4201705546394083,7.0,下落後,翌日gap(前日引→寄),momentum,ALL
9702,26.601174961061687,5.050159416856129,0.8106706629194878,7.0,下落後,翌日gap(前日引→寄),fade,ALL
4010,-5.6151834632321025,-0.8766212648823077,-0.21888188465281486,7.0,下落後,翌日gap(前日引→寄),momentum,IS
4010,-14.384816536767897,-2.2457033060684837,-0.5607253573404016,7.0,下落後,翌日gap(前日引→寄),fade,IS
5692,-75.47570516244902,-9.752161156032543,-2.0438001565688304,7.0,下落後,翌日gap(前日引→寄),momentum,OOS
5692,55.47570516244902,7.1679756528848415,1.5022218693120535,7.0,下落後,翌日gap(前日引→寄),fade,OOS
5670,0.46318484310708996,0.058674225251099214,0.012320429236809115,10.0,上昇後,翌日day(寄→引),momentum,ALL
5670,-20.46318484310709,-2.59218654217005,-0.5443080113071743,10.0,上昇後,翌日day(寄→引),fade,ALL
2042,-35.88878518827294,-3.0999326208865225,-1.084661910952918,10.0,上昇後,翌日day(寄→引),momentum,IS
2042,15.88878518827294,1.372410998394012,0.480204610287671,10.0,上昇後,翌日day(寄→引),fade,IS
3628,20.923692782489123,1.9999695604489258,0.5250005409459509,10.0,上昇後,翌日day(寄→引),momentum,OOS
3628,-40.92369278248913,-3.9116489004578607,-1.0268245224042527,10.0,上昇後,翌日day(寄→引),fade,OOS
5670,99.95243140962394,13.329817295411027,2.7989985385385063,10.0,上昇後,翌日gap(前日引→寄),momentum,ALL
5670,-119.95243140962394,-15.997049519264175,-3.35906466180622,10.0,上昇後,翌日gap(前日引→寄),fade,ALL
2042,126.13827392165055,10.786087716316816,3.7740363888103543,10.0,上昇後,翌日gap(前日引→寄),momentum,IS
2042,-146.13827392165055,-12.496288336790897,-4.37243309608646,10.0,上昇後,翌日gap(前日引→寄),fade,IS
3628,85.21387286233663,8.795570093932737,2.308874669175566,10.0,上昇後,翌日gap(前日引→寄),momentum,OOS
3628,-105.21387286233663,-10.859921777171454,-2.8507757919905243,10.0,上昇後,翌日gap(前日引→寄),fade,OOS
3275,-26.673438442179965,-2.5888910782279595,-0.7152833749522481,10.0,下落後,翌日day(寄→引),momentum,ALL
3275,6.673438442179965,0.6477157146992559,0.17895703929607204,10.0,下落後,翌日day(寄→引),fade,ALL
1213,-40.51687700341782,-2.4766551033427056,-1.1243593486751966,10.0,下落後,翌日day(寄→引),momentum,IS
1213,20.51687700341782,1.2541249941569528,0.5693514448921134,10.0,下落後,翌日day(寄→引),fade,IS
2062,-18.529844370995924,-1.4001030463593451,-0.48751240880831453,10.0,下落後,翌日day(寄→引),momentum,OOS
2062,-1.4701556290040756,-0.11108400770018524,-0.03867917601837679,10.0,下落後,翌日day(寄→引),fade,OOS
