sym,name,or_min,dir,stop,n,sharpe,t,h1_sharpe,h2_sharpe,h2_t
6503.T,三菱電機,15,short,none,202,0.9548741419946358,0.8549122638176312,1.9611916248026258,-0.11741911737338509,-0.07433600682783564
6146.T,ディスコ,15,long,orrange,189,0.9215679552380911,0.7981012605498673,2.5071460413341393,-1.1149219264693824,-0.6845512830558192
6857.T,アドバン,15,long,none,204,0.9047032656871757,0.8139935644435458,0.4939711372930953,1.289545417240689,0.820420413614262
7267.T,ホンダ,60,both,none,237,0.8635640772788528,0.8374684807839439,-1.4954872074335137,3.5037096879845286,2.407694187510018
5711.T,三菱マテ,30,both,orrange,333,0.843559856693389,0.9697007929089173,-0.5340620221416837,1.6410728370434295,1.335936520436779
6503.T,三菱電機,15,short,orrange,202,0.8430249895187499,0.7547721427860784,1.8694107177866623,-0.2262746273421911,-0.14325054232512638
7203.T,トヨタ,30,short,orrange,172,0.8392432406214211,0.6933488588913724,-0.7424687669263126,2.360825627317017,1.379154326319879
6503.T,三菱電機,15,both,orrange,329,0.8318938890308624,0.9505295278966579,2.3732033822353547,-0.7134684292782137,-0.5773198129195983
6920.T,レーザー,30,long,none,172,0.8207100819721637,0.6780375119788843,-0.3038495153887031,1.8256489216303913,1.0665131636465726
6920.T,レーザー,30,long,orrange,172,0.8171780407001236,0.6751194821789505,0.35149006653237236,1.2258900484702606,0.7161441931065655
7267.T,ホンダ,30,both,none,267,0.7964440852297395,0.8198051677647027,-0.33842479935916236,1.9032160933146123,1.3878426514011393
6146.T,ディスコ,15,short,none,197,0.795354315721724,0.7032236769765421,0.6439513993681177,0.9394903351639216,0.5888567309544643
8058.T,三菱商事,60,long,orrange,149,0.7803220935239081,0.6000214377009779,0.6865656018687294,0.8622594773879535,0.4704011099789715
5706.T,三井金属,60,both,none,309,0.7707901244503682,0.8535227689857187,-1.0491375246449235,1.6734277231806154,1.3124190881030822
8058.T,三菱商事,60,long,none,149,0.7381583972471633,0.5676000544430596,0.3360708322839916,1.0079732911912287,0.5498945125449489
