code,entry_date,car0,d5,d10,d20,sector,surprise
14070,2022-06-27,0.0483706730375652,-782.4051262216847,150.4099805849024,-1499.2923909063404,建設業,
14070,2022-07-19,-0.0552443639959786,-132.8493160740951,693.4530995759781,1705.942675297838,建設業,-0.770904729266621
14070,2022-10-17,0.1223009919804456,428.9851113100696,442.8171462197717,286.1951362194093,建設業,
14070,2023-01-16,-0.0555686737432907,-893.5944099477666,-1344.1189412132692,-1890.7242939162395,建設業,
14070,2023-04-17,0.0780104645674697,833.2348332164163,491.98388398021154,-743.5684002218545,建設業,
14070,2023-07-18,0.064922019836916,-254.67454552647985,-547.2095908453733,-1309.6022605053436,建設業,-0.6152751844936427
14070,2023-09-05,-0.0090424626558569,-727.5787603995265,-408.9604578942197,-56.099185150337846,建設業,
14070,2023-10-16,0.1065961584799146,-648.8442357834534,-829.8951667209053,-1004.9848798891192,建設業,
14140,2022-08-15,0.036316263400306,-219.5017434534485,-409.08362976813,-431.708912078016,建設業,
14140,2025-11-12,0.0077541790457233,428.5342071329523,442.5554640388807,473.6744231712331,建設業,-0.7633980582524272
14140,2026-02-13,-0.0142654243982683,98.2752669540332,163.7625474734805,486.3692578131029,建設業,
14140,2026-05-13,-0.0066198704952336,-87.99521414261879,-511.5272006822647,,建設業,-0.20995238095238095
14170,2026-05-14,-0.0014615380655027,-416.4685285151948,-540.2534441021611,,建設業,
14190,2021-07-14,0.1375368330608017,1299.6989208600585,-611.3095028279325,-1043.423000005893,建設業,
14190,2021-10-14,-0.0920957792143024,58.77829495637643,16.173194637914,-280.1563117156847,建設業,-0.6922222222222222
14190,2022-06-20,-0.0175630634600315,24.749825183045804,101.04007992888464,-65.50102155234771,建設業,
14190,2022-07-13,-0.0003026626495208,-102.1638546937842,-90.23611757997595,-319.92856101551,建設業,
14190,2023-04-12,0.0042774501894806,-15.633060448836387,-7.9448571629314735,448.0472425742121,建設業,-0.4288148148148148
14190,2023-07-13,0.0128855702001888,-287.605005976207,-551.0617079331648,-449.8738136924218,建設業,
14190,2024-01-15,0.025170708577682,339.40225365501897,426.8520168710177,201.08366706182323,建設業,-0.7867375886524822
14190,2024-04-15,0.0376098398599865,436.45531762596335,876.4825320779723,1166.435154835349,建設業,-0.8965248226950354
14190,2024-06-20,0.0079292407749029,-359.48881031849567,-663.8079867203505,896.3867664467884,建設業,
14190,2024-07-16,0.0750406991367935,678.320607458358,762.704335230241,416.1045876988445,建設業,
141A0,2024-08-15,0.0502076156404756,249.6634656540953,1469.1817317732014,2564.243658420453,小売業,
141A0,2024-11-15,0.0608247119361258,370.21808584568936,1138.3922878168485,55.097547974451984,小売業,-0.734535666218035
141A0,2025-02-17,-0.0628116214199436,-548.7518133239299,-1370.2215618601388,2104.562410897784,小売業,-0.5780040024362656
141A0,2025-05-16,0.1122753790677262,-192.53630283753157,-889.3666162819036,-885.9262305320436,小売業,-0.4142521534847298
141A0,2025-08-15,-0.0312325059666102,1020.4960850290169,2595.89245464698,448.7097173589349,小売業,
141A0,2025-11-17,-5.431452209436749e-05,-58.27293358826924,93.73553810717694,1658.150644479697,小売業,-0.7322916666666667
141A0,2026-02-16,0.0483193560667863,1589.858284184431,1111.8790846429306,770.2148862000124,小売業,-0.3434251968503937
141A0,2026-05-18,-0.0305823652020476,-1695.8880648651177,-2167.4228827927745,,小売業,-0.09673228346456693
15140,2022-08-02,0.0404862646440717,3008.242057865789,754.3430503404336,1967.7276952879529,鉱業,-0.972
15140,2023-02-02,-0.0140575442193978,-1195.4102693288537,-882.1135418583159,-712.265224199119,鉱業,-0.63375
15140,2024-02-02,0.0143347955423138,1007.9001805880396,1220.0285849129775,9372.91357811589,鉱業,-0.06775862068965517
15140,2024-04-17,0.0118919829863312,-1254.880759697038,-1779.5142226833027,2751.8264477322264,鉱業,
