label,am_q5,target,n,mean_bps,t,wr
非鉄_曜日_金,0,pm_ret,156,14.17367183022271,1.4618109139804258,52.56410256410257
非鉄_曜日_金,1,pm_ret,176,31.324812993924947,3.0630585333047717,53.40909090909091
非鉄_曜日_金,2,pm_ret,165,11.642049237125363,1.4558587683644453,53.939393939393945
非鉄_曜日_金,3,pm_ret,164,10.85043084915313,1.0991862761352231,51.21951219512195
非鉄_曜日_金,4,pm_ret,133,34.65163565309452,3.0779373676657644,55.639097744360896
半導体_全日,0,pm_ret,354,-0.4310173801305984,-0.05120473622364282,48.87005649717514
半導体_全日,1,pm_ret,351,-2.709875565006084,-0.509994228055098,48.148148148148145
半導体_全日,2,pm_ret,351,0.7773659670845925,0.10317946901528545,44.44444444444444
半導体_全日,3,pm_ret,351,7.29058208231543,1.0995700877494237,49.572649572649574
半導体_全日,4,pm_ret,352,-2.5131437781125068,-0.3224600800680886,47.44318181818182
半導体_全日_pm1,0,pm1_ret,334,-4.136234225334733,-0.7560753976011032,46.40718562874252
半導体_全日_pm1,1,pm1_ret,321,-1.7904903547938293,-0.4713594881813142,46.41744548286604
半導体_全日_pm1,2,pm1_ret,323,-0.8771841146265912,-0.17308143844610663,45.20123839009288
半導体_全日_pm1,3,pm1_ret,317,-7.607897795510638,-1.6340758784785032,44.479495268138805
半導体_全日_pm1,4,pm1_ret,340,-7.3997646850285745,-1.2523718092641187,41.76470588235294
半導体_LME+1%,0,pm_ret,67,3.5131088442029514,0.19423198281118295,49.25373134328358
半導体_LME+1%,1,pm_ret,59,-17.050854285185473,-1.6309181472236651,44.06779661016949
半導体_LME+1%,2,pm_ret,78,30.266167448574116,1.0886507010454687,44.871794871794876
半導体_LME+1%,3,pm_ret,69,-16.897612314218073,-1.039279482682318,57.971014492753625
半導体_LME+1%,4,pm_ret,60,-3.9347136981529967,-0.2150498815711962,43.333333333333336
半導体_LME-1%,0,pm_ret,63,26.18720305638768,1.0824456590547757,57.14285714285714
半導体_LME-1%,1,pm_ret,56,-15.596359339060415,-1.1951129198706645,42.857142857142854
半導体_LME-1%,2,pm_ret,66,-8.580400403985523,-0.8093008292930883,40.909090909090914
半導体_LME-1%,3,pm_ret,69,10.001709074041926,0.8443984750414248,47.82608695652174
半導体_LME-1%,4,pm_ret,67,-13.18567925468521,-0.6827879895509678,43.28358208955223
半導体_曜日_月,0,pm_ret,71,-38.46137619685003,-1.6934961948073672,45.07042253521127
半導体_曜日_月,1,pm_ret,55,11.689520767343087,0.7932735037509878,56.36363636363636
半導体_曜日_月,2,pm_ret,66,-7.506438050618424,-0.6910337739297703,42.42424242424242
半導体_曜日_月,3,pm_ret,53,1.2899448098714503,0.055995260369633426,54.71698113207547
半導体_曜日_月,4,pm_ret,71,-22.939722895083285,-1.184576524485236,39.436619718309856
半導体_曜日_火,0,pm_ret,76,2.109297388104266,0.09914402177302867,47.368421052631575
半導体_曜日_火,1,pm_ret,74,-22.75386047535568,-1.723828596230019,40.54054054054054
半導体_曜日_火,2,pm_ret,67,-20.649900089219276,-1.4582209727125306,46.26865671641791
半導体_曜日_火,3,pm_ret,63,0.4779809624140469,0.04063621165145924,42.857142857142854
半導体_曜日_火,4,pm_ret,76,-7.500965799183412,-0.40636817566237937,48.68421052631579
半導体_曜日_水,0,pm_ret,78,8.556349825437527,0.680620088452031,44.871794871794876
半導体_曜日_水,1,pm_ret,69,-9.079791679090546,-0.8010696101381508,46.3768115942029
半導体_曜日_水,2,pm_ret,66,0.940892008739329,0.10029924156850417,40.909090909090914
半導体_曜日_水,3,pm_ret,80,23.652252245091443,1.2898545835726525,53.75
半導体_曜日_水,4,pm_ret,61,17.955804377653422,0.9355751578339631,45.90163934426229
半導体_曜日_木,0,pm_ret,64,26.335225370177888,1.5327277026623813,56.25
半導体_曜日_木,1,pm_ret,76,-11.657285030323195,-1.146155455058404,42.10526315789473
半導体_曜日_木,2,pm_ret,76,6.38803255261941,0.6155531575326204,50.0
半導体_曜日_木,3,pm_ret,81,12.592423063709012,1.5320274932803613,51.85185185185185
半導体_曜日_木,4,pm_ret,68,-11.649824221448792,-0.6049676941855887,50.0
半導体_曜日_金,0,pm_ret,65,1.000326859056683,0.054225976392266825,52.307692307692314
半導体_曜日_金,1,pm_ret,77,20.80720776385877,2.059407364383804,57.14285714285714
半導体_曜日_金,2,pm_ret,76,21.10834638407012,0.7495993649293449,42.10526315789473
半導体_曜日_金,3,pm_ret,74,-6.10340557338245,-0.5037278341622874,44.5945945945946
半導体_曜日_金,4,pm_ret,76,13.30330390019618,1.319532614190351,52.63157894736842
ALL_全日,0,pm_ret,1116,12.24842426743051,2.581609529041009,53.31541218637993
ALL_全日,1,pm_ret,1108,5.267447850722964,1.381578706572661,50.361010830324915
ALL_全日,2,pm_ret,1108,1.4073523514312016,0.33880803413507066,48.64620938628158
ALL_全日,3,pm_ret,1108,4.5763320953587625,1.1970876010337663,52.43682310469314
ALL_全日,4,pm_ret,1110,-8.65443696993313,-1.800404378008881,47.2972972972973
ALL_全日_pm1,0,pm1_ret,1096,4.698942505747759,1.5579865579547332,51.003649635036496
ALL_全日_pm1,1,pm1_ret,1078,-2.2458587868832387,-0.9932665541209059,48.237476808905384
ALL_全日_pm1,2,pm1_ret,1080,-2.638091931001403,-1.0189935936173102,47.87037037037037
