sig,h,split,n,ndays,raw_bp,abn_bp,t,hit,net_abn_bp
pullback,1,IS,32446,494,0.8116758720205565,2.3841776267029067,0.894293617104234,0.49608580410528264,-7.615822373297092
pullback,1,OOS,26054,349,2.0483682787318327,1.5607239923269496,0.4896362975469193,0.4923620173485837,-8.43927600767305
pullback,5,全,58165,839,36.65783064130546,1.9555601420334416,1.6417400151375927,0.4755093269148113,-8.044439857966559
pullback,5,IS,32446,494,21.181651736617518,6.1774968801618595,1.1972651174879196,0.4888738211181656,-3.822503119838141
pullback,5,OOS,25719,345,56.18192180898326,-3.3706562507234556,1.1334550441433318,0.458649247637933,-13.370656250723457
pullback,10,全,57764,834,86.29041140536732,4.28464635539922,0.8804110465728483,0.465324423516377,-5.715353644600781
pullback,10,IS,32446,494,63.269816315343306,11.5969958210865,0.8012666407640723,0.47953522776305246,1.5969958210865003
pullback,10,OOS,25318,340,115.79219781388768,-5.086413395121724,0.48052094632501025,0.44711272612370645,-15.086413395121726
pullback,20,全,57236,824,184.9236919278304,0.47328554495541203,1.3639539772943525,0.44912292962471173,-9.526714455044589
pullback,20,IS,32446,494,164.8440725168135,10.601917406345837,-0.1355379686378439,0.46612833631264255,0.6019174063458363
pullback,20,OOS,24790,330,211.204584683371,-12.783414308803119,1.6141935375482837,0.42686567164179107,-22.78341430880312
momentum,1,全,295899,890,-1.163174707885721,0.7114461044532557,-0.15321019185068355,0.4886261866380082,-9.288553895546745
momentum,1,IS,156922,541,-2.4951182517406725,0.47271124710209467,0.29895978255759714,0.4888288449038376,-9.527288752897906
momentum,1,OOS,138977,349,0.34075216338655334,0.9810069043356742,-0.5090081064060147,0.4883973607143628,-9.018993095664326
momentum,5,全,294778,886,29.726125266820507,13.812713977810462,2.2431371402629656,0.4795812441905434,3.8127139778104624
momentum,5,IS,156922,541,8.57566672409785,6.583499014208499,0.916140533344678,0.4815131084232931,-3.4165009857915014
momentum,5,OOS,137856,345,53.80177127019451,22.041756388139696,2.140939124734097,0.47738219591457753,12.041756388139696
momentum,10,全,292468,881,72.83609662927259,27.068771048432573,3.4100102275691286,0.47455106199652614,17.068771048432573
momentum,10,IS,156922,541,23.883422699969685,7.137805751995632,0.2179391608365748,0.47265520449650145,-2.862194248004368
momentum,10,OOS,135546,340,129.50875018108573,50.14290777137148,4.185270893623695,0.476745901760288,40.14290777137148
momentum,20,全,287814,871,166.90947252735566,49.585169697870384,5.685022470461822,0.4748274927557381,39.585169697870384
momentum,20,IS,156922,541,65.86260451368948,13.310725383413411,2.039526819622342,0.472037062999452,3.310725383413411
momentum,20,OOS,130892,330,288.0511513346208,93.07337639280375,5.584412669356911,0.47817284478806954,83.07337639280377
newlow,1,全,3231,683,5.424914779570708,12.090662767489071,0.8831114522537967,0.5277004023522129,2.0906627674890714
newlow,1,IS,2253,445,4.5122862381042355,10.172999008312313,0.52992153768533,0.519751442521083,0.17299900831231357
newlow,1,OOS,978,238,7.527319793807891,16.50834829859871,0.7995620394331667,0.5460122699386503,6.508348298598708
newlow,5,全,3211,678,50.45853766962148,5.598089426926226,-0.526747661661562,0.48115851759576456,-4.401910573073774
newlow,5,IS,2253,445,85.13089504412237,5.0522841260736895,-0.6468395997885399,0.4793608521970706,-4.9477158739263105
newlow,5,OOS,958,233,-31.083029308197435,6.881700431958331,0.05863270179484195,0.48538622129436326,-3.1182995680416696
newlow,10,全,3148,673,114.59237463410192,-14.934340975689233,-2.5033564325005,0.4539390088945362,-24.934340975689235
newlow,10,IS,2253,445,164.0224032795825,3.507704132217258,-1.5177200767454757,0.4638260097647581,-6.492295867782743
newlow,10,OOS,895,228,-9.838747755024075,-61.358841118832615,-2.351726365560583,0.42905027932960893,-71.35884111883261
newlow,20,全,3076,664,203.08602099192774,-44.512313566496985,-4.4187987682349865,0.4271781534460338,-54.512313566496985
newlow,20,IS,2253,445,257.77850205477705,-18.3393571589015,-2.757869016996832,0.4256546826453617,-28.339357158901503
newlow,20,OOS,823,219,53.36286201914591,-116.16197430320734,-3.865438530028941,0.4313487241798299,-126.16197430320733
