code,date,upper_limit,adv20,ret,nx_gap,nx_o2c,d1,d2,d3,d5,d10,mkt_ret,broad_rally
60580,2020-03-24,False,952785135.0,11.91335740072202,16.12903225806452,0.0,16.12903225806452,10.96774193548387,9.67741935483871,5.0,5.64516129032258,4.995309917817357,True
60580,2020-03-25,True,910670315.0,16.12903225806452,-0.1388888888888889,-4.3115438108484,-4.444444444444445,-5.555555555555555,-10.13888888888889,-12.36111111111111,-6.527777777777778,6.519716509041607,True
60580,2020-06-16,False,507872030.0,8.15602836879433,-0.6557377049180327,0.77007700770077,0.10928961748634,-3.060109289617486,-3.060109289617486,-1.2021857923497268,-4.918032786885246,4.704855168084305,True
60580,2022-11-08,False,508949505.0,9.07354345749761,-1.0507880910683012,-3.274336283185841,-4.2907180385288965,-5.078809106830122,-2.9772329246935203,1.66374781085814,3.94045534150613,0.9049397374919642,False
60580,2024-08-06,False,605215190.0,12.61261261261261,-1.7142857142857142,2.09302325581395,0.34285714285714,-2.4,-0.34285714285714286,2.28571428571429,7.31428571428571,8.69411367780768,True
60620,2019-09-24,False,707534275.0,8.00982800982801,-1.046405823475887,-1.5172413793103448,-2.5477707006369426,-3.912647861692448,-1.2283894449499546,-0.4094631483166515,12.60236578707916,0.6020326801902213,False
60630,2019-02-04,False,870059475.0,11.60550458715596,2.75380189066995,-1.96,0.73982737361282,-5.09658857377723,-10.563090834360871,-19.52322235922729,-23.099054665022607,1.8338517726988304,False
60630,2019-02-25,True,1095809970.0,20.16175621028307,1.92307692307692,-4.669811320754717,-2.8365384615384617,-6.971153846153846,-15.0,-12.403846153846153,-13.413461538461538,0.9111568004789946,False
60640,2018-11-29,True,761520930.0,20.08032128514056,3.12151616499443,-15.783783783783784,-13.154960981047937,-18.171683389074694,-16.61092530657748,-23.411371237458194,-25.52954292084727,0.5763675981558007,False
60670,2019-03-26,False,577963955.0,13.15028901734104,1.78799489144317,8.65746549560853,10.60025542784163,26.56449553001277,8.6845466155811,1.53256704980843,12.3882503192848,2.180951592982547,True
60670,2019-03-27,False,665704805.0,10.60025542784163,-0.8083140877598153,15.36670547147846,14.43418013856813,-1.7321016166281755,-3.9260969976905313,-0.11547344110854503,-6.1200923787528865,0.2688447551850773,False
60670,2019-03-28,False,732659390.0,14.43418013856813,-3.9354187689202824,-10.609243697478991,-14.127144298688194,-16.044399596367306,-19.77800201816347,-11.503531786074673,-24.318869828456105,-1.5932978157369375,False
60670,2019-04-03,False,907199385.0,8.80503144654088,-1.5028901734104045,2.93427230046948,1.38728323699422,6.82080924855491,6.35838150289017,-6.011560693641618,-14.219653179190752,0.8211766294448821,False
60670,2019-05-07,False,1028812750.0,13.8328530259366,-3.5443037974683542,6.16797900262467,2.40506329113924,-1.7721518987341771,-2.7848101265822787,-3.9240506329113924,43.79746835443038,-0.6939889325362583,False
60670,2019-05-15,False,798762875.0,12.38471673254282,1.64126611957796,12.91810841983852,14.77139507620164,31.30128956623681,29.66002344665885,42.5556858147714,26.61195779601407,0.8057250057344005,False
60670,2019-05-16,False,822482650.0,14.77139507620164,0.71501532175689,13.59026369168357,14.40245148110317,12.97242083758938,16.0367722165475,18.69254341164454,0.20429009193054,-0.5364344762925504,False
60670,2019-05-17,True,892130050.0,14.40245148110317,3.57142857142857,-4.655172413793103,-1.25,1.42857142857143,8.57142857142857,2.85714285714286,-16.25,1.316812959487386,False
60670,2019-06-21,False,3080483175.0,11.41025641025641,2.64672036823936,8.52017937219731,11.39240506329114,8.97583429228999,-5.178365937859609,-4.718066743383199,-3.33716915995397,-0.9083939669364398,False
60670,2019-06-24,False,3195746875.0,11.39240506329114,-2.169421487603306,0.0,-2.169421487603306,-14.87603305785124,-8.677685950413224,-15.909090909090908,-15.082644628099173,-0.1067253557981738,False
60670,2019-07-05,False,4739098275.0,10.38107752956636,-0.11904761904761905,-2.026221692491061,-2.142857142857143,-1.9047619047619047,0.23809523809524,-3.4523809523809526,-10.476190476190476,0.2677924428462361,False
60670,2019-08-16,False,2125599210.0,14.1839762611276,16.63201663201663,3.5650623885918,20.79002079002079,42.93139293139293,39.6049896049896,40.8004158004158,8.52390852390852,0.0918053552666842,False
60670,2019-08-19,True,2302105660.0,20.79002079002079,6.45438898450947,11.15602263540825,18.33046471600688,15.57659208261618,3.09810671256454,11.66092943201377,-13.640275387263339,0.7282319173750254,False
60670,2019-08-20,False,2464834800.0,18.33046471600688,10.90909090909091,-11.934426229508198,-2.327272727272727,-12.872727272727273,-1.490909090909091,-13.018181818181818,-24.363636363636363,1.2117188395699188,False
60670,2019-08-23,False,3305354260.0,13.06343906510851,-2.288667404946475,-1.9644880997355496,-4.208194905869324,-11.701734957548911,-20.450350682908823,-22.92358803986711,-19.712070874861574,0.2750255064204725,False
60670,2019-09-04,False,2833612565.0,10.09615384615385,-0.08733624454148471,-3.977272727272727,-4.06113537117904,-5.021834061135372,-9.956331877729257,-11.048034934497817,-28.820960698689955,-0.42356083168004,False
60670,2019-09-19,False,1683073720.0,13.66806136680614,-0.6748466257668712,6.67078443483632,5.95092024539877,4.04907975460123,-1.8404907975460123,16.13496932515337,5.82822085889571,0.8460227554824153,False
60670,2019-09-27,False,947088080.0,15.00607533414338,-2.0602218700475436,-5.93311758360302,-7.871104067617538,-12.625462229265716,-10.195456946645535,-8.874801901743265,-12.572636027469624,-0.932985028261809,False
60670,2019-12-09,False,1477622405.0,12.52086811352254,1.85459940652819,1.16533139111435,3.04154302670623,1.63204747774481,-2.040059347181009,-7.455489614243324,-15.318991097922849,0.3766921679435334,False
60670,2020-02-12,False,598850090.0,9.87415295256534,3.61233480176211,-3.316326530612245,0.17621145374449,1.80616740088106,4.31718061674009,2.77533039647577,-19.691629955947135,0.1771901898691289,False
60670,2020-06-18,False,657054820.0,10.18633540372671,2.19842164599775,-4.5780474351902924,-2.480270574971815,-2.987598647125141,-1.6910935738444195,-2.762119503945885,-13.134160090191656,0.1220245395883811,False
60670,2020-09-24,False,741545375.0,8.21256038647343,1.48809523809524,0.29325513196481,1.78571428571429,-3.869047619047619,0.89285714285714,,10.11904761904762,-1.7028761907619476,False
60670,2020-10-07,False,617147994.7368422,9.27835051546392,-0.8086253369272237,0.54347826086957,-0.2695417789757412,3.77358490566038,6.73854447439353,0.53908355795148,1.75202156334232,0.1418590796061733,False
60690,2017-04-19,False,771893670.0,16.46616541353383,-1.7430600387346675,-10.052562417871222,-11.620400258231117,-19.561007101355713,-22.078760490639123,-20.335700451904454,-31.69786959328599,0.4465106691876448,False
60690,2018-08-24,False,666560865.0,9.91863618752422,0.0,-1.2689460697920338,-1.2689460697920338,-3.5600986958054284,-6.309481847021502,-7.472682410997533,-4.793796263658795,0.9338252407088096,False
60690,2019-02-04,False,859303325.0,10.7177033492823,-1.4693171996542782,-2.6315789473684212,-4.062229904926534,-9.075194468452896,-12.96456352636128,-13.569576490924806,-31.892826274848748,1.8338517726988304,False
60690,2019-02-12,False,1234854690.0,8.10810810810811,0.2,-2.4950099800399204,-2.3,-3.7,-18.7,-21.2,-16.4,2.033903396277589,True
60690,2019-02-20,False,1421565850.0,10.15228426395939,0.0,1.72811059907834,1.72811059907834,-1.728110599078341,-2.6497695852534564,-2.6497695852534564,-12.903225806451612,0.2895696699612178,False
60690,2021-09-03,False,1217926945.0,9.98980632008155,2.0389249304912,5.35876475930972,7.50695088044486,10.47265987025023,11.67747914735867,19.64782205746061,2.31696014828545,0.955510789997141,False
60690,2021-09-10,False,1420767150.0,8.94514767932489,-0.9295120061967467,-4.534792806880375,-5.4221533694810224,-4.337722695584818,-10.147172734314484,-14.484895429899304,-18.28040278853602,1.6117549650370375,False
60690,2021-09-24,False,706950505.0,8.50642927794263,-1.4585232452142205,0.74005550416281,-0.7292616226071102,-3.828623518687329,-0.18231540565177756,-0.9115770282588879,-5.834092980856882,2.4968534506683056,True
60700,2020-10-13,False,1735593047.368421,8.30188679245283,-1.2775842044134726,5.11764705882353,3.7746806039489,7.54936120789779,0.87108013937282,19.62833914053426,-13.066202090592334,0.1492114968380053,False
60700,2020-10-19,False,1995278810.5263157,11.62924582613702,-0.8251676121712223,7.12428497139886,6.24033006704487,-4.486848891181021,-8.818978855079939,-24.49716348633316,-27.952552862300156,1.3857031524912755,False
60700,2020-11-24,True,715835910.0,19.62365591397849,-2.359550561797753,-6.67433831990794,-8.876404494382022,-7.865168539325842,2.69662921348315,13.48314606741573,7.19101123595506,1.6568574067432151,False
60700,2020-11-27,False,757056520.0,11.46341463414634,2.5164113785558,3.94877267876201,6.56455142231947,10.50328227571116,20.24070021881838,11.54266958424508,8.53391684901532,0.9841264879978724,False
60700,2020-12-02,False,918177875.0,8.81188118811881,-0.5914467697907189,0.91533180778032,0.31847133757962,-7.233848953594176,-13.603275705186533,-13.967242948134668,-12.192902638762511,0.5861246788650467,False
60700,2020-12-29,False,1314632395.0,9.50588235294118,0.77352814782982,-4.392324093816631,-3.6527718091963903,-1.1173184357541899,-1.9338203695745595,-4.727116458960034,-2.1057155135367425,1.623664823589558,False
60700,2021-01-18,False,1319020750.0,13.56453028972783,0.50251256281407,0.11538461538462,0.61847700038655,5.45032856590646,2.20332431387708,-0.5025125628140703,8.07885581754928,-0.1326106319756106,False
60700,2021-03-11,False,1807639720.0,9.52380952380952,0.56710775047259,4.84022556390977,5.43478260869565,8.97920604914934,8.22306238185255,15.78449905482042,7.98676748582231,1.1362173095364023,False
60700,2022-02-02,False,906949475.0,9.08543922984356,-2.2062879205736348,-1.1280315848843767,-3.309431880860452,-1.765030336458908,-7.280750137892995,-11.748483177054606,-20.29784886927744,2.713069344129033,True
60710,2018-11-12,True,689437515.0,15.79778830963665,-4.229195088676671,8.97435897435897,4.3656207366985,6.27557980900409,3.95634379263302,3.81991814461119,1.77353342428377,-0.8510904918290499,False
60710,2020-03-17,False,767218560.0,10.90146750524109,-1.5122873345935728,-1.1516314779270633,-2.6465028355387523,-21.550094517958414,-18.147448015122873,7.56143667296786,-13.043478260869565,3.770998770840586,True
60710,2020-03-24,False,754810880.0,12.93302540415704,11.4519427402863,4.40366972477064,16.359918200409,6.5439672801636,5.93047034764826,1.22699386503067,0.40899795501022,4.995309917817357,True
60710,2020-03-25,True,763938945.0,16.359918200409,-7.0298769771529,-1.5122873345935728,-8.43585237258348,-8.963093145869948,-15.817223198594025,-19.15641476274165,0.35149384885764,6.519716509041607,True
60710,2020-04-07,False,739860840.0,8.86917960088692,12.0162932790224,3.81818181818182,16.29327902240326,23.0142566191446,23.21792260692464,17.31160896130346,22.19959266802444,3.185717676024119,True
60710,2020-04-08,True,719364530.0,16.29327902240326,2.27670753064799,3.42465753424658,5.77933450087566,5.95446584938704,-1.2259194395796849,-1.0507880910683012,4.37828371278459,1.7553775205345303,False
60710,2020-04-17,False,562954680.0,8.78734622144112,3.23101777059774,12.51956181533646,16.15508885298869,-3.0694668820678515,-3.715670436187399,-3.715670436187399,21.32471728594507,0.885779917531028,False
60710,2020-04-20,True,575442335.0,16.15508885298869,-4.033379694019471,-13.043478260869565,-16.55076495132128,-17.10709318497914,-14.74269819193324,-13.21279554937413,12.51738525730181,0.7910977174943344,False
60710,2020-04-28,False,706775390.0,9.29487179487179,4.83870967741935,-0.6993006993006993,4.10557184750733,5.13196480938416,10.11730205278592,29.03225806451613,17.59530791788856,0.630613911012219,False
60710,2020-05-11,False,925197795.0,8.77626699629172,0.79545454545455,-6.4261555806087935,-5.681818181818182,-9.886363636363637,-10.113636363636363,-8.863636363636363,-5.2272727272727275,2.3885540412313078,True
60720,2026-03-05,False,4476794525.0,13.43137254901961,-3.197925669835782,-4.285714285714286,-7.346585998271392,-12.273120138288677,-9.680207433016422,-18.409680207433016,-31.028522039757995,3.1057087831063632,True
60720,2026-03-25,True,1792180515.0,19.6078431372549,16.39344262295082,0.0,16.39344262295082,26.66666666666667,10.05464480874317,-3.278688524590164,-1.9672131147540983,2.2662242435604094,True
60720,2026-03-26,True,1711157270.0,16.39344262295082,5.16431924882629,3.48214285714286,8.82629107981221,-5.446009389671362,-9.859154929577464,-22.347417840375588,-16.24413145539906,-0.8308089675350383,False
60720,2026-03-27,False,1495557690.0,8.82629107981221,-7.765314926660914,-5.799812909260992,-13.114754098360656,-17.16997411561691,-23.64106988783434,-27.95513373597929,-20.27610008628128,0.4933552525622429,False
60720,2026-04-16,False,2459992790.0,11.57407407407407,-1.161825726141079,-11.838790931989925,-12.863070539419088,-8.215767634854771,-4.232365145228216,6.55601659751037,-13.609958506224066,0.8119428480984558,False
