label,n,mean_bps,se,t,wr,slot,sector,cond
前場後半|非鉄|LME-1%,699,10.515285663203393,3.1691671280684592,3.3179965707937398,53.79113018597997,前場後半,非鉄,LME-1%
前場後半|非鉄|月,675,-0.41762965535486785,3.1027389481782754,-0.1346003200172778,48.0,前場後半,非鉄,曜日_月
前場後半|非鉄|火,763,-17.293992045604444,3.192307521602787,-5.4173953883119355,41.41546526867628,前場後半,非鉄,曜日_火
前場後半|非鉄|水,772,14.476996296579301,3.5786402763024316,4.045390198183711,56.865284974093264,前場後半,非鉄,曜日_水
前場後半|非鉄|木,787,-1.5796484785979996,3.2277099654747006,-0.48940223734311894,50.444726810673444,前場後半,非鉄,曜日_木
前場後半|非鉄|金,794,-2.628120347354354,3.69608250568797,-0.7110556496804092,50.0,前場後半,非鉄,曜日_金
前場後半|半導体|全日,1557,-2.4603774260143814,2.025513129849576,-1.2146933978142616,46.05009633911368,前場後半,半導体,全日
前場後半|半導体|LME+1%,288,-1.0409197744178829,4.4234922675435016,-0.2353162866487697,44.79166666666667,前場後半,半導体,LME+1%
前場後半|半導体|LME-1%,276,-0.8538155868086154,5.406695294372999,-0.1579181996250503,47.82608695652174,前場後半,半導体,LME-1%
前場後半|半導体|月,280,-2.4539603980434403,4.625164191857919,-0.5305671963739929,43.214285714285715,前場後半,半導体,曜日_月
前場後半|半導体|火,320,-3.33327095503858,4.131465683291596,-0.8068010751048806,48.125,前場後半,半導体,曜日_火
前場後半|半導体|水,312,0.3862366441799587,4.130280843438609,0.09351340957686612,45.83333333333333,前場後半,半導体,曜日_水
前場後半|半導体|木,324,-8.232339021211244,5.17771762058772,-1.5899551934770817,47.53086419753087,前場後半,半導体,曜日_木
前場後半|半導体|金,321,1.4633021017084509,4.463681128728115,0.3278240670666826,45.17133956386293,前場後半,半導体,曜日_金
前場後半|ALL|全日,5348,-1.769202200441638,1.2305801002705565,-1.4376977167537972,48.42931937172775,前場後半,ALL,全日
前場後半|ALL|LME+1%,992,-0.43628443934002964,2.7966526699992595,-0.15600236812394194,47.88306451612903,前場後半,ALL,LME+1%
前場後半|ALL|LME-1%,975,7.296955463199994,2.7428850285545825,2.6603212993747936,52.102564102564095,前場後半,ALL,LME-1%
前場後半|ALL|月,955,-1.0146690354101562,2.577302894365668,-0.3936941356905933,46.596858638743456,前場後半,ALL,曜日_月
前場後半|ALL|火,1083,-13.168940569167624,2.5652956552959645,-5.1334981767036485,43.39796860572484,前場後半,ALL,曜日_火
前場後半|ALL|水,1084,10.421353296995726,2.8179141479450887,3.698250815978657,53.69003690036901,前場後半,ALL,曜日_水
前場後半|ALL|木,1111,-3.5197670526814293,2.740259986364067,-1.284464638463614,49.594959495949595,前場後半,ALL,曜日_木
前場後半|ALL|金,1115,-1.4502310144851522,2.9284377011720713,-0.4952234476098689,48.60986547085202,前場後半,ALL,曜日_金
後場前半|非鉄|全日,3790,-2.2662620404592255,1.485107835574757,-1.525991571906394,48.337730870712406,後場前半,非鉄,全日
後場前半|非鉄|LME+1%,704,-3.506607070933141,3.388579936489067,-1.0348308544157772,46.875,後場前半,非鉄,LME+1%
後場前半|非鉄|LME-1%,699,1.101925699298064,3.016309855994,0.3653224475954688,48.06866952789699,後場前半,非鉄,LME-1%
後場前半|非鉄|月,674,0.549936897654326,3.6108150906950156,0.15230270280843244,51.632047477744806,後場前半,非鉄,曜日_月
後場前半|非鉄|火,763,-13.854099899864433,3.314599608936578,-4.1797204894708955,44.82306684141547,後場前半,非鉄,曜日_火
後場前半|非鉄|水,772,1.8378302798551367,3.2190527813125205,0.5709226920801805,49.22279792746114,後場前半,非鉄,曜日_水
後場前半|非鉄|木,787,-2.5767491950124435,3.4698184906315235,-0.7426178637210106,47.64930114358323,後場前半,非鉄,曜日_木
後場前半|非鉄|金,794,2.7959499517175184,2.9860244076490683,0.9363453106931575,48.740554156171285,後場前半,非鉄,曜日_金
後場前半|半導体|全日,1651,-4.356620116748568,2.245401252849309,-1.9402412425040831,44.70018170805572,後場前半,半導体,全日
