,basket
2025-04-22,0.0
2025-04-23,0.0013190074225003679
2025-04-24,0.0
2025-04-25,0.0
2025-04-28,-0.0024611170860923204
2025-04-30,-0.00500902040056387
2025-05-01,-0.002333308081841825
2025-05-02,-0.0012830662020905902
2025-05-07,0.006188183903259481
2025-05-08,0.008678600605042839
2025-05-09,0.007599853401463406
2025-05-12,0.008678600605042839
2025-05-13,0.0062936965043026705
2025-05-14,-0.000816732134533776
2025-05-15,-1.0924317976850428e-05
2025-05-16,7.221318121944141e-05
2025-05-19,0.0003758742484511695
2025-05-20,0.0009122297381259939
2025-05-21,0.0015684806314361151
2025-05-22,0.0008219709068779668
2025-05-23,0.0009054884642972334
2025-05-26,0.0005241194784481129
2025-05-27,0.0005241194784481129
2025-05-28,0.0005241194784481129
2025-05-29,0.0
2025-05-30,0.0
2025-06-02,0.0
2025-06-03,0.0019393006993006989
2025-06-04,0.0019393006993006989
2025-06-05,0.0019393006993006989
2025-06-06,0.0019393006993006989
2025-06-09,0.0019393006993006989
2025-06-10,0.0019393006993006989
2025-06-11,0.0019393006993006989
2025-06-12,0.0019393006993006989
2025-06-13,0.0019403108003108005
2025-06-16,0.004514357026541874
2025-06-17,-0.0009210896898575038
2025-06-18,0.0021879567649102124
2025-06-19,-0.0019170235285894364
2025-06-20,-0.0009210896898575038
2025-06-23,0.0036014895844433013
2025-06-24,-0.000575093441248659
2025-06-25,0.0006192978036213819
2025-06-26,0.0006192978036213819
2025-06-27,0.0006192978036213819
2025-06-30,0.0
2025-07-01,7.621688958824916e-05
2025-07-02,7.621688958824916e-05
2025-07-03,7.621688958824916e-05
2025-07-04,7.621688958824916e-05
2025-07-07,7.621688958824916e-05
2025-07-08,0.0
2025-07-09,0.0006109004739336843
2025-07-10,0.0
2025-07-11,-0.0008785630366019003
2025-07-14,-0.0008785630366019003
2025-07-15,-0.004653420430195589
2025-07-16,-0.0008785630366019003
2025-07-17,-0.0004342712962290516
2025-07-18,-0.000491355932203395
2025-07-22,-0.0025099999999999996
2025-07-23,-0.0025099999999999996
2025-07-24,-0.0022448338630278258
2025-07-25,-0.0023985583985336725
2025-07-28,-0.0023985583985336725
2025-07-29,-0.0022961046107911583
2025-07-30,-0.0023745864256901283
2025-07-31,-0.0024498235306785934
2025-08-01,-0.0023815054516164898
2025-08-04,9.285289566114756e-05
2025-08-05,-0.00024721470875218254
2025-08-06,0.0018364757309257496
2025-08-07,0.003913359821257154
2025-08-08,0.003674939934473973
2025-08-12,0.0038153571578829963
2025-08-13,0.004310368524486888
2025-08-14,0.0025148019163430016
2025-08-15,0.00492326067261415
2025-08-18,0.0025148019163430016
2025-08-19,0.0017063853267372
2025-08-20,-0.00021031664418168716
2025-08-21,0.0007296959109730832
2025-08-22,0.0007296959109730832
2025-08-25,0.0007296959109730832
2025-08-26,0.00010686565652903214
2025-08-27,0.0021120483571277523
2025-08-28,-0.0004811600737856103
2025-08-29,-0.0004811600737856103
2025-09-01,-0.0004811600737856103
2025-09-02,-0.002014298647261544
2025-09-03,0.0
2025-09-04,0.0014726528669562272
2025-09-05,0.0014726528669562272
2025-09-08,0.0014726528669562272
2025-09-09,0.0014726528669562272
2025-09-10,0.0008901689551144848
2025-09-11,-0.0008572827804107419
2025-09-12,-0.0008572827804107419
2025-09-16,0.003253128418189419
2025-09-17,-0.0008572827804107419
2025-09-18,0.0
2025-09-19,0.0028616276075199456
2025-09-22,0.0008617854660296969
2025-09-24,0.004154554984325243
2025-09-25,0.0013161440769439597
2025-09-26,0.0013161440769439597
2025-09-29,0.000704202337591523
2025-09-30,-0.0028313893846053247
2025-10-01,-0.0008633910414457638
2025-10-02,-0.0003722400897018907
2025-10-03,-0.0003722400897018907
2025-10-06,0.0006130661062879155
2025-10-07,-0.0011689001426143516
2025-10-08,-0.0013834795434348314
2025-10-09,-0.002044778045814483
2025-10-10,0.0026903519478443877
2025-10-14,-0.004952553423784234
2025-10-15,0.002001066331092152
2025-10-16,0.002001066331092152
2025-10-17,0.002001066331092152
2025-10-20,0.002001066331092152
2025-10-21,0.002001066331092152
2025-10-22,0.0
2025-10-23,0.0024986423419601114
2025-10-24,0.0
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,0.00012375520897935424
2025-10-30,0.00012375520897935424
2025-10-31,0.003367789451889986
2025-11-04,0.00012375520897935424
2025-11-05,0.0032257290897741747
2025-11-06,0.001297194731221083
2025-11-07,0.001297194731221083
2025-11-10,0.001297194731221083
2025-11-11,0.001183014925237228
2025-11-12,-0.0018313236174663703
2025-11-13,0.006154820849058419
2025-11-14,0.0008387096484496615
2025-11-17,-0.00025051820013070983
2025-11-18,0.008054727266779705
2025-11-19,7.325731599230824e-05
2025-11-20,0.004326050008015168
2025-11-21,0.004295448338048957
2025-11-25,0.006110358681003514
2025-11-26,0.0066348043245658276
2025-11-27,0.008898134344307381
2025-11-28,0.009536979864086744
2025-12-01,0.007939022045357545
2025-12-02,0.004800385338289944
2025-12-03,-0.00033841329105012093
2025-12-04,-0.0028876683959006668
2025-12-05,2.0815374710620154e-05
2025-12-08,2.0815374710620154e-05
2025-12-09,-0.00026232181884737254
2025-12-10,0.0006724934157196517
2025-12-11,0.0006724934157196517
2025-12-12,0.0021728592136163374
2025-12-15,0.0006724934157196517
2025-12-16,-0.0004954937820043881
2025-12-17,-0.0012753349481705932
2025-12-18,0.0017811456573166616
2025-12-19,0.0014505183510435881
2025-12-22,0.0017811456573166616
2025-12-23,0.0017811456573166616
2025-12-24,0.0017811456573166616
2025-12-25,0.0017811456573166616
2025-12-26,0.0017811456573166616
2025-12-29,0.0017811456573166616
2025-12-30,0.004108843268909902
2026-01-05,0.006436540880503142
2026-01-06,0.009964185747770372
2026-01-07,0.009789718888948652
2026-01-08,0.007175867390902614
2026-01-09,0.007182568201828788
2026-01-13,0.0056536437486806
2026-01-14,0.006892632780714315
2026-01-15,0.006892632780714315
2026-01-16,0.006892632780714315
2026-01-19,0.0014370067348453662
2026-01-20,0.005370409138492301
2026-01-21,0.0033920935960591136
2026-01-22,0.006870202868590241
2026-01-23,0.0030449928360826045
2026-01-26,0.0030449928360826045
2026-01-27,0.0017836652216256543
2026-01-28,-0.0001422667070615649
2026-01-29,0.0009263480666118222
2026-01-30,0.0014499319699133259
2026-02-02,0.0019445179429522345
2026-02-03,0.0016147837159531304
2026-02-04,0.004372453332472307
2026-02-05,0.0011395982441303903
2026-02-06,0.0011395982441303903
2026-02-09,-0.0010930791115715782
2026-02-10,-0.004316078460018218
2026-02-12,-0.004316078460018218
2026-02-13,-0.00032041401526365035
2026-02-16,-0.004220333785818348
2026-02-17,-0.004173059157397178
2026-02-18,-0.0006893783173421313
2026-02-19,-0.0006893783173421313
2026-02-20,-0.0006893783173421313
2026-02-24,-0.0037261732642630183
2026-02-25,0.0032052717387344473
2026-02-26,-0.00013608875170782384
2026-02-27,-0.0008552485390079637
2026-03-02,-0.00881344268355616
2026-03-03,0.004814698155531909
2026-03-04,-0.0027594304973242324
2026-03-05,0.004271318608735263
2026-03-06,0.0003086729287225758
2026-03-09,0.008178935962056275
2026-03-10,0.00044623301987825945
2026-03-11,0.0012341100421746965
2026-03-12,-7.61271249076203e-06
2026-03-13,0.0027239676249776836
2026-03-16,0.004336288005879325
2026-03-17,-0.0017465073218585973
2026-03-18,0.004500955163026267
2026-03-19,9.087380469590179e-05
2026-03-23,-6.0568433378377015e-05
2026-03-24,0.008684806237574602
2026-03-25,0.008559961737718544
2026-03-26,0.006320148922743737
2026-03-27,0.006320148922743737
2026-03-30,0.007160907606141442
2026-03-31,0.009472665024340635
2026-04-01,0.004303466401294845
2026-04-02,0.009692441747341796
2026-04-03,0.005191216354894434
2026-04-06,0.004829536393467463
2026-04-07,0.002132957314446047
2026-04-08,0.001218272570811376
2026-04-09,0.0038925212954214437
2026-04-10,-0.0007109711172696508
2026-04-13,-0.0006764010566606409
2026-04-14,-0.0006764010566606409
2026-04-15,-0.0006530255519508998
2026-04-16,-0.0006530255519508998
2026-04-17,0.0023547519919244982
2026-04-20,-0.0027568421052631595
2026-04-21,-0.001636872135293179
2026-04-22,-0.0006892177368006338
2026-04-23,0.0013364118810029041
2026-04-24,0.0014493431333526033
2026-04-27,0.0020502267388691413
2026-04-28,0.0020502267388691413
2026-04-30,-0.0031588927329067222
2026-05-01,0.0024878313619144344
2026-05-07,0.0002917181688298514
2026-05-08,-0.0010867348313829703
2026-05-11,-0.0010744335883561189
2026-05-12,-0.001623301571498
2026-05-13,-0.0020105901418550373
2026-05-14,-0.0022182604203515796
2026-05-15,-0.00993862784603917
2026-05-18,-0.0057645531569100175
2026-05-19,-0.0010983877603827608
