sym,name,sector,pattern,condition,gross_n,gross_mean,gross_med,gross_std,gross_wr,gross_sharpe,net_mean,net_wr,net_sharpe
6857.T,アドバンテスト,半導体,曜日効果_後場,木曜_後場,73,0.1560419769549009,0.23228803716608404,1.044579954289947,58.9041095890411,2.3713738526995183,0.11604197695490089,56.16438356164384,1.7634928455561927
6857.T,アドバンテスト,半導体,曜日効果_日次,金曜_日次,73,0.2923306657785602,-0.22603978300180794,2.306333337446611,42.465753424657535,2.0121139377995427,0.25233066577856006,41.0958904109589,1.7367936688923153
6857.T,アドバンテスト,半導体,曜日効果_前場,金曜_前場,73,0.05003814157415092,-0.19762845849802257,2.024092303617609,45.20547945205479,0.39243806748268595,0.010038141574150863,43.83561643835616,0.07872692223470566
6857.T,アドバンテスト,半導体,曜日効果_後場,金曜_後場,73,0.12566137371152966,0.10500525026251317,1.058080845396455,50.68493150684932,1.8853119533954905,0.08566137371152961,50.68493150684932,1.285187381234296
6857.T,アドバンテスト,半導体,前日→翌日,前日大幅安,88,0.4279021977745742,0.17059213698512599,2.44319016118882,52.27272727272727,2.7802734770803728,0.3879021977745742,52.27272727272727,2.5203754450964317
6857.T,アドバンテスト,半導体,前日→翌日,前日小幅安,88,0.2360233612557279,0.30758035172832043,2.147527899238136,57.95454545454546,1.7446826680270335,0.19602336125572795,56.81818181818182,1.4490030100906832
6857.T,アドバンテスト,半導体,前日→翌日,前日小幅高,87,0.20465708852221481,0.02777777777778212,3.2201045184471835,50.57471264367817,1.0089208418689901,0.16465708852221492,48.275862068965516,0.8117283870844155
6857.T,アドバンテスト,半導体,前日→翌日,前日大幅高,88,0.15069697335535986,-0.12435261482119375,2.8749606593461285,48.86363636363637,0.8320949649149416,0.11069697335535987,48.86363636363637,0.6112292245121079
6857.T,アドバンテスト,半導体,寄付ギャップ_日次モメンタム,GU大(>+1%),132,0.051319977167224376,-0.17813122442993934,2.866723675608273,48.484848484848484,0.28418483029100133,0.01131997716722442,46.96969696969697,0.06268447430682421
6857.T,アドバンテスト,半導体,寄付ギャップ_前場モメンタム,GU大(>+1%),132,-0.05929301623067907,-0.040000000000001146,2.4498858940184647,49.24242424242424,-0.3842005274098146,-0.0992930162306791,49.24242424242424,-0.6433882374194289
6857.T,アドバンテスト,半導体,寄付ギャップ_逆張り,GU大(>+1%),132,-0.051319977167224376,0.17813122442993934,2.866723675608273,50.75757575757576,-0.28418483029100133,-0.09131997716722438,50.75757575757576,-0.5056851862751788
6857.T,アドバンテスト,半導体,寄付ギャップ_日次モメンタム,GU小(0〜1%),71,0.7905733919824847,0.648936170212755,2.7681840393530797,64.7887323943662,4.533644928071886,0.7505733919824847,63.38028169014085,4.304259776785523
6857.T,アドバンテスト,半導体,寄付ギャップ_前場モメンタム,GU小(0〜1%),71,0.520546793793702,0.04464285714285143,2.2494405011107594,50.70422535211267,3.673546452471408,0.48054679379370197,50.70422535211267,3.3912627848918686
6857.T,アドバンテスト,半導体,寄付ギャップ_逆張り,GU小(0〜1%),71,-0.7905733919824847,-0.648936170212755,2.7681840393530797,35.2112676056338,-4.533644928071886,-0.8305733919824848,35.2112676056338,-4.76303007935825
6857.T,アドバンテスト,半導体,寄付ギャップ_日次モメンタム,GD小(0〜-1%),51,-0.066465698869921,-0.25529742149603685,2.3561682220203566,45.09803921568628,-0.4478076945842073,-0.10646569886992104,45.09803921568628,-0.7173047146700746
6857.T,アドバンテスト,半導体,寄付ギャップ_前場モメンタム,GD小(0〜-1%),51,0.0051578038925515325,-0.035149384885757584,1.9926176509764413,49.01960784313725,0.041090471333259125,-0.03484219610744852,49.01960784313725,-0.2775759393272826
6857.T,アドバンテスト,半導体,寄付ギャップ_逆張り,GD小(0〜-1%),51,0.066465698869921,0.25529742149603685,2.3561682220203566,54.90196078431373,0.4478076945842073,0.02646569886992104,54.90196078431373,0.1783106744983405
6857.T,アドバンテスト,半導体,寄付ギャップ_日次モメンタム,GD大(<-1%),95,-0.27236777912783056,0.0,2.5527966339280455,49.473684210526315,-1.6937128460806024,-0.31236777912783065,49.473684210526315,-1.942451937246844
6857.T,アドバンテスト,半導体,寄付ギャップ_前場モメンタム,GD大(<-1%),95,-0.2631257664078761,-0.26640493550196265,2.2261864186076195,44.21052631578947,-1.876299313380774,-0.30312576640787614,44.21052631578947,-2.1615316323582
6857.T,アドバンテスト,半導体,寄付ギャップ_逆張り,GD大(<-1%),95,0.27236777912783056,0.0,2.5527966339280455,48.421052631578945,1.6937128460806024,0.2323677791278307,48.421052631578945,1.444973754914362
6857.T,アドバンテスト,半導体,ORB15分_上抜け→前場,前場+0.3%以上,90,1.6179300426298266,1.6196542468717046,1.96933836490927,81.11111111111111,13.041864032428581,1.5779300426298268,81.11111111111111,12.719430708643333
6857.T,アドバンテスト,半導体,ORB15分_下抜け→前場,前場-0.3%以下,89,1.0892841050798008,0.9442060085836923,1.7557615839637453,74.15730337078652,9.84863164381507,1.0492841050798007,74.15730337078652,9.486976439341356
6857.T,アドバンテスト,半導体,ORB15分_上抜け→引け,前場+0.3%以上,90,1.6765526957462116,1.8604137287226652,2.6103606980585843,75.55555555555556,10.195697850044466,1.6365526957462113,73.33333333333333,9.95244399048101
6857.T,アドバンテスト,半導体,ORB15分_下抜け→引け,前場-0.3%以下,89,1.0203789970667123,0.7906976744186056,2.2009938933268782,66.29213483146067,7.359409067304726,0.9803789970667124,66.29213483146067,7.070911985790471
6857.T,アドバンテスト,半導体,ORB30分_上抜け→前場,前場+0.3%以上,93,1.710200174974533,1.6480162767039674,1.861225984675583,84.94623655913979,14.586399692599743,1.6702001749745332,84.94623655913979,14.245237297552816
6857.T,アドバンテスト,半導体,ORB30分_下抜け→前場,前場-0.3%以下,75,1.5145745263219774,1.200000000000001,1.6293783799684227,86.66666666666667,14.756010959709908,1.4745745263219772,86.66666666666667,14.36630386499087
6857.T,アドバンテスト,半導体,ORB30分_上抜け→引け,前場+0.3%以上,93,1.8048810385647382,1.8350558953807106,2.439802182857559,76.34408602150538,11.74341036576669,1.7648810385647387,76.34408602150538,11.483151432023218
6857.T,アドバンテスト,半導体,ORB30分_下抜け→引け,前場-0.3%以下,75,1.4405791804124677,1.091703056768556,2.014810568299352,73.33333333333333,11.350191373531718,1.4005791804124677,73.33333333333333,11.035035038417062
6857.T,アドバンテスト,半導体,前場→後場,前場大幅高(>+0.5%),153,0.05475094586048034,0.10764262648008671,1.249780069155092,52.94117647058824,0.6954378151845027,0.014750945860480313,51.633986928104584,0.18736417060735894
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅高(>+0.5%)_月曜,32,0.06679936564665534,0.22062660684608604,1.1498087691028358,53.125,0.9222464499509205,0.026799365646655304,53.125,0.36999782242396223
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅高(>+0.5%)_火曜,33,-0.42582471739370564,-0.27371014096072566,1.7545703943859672,36.36363636363637,-3.8526569510106725,-0.4658247173937057,36.36363636363637,-4.214557685621962
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅高(>+0.5%)_水曜,31,0.22474784807420264,0.23088023088022602,1.0674883177169203,58.06451612903226,3.342201898600741,0.1847478480742026,58.06451612903226,2.7473660543888254
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅高(>+0.5%)_木曜,29,0.24486854001538794,0.33983187265247405,0.9156695119735045,62.06896551724138,4.245164345733493,0.2048685400153879,55.172413793103445,3.5517041984288658
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場大幅高(>+0.5%)_金曜,28,0.22225570497165267,0.1353299312526257,0.9465175146214335,57.14285714285714,3.7275590598375126,0.18225570497165267,57.14285714285714,3.056699509066847
6857.T,アドバンテスト,半導体,前場→後場,前場小幅高(0〜+0.5%),27,0.07862102557748593,0.16741071428572063,1.2186114509117578,55.55555555555556,1.0241739383455308,0.03862102557748589,55.55555555555556,0.5031052136257576
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅高(0〜+0.5%)_月曜,5,0.39777608609742776,0.5658852061438902,0.758277415405798,80.0,8.327426716823965,0.3577760860974277,80.0,7.490028290133798
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅高(0〜+0.5%)_水曜,6,0.8673147369161528,0.5665504426568768,0.8486374743155919,83.33333333333334,16.223882435680874,0.8273147369161528,83.33333333333334,15.475647371977614
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅高(0〜+0.5%)_木曜,8,-0.33417981449129636,-0.5327036359943138,1.5155085803676116,50.0,-3.50043553870425,-0.3741798144912964,50.0,-3.9194238063269102
6857.T,アドバンテスト,半導体,前場×曜日→後場,前場小幅高(0〜+0.5%)_金曜,5,-0.5096587806901454,-0.8561977038334279,1.0766862819431386,20.0,-7.514335845941866,-0.5496587806901454,20.0,-8.104090099622452
