code,last_date,adv,ret12m,ret3m,n_days
15760,2021-06-08,850580.0,0.04336734693877542,-0.02035928143712573,105
15840,2023-02-28,90003.5,,,527
15980,2021-09-16,50545.0,,0.12162162162162171,174
16700,2021-04-16,570900.0,0.1721311475409837,0.153225806451613,72
17280,2021-07-27,1052800.0,0.28,0.25,138
17370,2022-03-22,3996000.0,0.27616279069767447,0.43934426229508206,297
17390,2024-04-23,5937500.0,0.25316455696202533,-0.0036596523330283404,810
17820,2021-05-21,15684000.0,-0.04371002132196167,0.0022346368715084886,93
18240,2021-09-28,644741100.0,-0.018558951965065518,-0.08077709611451944,180
18810,2022-03-28,479417000.0,0.29659643435980554,0.0025062656641603454,301
18830,2021-09-28,411544500.0,0.23180751173708924,-0.04936594202898548,180
19540,2023-06-28,86956500.0,0.1299093655589123,0.15076923076923077,609
19710,2024-04-25,538300.0,0.4174573055028463,0.0013404825737264314,812
20350,2022-03-16,139791596.5,-0.6403785488958991,0.08571428571428563,294
21510,2021-09-28,351533900.0,0.49005568814638023,0.20295439948619132,180
21590,2022-08-31,5802600.0,0.4259740259740259,0.0,407
21740,2021-11-01,260095150.0,0.9551820728291316,0.32825880114176975,204
21760,2022-08-16,3663600.0,0.29352517985611515,0.4546925566343043,396
21780,2022-08-19,10865900.0,0.4181360201511335,0.0,399
21910,2022-08-22,23974000.0,-0.9897435897435898,-0.9753086419753086,400
22300,2022-03-03,,,,285
23090,2024-03-27,81691600.0,0.28536703937773455,-0.004143126177024503,791
23360,2021-09-28,98000.0,,,180
23520,2022-09-28,36114100.0,-0.5188627665390924,-0.16587677725118488,425
23620,2021-03-29,531612800.0,0.5243553008595989,0.5243553008595989,58
23980,2021-06-16,176980900.0,0.7238805970149254,0.002169197396963085,111
24020,2024-01-26,2211900.0,-0.9201451905626135,-0.8566775244299674,751
24060,2022-06-06,2105600.0,0.31034482758620685,0.0,347
24120,2024-05-17,1079133000.0,0.32034104750304504,0.00023068050749719404,825
24530,2024-03-22,47501500.0,0.401685393258427,0.0,788
26750,2021-05-27,6769000.0,0.15700267618198027,0.0007716049382715529,97
27060,2023-09-25,10683600.0,0.34684684684684686,-0.0013360053440213404,669
27140,2021-02-10,5595400.0,0.0,0.0,27
27290,2022-06-01,52136700.0,0.5112426035502959,-0.001173249902229223,344
27610,2023-03-03,1834000.0,0.14086687306501555,0.005457025920873049,530
27730,2022-08-26,2777100.0,1.1251475796930341,0.003904071388733943,404
27770,2023-05-09,1060700.0,0.45628742514970067,0.24717948717948723,573
29050,2022-07-20,1106300.0,-0.08504923903312445,-0.005836575875486361,378
29250,2022-08-29,67948400.0,-0.37226666666666663,-0.13519470977222625,405
29870,2024-03-27,116343000.0,0.35836501901140694,0.09923076923076923,791
30850,2023-08-29,174376700.0,0.47710843373493983,0.05145797598627788,651
30980,2021-09-28,407028500.0,0.08422459893048129,-0.04250295159386064,180
31250,2021-07-19,3919950.0,-0.028099173553719048,0.1484375,134
31940,2021-01-05,55253000.0,,,2
32270,2021-02-24,860472300.0,0.23444444444444446,0.23444444444444446,35
32280,2023-10-31,70895200.0,0.3056092843326885,0.3200782268578879,694
32440,2024-05-29,341565700.0,0.18462246777163904,0.04212231672742006,833
32780,2023-10-27,534911450.0,-0.026814609338881135,-0.0627782724844167,692
32980,2021-11-08,955103230.0,0.5439074200136147,0.0,208
33160,2023-10-27,1970100.0,2.3193916349809887,0.9081967213114754,692
33440,2021-03-29,4529450.0,-0.04424778761061943,-0.04424778761061943,58
33560,2022-10-27,19927500.0,-0.1616915422885572,-0.005899705014749235,445
33760,2022-01-17,5915700.0,0.691111111111111,0.005284015852047519,254
33900,2022-09-28,29254400.0,-0.21052631578947367,-0.032258064516129004,425
34080,2021-12-09,37087800.0,0.7501148369315571,0.0013140604467805073,230
34530,2023-10-27,580161350.0,0.0018691588785046953,-0.04998227578872738,692
34560,2023-12-26,,,,732
34640,2023-09-27,33580400.0,-0.05980066445182719,0.24014022787028932,671
34780,2023-02-24,95809400.0,0.08164915117219085,-0.023357664233576658,525
35150,2021-08-27,831450.0,0.23821238212382134,,160
35280,2023-01-27,28682950.0,0.4176470588235295,0.047826086956521685,506
35780,2022-12-20,1082800.0,0.15053763440860224,0.007058823529411784,481
35781,2021-02-03,,,,22
36300,2021-06-28,112869000.0,-0.04552590266875978,-0.07458143074581436,119
36580,2022-02-01,228961500.0,1.013152312261349,-0.009394572025052228,265
36770,2024-02-06,38635050.0,0.0984578884934757,-0.0032292787944026013,758
36890,2021-06-29,554947050.0,1.0154777927321668,-0.00033377837116155273,120
36930,2021-08-17,,,,152
37510,2021-09-24,142832000.0,0.2464516129032257,0.00520291363163361,178
37820,2023-08-03,29551050.0,-0.9166666666666666,-0.8787878787878788,634
37840,2024-02-14,30236400.0,0.4144460028050492,0.0009925558312655625,763
38520,2024-02-07,10867000.0,0.32175121612230706,0.7385740402193783,759
39060,2022-12-23,135866750.0,1.1578327444051824,1.2072289156626508,484
39190,2022-10-28,88161400.0,-0.13094867807153965,-0.0010725777618877386,446
39560,2022-02-24,3943650.0,-0.17344173441734423,0.10108303249097483,280
39600,2022-05-27,4137250.0,-0.6691266912669127,0.08032128514056236,341
39660,2023-02-06,263150850.0,0.48071216617210677,0.8278388278388278,512
39750,2021-09-27,55517800.0,1.1690821256038646,0.0011148272017837968,179
39950,2024-03-27,18104800.0,0.09090909090909083,0.05263157894736836,791
39990,2023-03-29,3026200.0,0.06114649681528661,0.012150668286755817,547
40180,2021-09-10,10000000.0,,,170
41150,2021-09-13,12042200.0,0.009397457158651257,0.001645639056500281,171
42500,2021-10-29,,,,203
42820,2021-09-16,176029000.0,0.8709677419354838,0.0,174
43120,2024-02-08,67829400.0,0.10606060606060597,0.31768953068592065,760
43210,2021-03-16,221592900.0,0.0,0.0,49
43270,2023-07-18,4970200.0,0.3202979515828679,0.0014124293785311437,622
43360,2022-02-22,813500.0,0.6283662477558349,0.4868852459016393,279
43420,2021-10-27,6333000.0,0.7597765363128492,-0.0031645569620253333,201
43550,2023-10-24,4919800.0,0.08187134502923987,0.005434782608695565,689
43640,2021-09-28,9031500.0,-0.26042726347914547,-0.25051546391752577,180
43830,2021-10-26,,,,200
43990,2021-09-28,24619950.0,-0.03576341127922966,0.04783258594917794,180
44230,2023-10-17,151771750.0,0.6630252100840337,0.0005055611729019027,684
44970,2021-09-28,91671250.0,-0.1596899224806202,-0.018826937002172306,180
45140,2021-03-29,182309400.0,-0.06957621758380772,-0.06957621758380772,58
45170,2021-07-27,23900850.0,0.2672064777327936,0.058863328822733374,138
45410,2023-03-28,315369700.0,-0.9567367119901112,-0.6902654867256637,546
45500,2022-11-10,23669500.0,0.7798546209761164,0.0029256875365710755,454
45550,2021-03-29,852184000.0,0.1486631016042781,0.1486631016042781,58
45570,2021-01-12,25874500.0,,0.0011415525114155667,6
45810,2024-04-08,713241000.0,0.5159010600706713,-0.008780036968576654,799
46210,2023-12-12,628350.0,0.9250681198910082,0.0,722
46360,2024-04-24,26731800.0,0.2357080035180299,-0.0021306818181817677,811
46400,2021-03-19,2551900.0,-0.006420545746388395,-0.006420545746388395,52
46530,2023-01-19,5164300.0,0.5020080321285141,0.0,500
46690,2021-07-27,3434150.0,0.38297872340425543,-0.004784688995215336,138
46960,2021-06-25,28454650.0,-0.3527272727272728,-0.285140562248996,118
46990,2022-05-26,17143500.0,0.32689210950080505,0.0012150668286756705,340
47080,2023-07-26,135426450.0,0.30276046304541415,0.003429355281207025,628
