,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption,closing_auction
2025-01-22,0.0,-0.0375991247264771,0.0,0.0,0.00780367068395915
2025-01-23,0.0,0.0,0.0,0.0,0.007418397626112849
2025-01-24,0.0,0.0,0.0,0.0,0.002310002310002224
2025-01-27,0.0,0.0,0.0,0.0093306319836571,-0.00815516861362131
2025-01-28,0.0,0.0002120690073863,0.0,0.0028275837667266,0.0057557621333231964
2025-01-29,0.0,0.0,0.0,0.0028275837667266,-0.005450996899898401
2025-01-30,0.0,0.0,0.0,0.0028275837667266,0.0
2025-01-31,0.0,0.0,0.0,0.0028275837667266,-0.01299955527085413
2025-02-03,0.0,0.0465819539514623,0.0,-0.0006372178562063,0.017486878679176053
2025-02-04,0.0,0.0,0.0,-0.003661712708589,0.006814727682252626
2025-02-05,0.0,0.0,0.0,-0.0032344807491809,0.004906333630686932
2025-02-06,0.0,0.0,0.0,-0.002685676706033,-0.0036285540848969566
2025-02-07,0.0,0.0,0.0,-0.0026571633265523,0.0037671977780017025
2025-02-10,0.0,0.0,0.0,-0.0026959099810978,0.0
2025-02-12,-0.0056189409368634,0.0,0.0,-0.0001540224685552,0.0008291608833724261
2025-02-13,0.0,0.0,0.0,-0.0005463043261487,0.0012772559440950237
2025-02-14,0.0,0.0,0.0,0.002777463828941,0.0018117071184513929
2025-02-17,-0.0150267259536625,0.0,0.0,0.0044464393167018,-0.0033412757837534466
2025-02-18,0.0041098504628531,0.0,0.0,0.0005168630211784,-0.0005543101523128499
2025-02-19,0.0,0.0,0.0,0.0001864812426308,0.0006786579920908064
2025-02-20,0.0,0.0,0.0,0.0003267664155768,-0.011970765679905099
2025-02-21,0.000306630549994,0.0,0.0,-0.0016535049511676,0.001345806581713164
2025-02-25,0.018181081081081,0.0284823314535362,0.0,-0.0016535049511676,0.0012250739741912933
2025-02-26,0.0,0.0,0.0,-0.0006049959165023,0.0
2025-02-27,0.0,0.0,0.0,-0.001200033466141,-0.00985912060056543
2025-02-28,-0.0019043249341857,0.0,0.0,0.0041243132280671,0.011299641106650783
2025-03-03,-0.0084645161290322,0.0,0.0,0.003124506879192,-0.0009020176229789512
2025-03-04,0.0,0.0,0.0,0.003124506879192,0.001984637899644278
2025-03-05,0.0,0.0094324836125273,0.0,0.003124506879192,0.012873025160912821
2025-03-06,0.0,0.0,0.0,0.003796136368044,-0.01693470948985654
2025-03-07,0.0,0.0438945145203872,0.0,0.0024579693132753,-0.001223229952280469
2025-03-10,0.0,-0.0404,0.0,0.0099065047233468,0.004820553977857411
2025-03-11,-0.0121982626734085,0.0041992115637318,0.0,0.012215274987659,-0.009320905459387465
2025-03-12,0.0,0.0,0.0,0.0192132151220112,0.0
2025-03-13,0.0,0.0,0.0,0.0192132151220112,0.004232804232804144
2025-03-14,0.0,0.0,0.0,0.0192132151220112,0.01244655509495337
2025-03-17,0.0,0.0,0.0,0.021074557201744,0.01886792452830188
2025-03-18,0.0,0.0,0.0,0.0192148413989382,0.0
2025-03-19,0.0,0.0,0.0,0.0009960560402859,0.013252348875665287
2025-03-21,0.0,0.0,0.0,0.0009960560402859,0.0026413085864952254
2025-03-24,0.0,0.0,0.0,0.0009960560402859,0.009355071610450816
2025-03-25,0.0,0.0,0.0,0.0009960560402859,0.002276098594304172
2025-03-26,0.0,0.0,0.0,-0.0032333541573702,-0.008483563096500557
2025-03-27,0.0,0.0,0.0,-0.0088190761548064,0.0
2025-03-28,0.0,0.0,0.0,-0.0088190761548064,-0.021169153019023407
2025-03-31,0.0,0.0,0.0,-0.0214923048101271,0.006887995751823269
2025-04-01,0.0101514382615249,0.0,0.0,-0.0214923048101271,0.002184897931775509
2025-04-02,0.0026860228880031,0.0,0.0,-0.0214923048101271,0.0
2025-04-03,-0.0088348641049671,0.0,0.0,-0.0341655334654477,-0.01039505308296157
2025-04-04,0.0,0.0,0.0,0.00058041173921,0.0
2025-04-07,0.0158466843501325,0.0216765984159718,0.0,0.0185337917731528,0.018671360102998247
2025-04-08,0.0,0.0,0.0,0.0171231392687806,-0.021019108280254772
2025-04-09,-0.0067918184723553,0.0,0.0,0.0170721834253688,-0.00964052287581696
2025-04-10,0.0015028103044497,0.0,0.0,0.01461699206633,0.0
2025-04-11,0.0,0.0,0.0,0.0173091001982616,0.007703336395638417
2025-04-14,0.0,0.0,0.0,0.0075835379079062,0.008658990463322414
2025-04-15,0.0,0.0,0.0,0.0054278473329622,-0.0031163978286611166
2025-04-16,0.0,0.0,0.0,0.0045360359030003,0.007609028076064561
2025-04-17,0.0,0.0,0.0,0.0117529295645886,-0.005950285067041983
2025-04-18,0.0,0.0219495702005731,0.0,0.0,0.007334195438345349
2025-04-21,0.0,0.0,0.0,0.0,0.0005993993067974659
2025-04-22,0.0,0.0,0.0,0.0,0.020600300879442757
