code4,name_ja,sector33_nm,pbr,per,roe,divy,mcap,tv_avg
2288,丸大食品,食料品,0.7271462620087614,5.69906724349196,12.71387925322524,3.0715225976305396,559.6917493307637,157337461.53846154
5445,東京鐵鋼,鉄鋼,0.7632643615790355,6.0616622833423115,12.73337958874732,15.682174594877157,484.0317275389612,237458815.3846154
9534,北海道瓦斯,電気･ガス業,0.7038357232909762,5.940897259225233,11.558519707150737,3.1572164948453607,701.7945996934325,121956207.6923077
9507,四国電力,電気･ガス業,0.6481565222634229,6.0864641889432605,10.639937511910222,3.322259136212625,3095.148322329746,687011584.6153846
6418,日本金銭機械,機械,0.7900173289241689,6.0298024719879875,13.089691728274516,3.8314176245210727,283.18171155286836,115785984.61538462
8844,コスモスイニシア,不動産業,0.8216172384597956,5.670548537097239,14.146341463414632,3.483309143686502,478.34555623129296,155249738.46153846
9509,北海道電力,電気･ガス業,0.5008254261356508,4.8124397299903565,9.289412122389345,3.206091573990582,2372.089515331851,2235133478.4615383
5351,品川リフラ,ガラス･土石製品,0.8645373274445797,3.545367048735672,22.489540651283157,4.4422507403751235,1002.214896840129,218389061.53846154
9022,東海旅客鉄道,陸運業,0.7097598576710981,6.597295214070492,10.763299913892977,0.8497079129049389,36457.7448746895,10755913623.076923
9503,関西電力,電気･ガス業,0.740626098283695,6.7333059740868855,10.850093526675087,3.2651284283848496,25942.236220066232,7922775261.538462
7242,カヤバ,輸送用機器,0.7638897740743641,6.637763255747718,11.171817286382664,3.7187127532777113,1985.3800784102352,391065615.38461536
4471,三洋化成工業,化学,0.6758530821817899,6.882258908741106,9.61945421885381,3.494347379239465,1098.6397362714304,254913384.6153846
4028,石原産業,化学,0.8250144622276281,6.3963383780302685,12.878353899270772,4.314994606256742,1065.7371820164053,651726423.0769231
7532,パン・パシフィック・インターナショナルホールディングス,小売業,0.8765615910233782,5.864502935549838,14.504105479741813,3.937007874015748,5470.130015085931,8567755696.923077
8150,三信電気,卸売業,0.7412363000554394,6.868532193929216,10.772910098923797,6.832074793239842,340.9316362104994,106557438.46153846
9504,中国電力,電気･ガス業,0.4308482339062246,4.885892660406064,8.840411096722267,2.899173198754429,3340.3318896162477,1337811286.1538463
1964,中外炉工業,建設業,0.8918713292942039,5.97327947801771,14.827991486928624,4.317295188556567,280.7700131751083,123775769.23076923
7280,ミツバ,電気機器,0.4798711347813804,4.737915816645156,8.856121737957698,2.196836555360281,640.4696074586649,257157553.84615386
6505,東洋電機製造,電気機器,0.7256906883450303,7.466035904900534,9.721995361144685,4.061738424045491,222.14117660929722,221449600.0
9508,九州電力,電気･ガス業,0.8441670089503195,5.617352614015573,12.606077118666882,2.828854314002829,10348.449204309907,2942732569.230769
4246,ダイキョーニシカワ,化学,0.7375113263320509,7.862855332963813,9.587964397998494,5.236656596173213,666.2087313022682,304842484.61538464
9110,ＮＳユナイテッド海運,海運業,0.8824469839447521,6.856013927195196,12.871260683760683,4.42225392296719,1651.9407539445758,367704769.2307692
2060,フィード・ワン,食料品,0.7965655863814581,7.701535508637236,10.222008495631963,3.543613707165109,496.93744106407263,102759492.3076923
9031,西日本鉄道,陸運業,0.8277916688833324,7.352107352107352,10.97275494464995,2.2493573264781492,2425.7938181624727,445198830.7692308
5013,ユシロ,石油･石炭製品,0.7886667685122543,7.98552606137613,9.996660126080242,3.87409200968523,377.81870212348053,232621830.76923078
3443,川田テクノロジーズ,金属製品,0.674625413710334,7.593882044872939,8.825243694101095,11.833855799373042,671.3197491831534,310973276.9230769
