,pair_portfolio,eneos_vwap_trend,lme_on_copper,lasertec_ma25,nonferrous_D_strong,nonferrous_D_freq,nonferrous_B_disp,semi_sox_fade,topix_rv,topix_day_ret,topix_close_skew,topix_twap_pulse,topix_trend,semi_disp
2025-08-27,-4.924205270024157,95.4500994501002,0.0,0.0,0.0,0.0,36.780317120221014,-40.03164249713831,2.2569408151884325,-12.103622627267496,0.2824634380624155,0.009594126907146944,0.10246619686221305,6.010837903530379
2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0,-32.4116084004653,0.0,2.775932180647448,94.68112911657167,0.0690873504272449,0.0019456607907843418,0.16000997044197687,13.060283390306687
2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0,-14.46551724137967,37.836900540966674,2.798850403810793,-25.138423512697237,0.5204211908739637,0.005166287844728611,-0.1566531840623902,3.7581914841795103
2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,48.01920658511395,-203.700549395434,3.2331718854589164,7.187217207504926,1.0213229518515872,0.012565474262764137,0.2124398438019822,8.636180446353254
2025-09-02,-10.50956223867455,-60.22932745314224,0.0,0.0,0.0,0.0,104.46485473289658,-74.58851840623447,2.605043564719687,37.12774549907483,0.33680020364248936,0.01137473033455768,-0.0143957898082139,3.1363872880048533
2025-09-03,81.49439773557764,0.0,0.0,0.0,0.0,146.4990249180703,295.2440056417496,94.47407863832248,3.125168592185124,-79.52286282306153,0.10937930059784962,0.0011102653655570712,0.024872956761448812,7.716820643251326
2025-09-04,0.0,0.0,0.0,0.0,0.0,0.0,94.15664018161208,0.0,2.459383069472047,73.81606488749304,0.10166077080734645,0.012793625770894542,-0.11478391890195225,5.649635266217334
2025-09-05,0.0,0.0,0.0,0.0,0.0,47.83607870490046,-19.344299489506326,203.57351177165285,3.1348046300126637,15.675143930720115,0.2916711771578483,0.027433427622020556,0.023027545055637554,2.893233397024143
2025-09-08,0.0,0.0,0.0,0.0,0.0,0.0,-43.12132822477643,-230.62550251262604,3.6261874151152393,44.61856567635092,0.14932828233568937,0.023003167418138733,-0.04418534470507139,2.5603250626892073
2025-09-09,0.0,0.0,0.0,0.0,0.0,0.0,16.491049209447443,-69.03962338753342,2.875571424016267,-88.75965054855772,0.1333439292130655,0.0058208418206645955,0.022767058642142908,4.152835477039291
2025-09-10,0.0,0.0,0.0,0.0,0.0,0.0,-33.02175805047857,0.0,2.4965287367588913,64.85662008568482,0.000490813302552219,0.004693821362357747,-0.0412305142765552,3.2711466609293915
2025-09-11,0.0,0.0,0.0,0.0,0.0,237.0786705085825,23.62411841797081,-110.08595710023884,3.176558944568034,38.332259689899395,0.30111225152345056,0.02543884716059701,-0.00849090737254271,5.04494330053458
2025-09-12,0.0,0.0,0.0,0.0,0.0,0.0,3.2415101301876987,-206.52815358742768,2.513404736092557,-13.271442068576444,0.5023344423582694,0.014662939032465714,0.016078675503401425,4.492110301491487
