date,code,side,entry,exit,or_high,or_low,pnl,entry_ts
2025-07-23,58020,1,3500.0,3460.0,3500.0,3438.0,-0.013094379425735134,2025-07-23 09:16:00
2025-07-24,58020,-1,3533.0,3570.0,3569.0,3533.0,-0.012018227414539484,2025-07-24 09:35:00
2025-07-25,58020,-1,3545.0,3547.0,3576.0,3545.0,-0.0021640158073938675,2025-07-25 09:28:00
2025-07-28,58020,-1,3521.0,3503.0,3586.0,3521.0,0.0035252959575656512,2025-07-28 13:12:00
2025-07-29,58020,-1,3478.0,3509.0,3510.0,3478.0,-0.010473680668986882,2025-07-29 10:40:00
2025-07-31,58020,1,3690.0,3758.0,3690.0,3610.0,0.01666044293883772,2025-07-31 09:59:00
2025-08-01,58020,1,3846.0,3741.0,3846.0,3733.0,-0.029280691800578847,2025-08-01 09:35:00
2025-08-05,58020,1,3849.0,3918.0,3849.0,3809.0,0.01616794522073985,2025-08-05 10:09:00
2025-08-06,58020,1,3902.0,3985.0,3902.0,3856.0,0.01944807004125889,2025-08-06 09:25:00
2025-08-07,58020,1,3978.0,3973.0,3978.0,3936.0,-0.0028577035993185614,2025-08-07 09:25:00
2025-08-08,58020,1,3968.0,3928.0,3968.0,3920.0,-0.011731798930406953,2025-08-08 09:25:00
2025-08-12,58020,1,4007.0,3952.0,4007.0,3975.0,-0.015421051768386132,2025-08-12 09:22:00
2025-08-13,58020,-1,3944.0,4025.0,3992.0,3944.0,-0.02192947413013769,2025-08-13 09:17:00
2025-08-14,58020,-1,3936.0,3934.0,3980.0,3936.0,-0.0010917407768603555,2025-08-14 09:36:00
2025-08-15,58020,1,3950.0,4050.0,3950.0,3916.0,0.023401302205417186,2025-08-15 09:32:00
2025-08-18,58020,1,4061.0,4037.0,4061.0,4015.0,-0.007527406833356955,2025-08-18 10:21:00
2025-08-19,58020,-1,4009.0,3963.0,4031.0,4009.0,0.009940519452071988,2025-08-19 09:16:00
2025-08-20,58020,-1,3855.0,3877.0,3898.0,3855.0,-0.007290651673499243,2025-08-20 09:26:00
2025-08-21,58020,-1,3876.0,3911.0,3933.0,3876.0,-0.010589401744857226,2025-08-21 10:17:00
2025-08-22,58020,1,3987.0,3997.0,3987.0,3933.0,0.0009050113299685374,2025-08-22 13:51:00
2025-08-25,58020,-1,4080.0,4074.0,4140.0,4080.0,-0.00012832938854374942,2025-08-25 09:16:00
2025-08-26,58020,-1,4037.0,4023.0,4102.0,4037.0,0.0018739489031526114,2025-08-26 09:18:00
2025-08-27,58020,-1,4016.0,4056.0,4056.0,4016.0,-0.01151088389945396,2025-08-27 09:38:00
2025-08-28,58020,1,4082.0,4127.0,4082.0,3986.0,0.00936368638279172,2025-08-28 09:16:00
2025-08-29,58020,1,4160.0,4203.0,4160.0,4077.0,0.008683481749807636,2025-08-29 09:16:00
2025-09-02,58020,1,4087.0,4060.0,4087.0,4008.0,-0.008228230968498982,2025-09-02 10:09:00
2025-09-03,58020,1,4138.0,4085.0,4138.0,4080.0,-0.014490851011385059,2025-09-03 09:30:00
2025-09-04,58020,1,4165.0,4102.0,4165.0,4088.0,-0.01684161596861709,2025-09-04 09:37:00
2025-09-05,58020,-1,4141.0,4140.0,4199.0,4141.0,-0.0013584832737928122,2025-09-05 09:54:00
2025-09-08,58020,1,4187.0,4236.0,4187.0,4152.0,0.01003494070215364,2025-09-08 10:31:00
2025-09-09,58020,-1,4187.0,4114.0,4249.0,4187.0,0.0159886958062408,2025-09-09 09:16:00
2025-09-10,58020,1,4197.0,4291.0,4197.0,4126.0,0.020549821657933856,2025-09-10 09:16:00
