date,code,side,gap_pct,entry,exit,pnl
2025-09-04,58030,-1,2.2543964434894437,12785.0,13140.0,-0.028988404313314616
2025-09-09,58030,-1,1.755072471862063,13795.0,12905.0,0.06509137449867228
2025-09-12,58030,-1,1.8414118037269736,14250.0,14100.0,0.008982109330536971
2025-09-16,58030,-1,1.7575144821507491,14350.0,13970.0,0.025237768936759625
2025-09-22,58030,-1,1.5971945566052186,14200.0,14250.0,-0.005114942107444592
2025-09-25,58030,1,-2.0454864665039527,14275.0,14550.0,0.01748123807542771
2025-10-08,58030,1,-1.9815707826464617,14990.0,15965.0,0.06141551405223899
2025-10-16,58030,-1,2.4451095864164336,16560.0,16800.0,-0.01598873745209967
2025-10-17,58030,1,-1.8018505502678366,16500.0,16445.0,-0.004938901265514599
2025-10-20,58030,-1,2.016622139803991,16780.0,17195.0,-0.026030942845169474
2025-10-21,58030,-1,1.7296481935421788,17495.0,16675.0,0.0464045340179639
2025-10-23,58030,1,-2.2392337312621433,16560.0,17245.0,0.03893209743169061
2025-11-04,58030,-1,2.334373040149398,21670.0,20710.0,0.043712140140774854
2025-11-10,58030,-1,2.300065079693543,20890.0,20510.0,0.01675800348418514
2025-11-11,58030,-1,2.408594277261991,21010.0,19285.0,0.084070923196718
2025-11-27,58030,-1,1.649748716778697,18335.0,18100.0,0.011299863251509246
2025-12-03,58030,-1,2.0865138463961754,16950.0,17030.0,-0.006308660848137756
2025-12-10,58030,-1,2.0365119682871224,18850.0,18460.0,0.01930668481931371
2025-12-12,58030,-1,1.5250840252466895,18500.0,18500.0,-0.0016
2026-01-09,58030,1,-1.749650255003626,17280.0,17085.0,-0.012948877808654396
2026-01-15,58030,1,-1.6910023929973266,17005.0,17300.0,0.015599083044574451
2026-01-22,58030,-1,1.8511372630204206,18265.0,18165.0,0.0038899945740805313
2026-01-26,58030,1,-2.2593449043767033,17505.0,17960.0,0.024060508467424448
2026-02-02,58030,-1,2.0233366019739023,19970.0,19860.0,0.003923488810697297
2026-02-06,58030,1,-1.6529301951210582,21300.0,22395.0,0.048530646943884016
2026-02-13,58030,1,-1.5961856326730288,22685.0,21795.0,-0.041623327425571316
2026-02-19,58030,-1,1.5986130846302244,22700.0,22950.0,-0.012553012019197146
2026-02-24,58030,-1,2.1599111803461724,23400.0,25190.0,-0.07531106800086304
2026-02-26,58030,-1,1.8467745545840173,27325.0,27465.0,-0.006710432731981481
2026-03-17,58030,-1,1.7405196682472412,26080.0,24605.0,0.0566190627405107
2026-03-18,58030,-1,1.5926150550259195,25000.0,25705.0,-0.029409700639267233
2026-03-19,58030,1,-1.6276464825594152,25290.0,25330.0,-1.959666829000578e-05
2026-04-24,58030,-1,1.5825246087438787,5987.0,6037.0,-0.009916747871074086
2025-04-14,50160,-1,1.641302964133005,860.0,843.0,0.01836543124569793
2025-08-18,50160,-1,2.3251560373057023,1109.5,1116.0,-0.007441400568607633
2025-09-09,50160,-1,1.892800988551886,1600.0,1498.0,0.06427274415070779
2025-09-25,50160,-1,1.9924479802575505,1723.5,1844.0,-0.06918001815961912
2025-10-02,50160,-1,1.9398767971636743,2030.0,2096.5,-0.033833494574984226
2025-10-03,50160,1,-1.5139061215684266,2065.0,2117.5,0.02350592113107626
2025-10-07,50160,-1,2.079913958591858,2259.0,2087.0,0.07759460939080252
2025-10-09,50160,-1,1.6997576368571077,2225.0,2136.5,0.03898793951626093
2025-10-10,50160,1,-2.152655565544605,2091.0,2102.0,0.0036468520082629597
2025-10-17,50160,1,-2.110507783653022,2016.0,1963.0,-0.028241434914798188
2025-10-20,50160,-1,1.7172139139354239,1997.0,1923.0,0.03615958782703543
2025-10-24,50160,-1,2.010256322120832,1834.0,1951.0,-0.06344268780670112
2025-10-29,50160,-1,1.8781070374563027,2015.5,1995.0,0.00862325323325668
2025-11-06,50160,-1,1.9870640296405169,2058.5,2021.0,0.016785123806338315
2025-11-07,50160,1,-1.7721666832314908,1985.5,1923.5,-0.033324328378956304
2025-11-11,50160,-1,2.018231974985748,2002.0,1959.5,0.01985734223547972
2025-11-26,50160,-1,1.966873486029368,1643.0,1641.5,-0.000686618904379277
2025-12-01,50160,-1,1.69319357710161,1697.5,1650.0,0.02678129253822491
2025-12-03,50160,-1,1.7246933601054388,1696.0,1652.5,0.024383244626007005
2025-12-04,50160,-1,1.5313315301310064,1678.0,1699.5,-0.014331482109019283
2025-12-09,50160,1,-1.8477569373586107,1769.5,1728.5,-0.025043040423838793
2025-12-10,50160,-1,1.7491485375878975,1759.0,1781.5,-0.014310240308332523
2025-12-22,50160,-1,2.1827403044521394,1760.0,1783.5,-0.014863916766748815
2025-12-29,50160,-1,2.065122435043174,1957.0,1965.0,-0.005679556907285343
2026-01-06,50160,-1,2.4451095864164336,2070.0,2159.5,-0.04392810614134111
2026-01-20,50160,-1,1.6296250044653726,2753.0,2675.0,0.02714184581250034
2026-01-21,50160,1,-1.8868484304382804,2625.0,2653.0,0.009010179112015468
2026-02-19,50160,-1,1.7089216616686413,3305.0,3389.0,-0.026698419321264703
2026-03-03,50160,-1,1.5942036558143908,4426.0,4304.0,0.026351418769374572
2026-03-27,50160,1,-1.8945086242449303,3660.0,3677.0,0.0030340549058600896
2026-04-06,50160,-1,1.6834500197791986,3714.0,3689.0,0.005154044315975442
2026-05-15,50160,-1,1.5618345143907653,4517.0,4175.0,0.07713369836964833
