date,entry_time,exit_time,hold_min,position,entry_z,exit_z,pnl
2025-08-01,2025-08-01 10:23:00,2025-08-01 10:33:00,10,1,-2.506941310114575,-0.1749579736794181,0.001443429131838499
2025-08-01,2025-08-01 12:30:00,2025-08-01 15:24:00,174,1,-2.9497451418355634,-5.132061541200539,-0.0027186685057500127
2025-08-04,2025-08-04 12:40:00,2025-08-04 15:24:00,164,1,-2.307719211569176,-3.5181758519236164,-0.0026473454288334177
2025-08-05,2025-08-05 10:50:00,2025-08-05 14:09:00,199,-1,2.0810272566807706,0.46342598513164734,0.0039326469159793745
2025-08-05,2025-08-05 14:39:00,2025-08-05 15:06:00,27,-1,2.1520580566035976,0.40688870498488594,0.0011087736449107374
2025-08-06,2025-08-06 10:00:00,2025-08-06 10:49:00,49,1,-2.30107570208208,-0.46832350865298367,0.00368514125375982
2025-08-07,2025-08-07 14:05:00,2025-08-07 15:24:00,79,1,-2.7866061267564177,-2.8058980749273696,-0.0075721435223201515
2025-08-08,2025-08-08 10:01:00,2025-08-08 15:24:00,323,-1,2.0343096856230907,3.2522507653906296,-0.01947400409757525
2025-08-12,2025-08-12 10:30:00,2025-08-12 15:24:00,294,1,-2.602430086374882,-1.6919249648877654,-0.0004308195994376326
2025-08-13,2025-08-13 10:24:00,2025-08-13 15:24:00,300,1,-2.0911620252737797,-1.9678277540618434,-0.005502839828859706
2025-08-14,2025-08-14 12:30:00,2025-08-14 15:24:00,174,1,-2.4776720527412492,-2.429809351342679,-0.004239668975696465
2025-08-15,2025-08-15 10:01:00,2025-08-15 15:24:00,323,1,-2.2504533995844884,25.75887920684663,0.02215298002157864
2025-08-18,2025-08-18 11:07:00,2025-08-18 15:24:00,257,1,-2.155343822372183,-1.3965555995062924,0.00033384086684910635
2025-08-20,2025-08-20 10:13:00,2025-08-20 15:24:00,311,1,-2.9476303500068104,-5.625054509036686,-0.007079940428404878
2025-08-22,2025-08-22 14:08:00,2025-08-22 15:24:00,76,-1,2.10305202466509,1.268137205329743,0.0028777029568428075
2025-08-25,2025-08-25 12:54:00,2025-08-25 14:26:00,92,-1,2.076974857107271,0.43226494549649774,0.0029922037214383914
2025-08-25,2025-08-25 15:04:00,2025-08-25 15:24:00,20,-1,2.1768241972732434,1.5172563311839085,7.621909622446371e-05
2025-08-26,2025-08-26 12:30:00,2025-08-26 13:34:00,64,1,-2.2652042785222677,-0.08906684721655066,0.00392056705379199
2025-08-26,2025-08-26 14:39:00,2025-08-26 15:24:00,45,1,-2.471699744622461,-2.9229855045312623,-0.00290548377036017
2025-08-27,2025-08-27 10:05:00,2025-08-27 15:24:00,319,-1,2.449624867274445,6.152259327420741,-0.01651331040966609
2025-08-28,2025-08-28 10:30:00,2025-08-28 15:24:00,294,1,-2.506230989118279,-3.5450476155595263,-0.0014383102166980858
2025-09-01,2025-09-01 10:49:00,2025-09-01 15:24:00,275,-1,2.5789833158544226,5.267377991475013,-0.008890928409064941
2025-09-02,2025-09-02 10:00:00,2025-09-02 12:52:00,172,1,-2.1206949264064434,-0.37260551388047103,0.008782026789518175
2025-09-02,2025-09-02 14:11:00,2025-09-02 14:50:00,39,-1,2.1561183905277006,0.31100280837502314,0.0036460963064395835
2025-09-04,2025-09-04 12:57:00,2025-09-04 15:12:00,135,1,-2.2337655858043033,-0.3591311774791947,0.005105777218988556
2025-09-05,2025-09-05 10:22:00,2025-09-05 11:13:00,51,1,-2.0141909488582557,-0.46115069991316127,0.003046382080214546
2025-09-05,2025-09-05 13:17:00,2025-09-05 13:30:00,13,-1,2.2012190556569644,0.2775254653261477,0.007323883068155966
2025-09-05,2025-09-05 13:39:00,2025-09-05 13:47:00,8,1,-2.145959635524733,-0.49935940271963397,0.003036053758804564
2025-09-09,2025-09-09 10:04:00,2025-09-09 10:21:00,17,1,-2.1868490912446488,-0.19562698333989492,0.004717896302215912
2025-09-09,2025-09-09 11:26:00,2025-09-09 15:24:00,238,-1,2.0893059557036744,9.20083991458811,-0.016725750284821417
2025-09-10,2025-09-10 10:44:00,2025-09-10 15:24:00,280,1,-2.19494604353764,-6.108083542756145,-0.01620609509378701
2025-09-12,2025-09-12 10:09:00,2025-09-12 13:35:00,206,-1,2.0598675796447328,0.4909566578533641,0.006903372396259543
2025-09-12,2025-09-12 15:21:00,2025-09-12 15:24:00,3,-1,2.1029509370132793,1.7135846365031788,-0.0005093896786581844
2025-09-16,2025-09-16 10:23:00,2025-09-16 15:24:00,301,-1,2.3168564476540396,1.9826562674818715,0.00046639819119299983
2025-09-17,2025-09-17 13:48:00,2025-09-17 15:24:00,96,-1,2.035230429266572,1.5680131429754234,0.0009140310462820978
2025-09-18,2025-09-18 12:34:00,2025-09-18 15:24:00,170,1,-2.0268476620982265,-1.875703560609519,-0.0008970498070002812
2025-09-19,2025-09-19 13:55:00,2025-09-19 15:24:00,89,1,-2.061566144413865,-1.4510673592610557,-0.0002478026265434585
2025-09-22,2025-09-22 10:02:00,2025-09-22 13:24:00,202,1,-2.0762268271468542,-0.1513897405838717,0.000757131554450692
2025-09-22,2025-09-22 14:05:00,2025-09-22 14:40:00,35,1,-2.8129401626840123,-0.38685962268034035,0.0012237887638943087
2025-09-22,2025-09-22 15:22:00,2025-09-22 15:24:00,2,1,-2.2191325335224787,-1.9415733582762107,-0.0011407928653189314
2025-09-24,2025-09-24 10:00:00,2025-09-24 15:24:00,324,1,-2.0570145435990708,-1.6241221823372693,0.0024318614571296185
2025-09-25,2025-09-25 11:01:00,2025-09-25 15:24:00,263,-1,2.5851932316115582,6.7535625544029925,-0.01651650721609874
2025-09-26,2025-09-26 10:03:00,2025-09-26 12:30:00,147,-1,2.0593381721623616,-0.01197676426587606,0.003966030019333162
2025-09-26,2025-09-26 12:48:00,2025-09-26 15:24:00,156,-1,2.648020000711378,2.5267288393432628,0.0004857497368753762
2025-09-29,2025-09-29 10:11:00,2025-09-29 10:47:00,36,1,-2.6501277558035636,-0.45045988329191133,0.004712462180894558
2025-09-29,2025-09-29 10:55:00,2025-09-29 11:03:00,8,1,-2.2894851130572285,-0.46461333172319214,0.0030578581789034755
2025-09-29,2025-09-29 11:21:00,2025-09-29 15:24:00,243,-1,2.0235811168222586,1.6579915786865647,-0.002178054842078587
2025-09-30,2025-09-30 10:49:00,2025-09-30 11:01:00,12,-1,2.27369272840753,0.3604210280732371,0.00349299030388825
2025-09-30,2025-09-30 12:39:00,2025-09-30 12:46:00,7,1,-2.097865905701797,-0.40343944937808873,0.0026301471273539124
2025-09-30,2025-09-30 14:58:00,2025-09-30 15:24:00,26,-1,2.3604276375787565,1.6575452996546456,-0.00038955500281066834
2025-10-01,2025-10-01 10:24:00,2025-10-01 15:24:00,300,-1,2.193049819437465,8.172256738673546,-0.016493495109882055
2025-10-02,2025-10-02 10:03:00,2025-10-02 15:24:00,321,-1,2.0554553766272297,5.452255681061641,-0.019005611680971292
2025-10-06,2025-10-06 10:12:00,2025-10-06 12:50:00,158,1,-2.4443667751763485,-0.37888876216351275,0.012230348245073198
2025-10-06,2025-10-06 15:14:00,2025-10-06 15:24:00,10,1,-2.001729395816077,-1.9432527020190602,-0.0012615905116163473
2025-10-07,2025-10-07 10:07:00,2025-10-07 14:18:00,251,1,-2.3003057333024284,-0.42395888265458226,0.005854205160964759
2025-10-07,2025-10-07 14:42:00,2025-10-07 15:24:00,42,1,-3.755028018454783,-2.9402601375949686,0.000850712221681796
2025-10-09,2025-10-09 10:04:00,2025-10-09 10:18:00,14,1,-2.6434234836417265,-0.2965524579755235,0.00932311545732479
2025-10-10,2025-10-10 10:21:00,2025-10-10 14:47:00,266,-1,2.001823954400076,0.43118939778121573,0.0061469733285311
2025-10-14,2025-10-14 10:01:00,2025-10-14 10:11:00,10,-1,2.422242015587533,0.3268737785507698,0.005755403849648534
2025-10-14,2025-10-14 10:53:00,2025-10-14 14:31:00,218,1,-2.368455225697673,-0.18835132382951894,-0.00031503067163854014
2025-10-15,2025-10-15 10:08:00,2025-10-15 15:24:00,316,1,-2.0474003263617235,-7.792394924836252,-0.014320249921919482
2025-10-16,2025-10-16 11:02:00,2025-10-16 15:24:00,262,1,-2.1069931757826392,-2.6110327314936286,-0.002341417311712466
2025-10-17,2025-10-17 10:00:00,2025-10-17 10:14:00,14,1,-2.0517707976348887,0.13926783818933777,0.0027786897168431725
2025-10-17,2025-10-17 10:42:00,2025-10-17 15:24:00,282,1,-2.4600703151049625,-4.0627128154847885,-0.004906433723206983
2025-10-20,2025-10-20 10:00:00,2025-10-20 15:24:00,324,1,-2.4736264854734524,-7.754072252207841,-0.02132148053595521
2025-10-22,2025-10-22 10:33:00,2025-10-22 15:24:00,291,1,-2.017578425915604,-4.47401408042157,-0.02114979011673386
