pair,name,entry_z,exit_z,N,N_days,trades/day,mean_%/trade,Sharpe,Winrate_%,PF,Cum_%,MaxDD_%
57130-58010,住友金属鉱山/古河電工,3.0,0.5,156,138,1.13,-0.24212506236805043,-4.316465787993569,43.58974358974359,0.4613036319641042,-37.771509729415875,-39.18959588113218
57110-58020,三菱マテリアル/住友電工,2.5,0.5,221,175,1.26,-0.170835137741209,-4.337648869194351,40.27149321266968,0.44622167125255524,-37.754565440807184,-39.728319640991295
57060-57110,三井金属/三菱マテリアル,3.0,0.5,168,145,1.16,-0.1511843524509913,-4.5062020718394,46.42857142857143,0.4756470288566955,-25.398971211766526,-25.848680636469982
50160-58010,JX金属/古河電工,2.5,0.5,208,165,1.26,-0.2705280636117314,-4.521972653405939,45.19230769230769,0.4517192474633149,-56.26983723124014,-59.678743377956955
57110-50160,三菱マテリアル/JX金属,3.0,0.5,172,151,1.14,-0.17590929793537366,-4.583247562260866,37.2093023255814,0.44780576648115955,-30.256399244884253,-31.000508498901034
50160-58010,JX金属/古河電工,2.0,0.5,276,184,1.5,-0.24541008337764098,-4.695232225976755,50.72463768115942,0.45754860649039025,-67.73318301222893,-70.85264130743425
57140-58020,DOWA HD/住友電工,2.0,0.5,292,194,1.51,-0.16221650943464186,-4.785107243165197,42.12328767123288,0.44448335073764234,-47.36722075491543,-53.12422650928094
57060-57110,三井金属/三菱マテリアル,2.5,0.0,169,169,1.0,-0.19798415267485897,-4.813181356810822,39.64497041420118,0.44532307289400025,-33.459321802051186,-33.69803723452215
57060-57130,三井金属/住友金属鉱山,2.5,0.5,219,175,1.25,-0.19677474690292124,-4.950005265229191,42.922374429223744,0.44605018536139085,-43.09366957173973,-44.12349957995794
57110-57140,三菱マテリアル/DOWA HD,2.5,0.0,196,196,1.0,-0.12319697643790502,-4.980776196785932,32.142857142857146,0.416263439617513,-24.146607381829384,-26.170957398243534
57130-57140,住友金属鉱山/DOWA HD,2.5,0.5,254,195,1.3,-0.12761475115088405,-4.997639609889874,41.338582677165356,0.4364231247987852,-32.414146792324566,-35.27602768721286
50160-58010,JX金属/古河電工,2.5,0.0,165,165,1.0,-0.40264047008862264,-5.076615360699519,38.18181818181819,0.3720910994405092,-66.43567756462274,-68.55639023157812
57130-58020,住友金属鉱山/住友電工,2.5,0.0,178,178,1.0,-0.26964610879616396,-5.083557797381323,34.26966292134831,0.39354512405867353,-47.99700736571719,-49.039846056896614
57060-57110,三井金属/三菱マテリアル,2.0,0.5,278,190,1.46,-0.1535136991424167,-5.093258943456123,44.24460431654676,0.4577941728498644,-42.67680836159183,-42.72640941787046
57110-57130,三菱マテリアル/住友金属鉱山,3.0,0.0,175,175,1.0,-0.1447631109513785,-5.152767983477332,31.428571428571427,0.3968850459036987,-25.33354441649125,-26.21101810155549
57130-58020,住友金属鉱山/住友電工,3.0,0.0,156,156,1.0,-0.2622118359993114,-5.162342243037858,33.33333333333333,0.3799439371585421,-40.90504641589261,-39.9063255093404
57060-57110,三井金属/三菱マテリアル,2.5,0.5,211,169,1.25,-0.16721444263255383,-5.25192631891131,42.65402843601896,0.43028372369622947,-35.28224739546888,-35.403149656533536
57060-57130,三井金属/住友金属鉱山,2.5,0.0,175,175,1.0,-0.26727526887324526,-5.304416141992914,33.14285714285714,0.3927534079939501,-46.7731720528179,-47.77048043561418
57060-57130,三井金属/住友金属鉱山,3.0,0.5,169,151,1.12,-0.22798595717374734,-5.308027313484333,43.19526627218935,0.40341445636826606,-38.529626762363286,-38.81054961536758
57110-57130,三菱マテリアル/住友金属鉱山,2.0,0.5,361,228,1.58,-0.10610889199520102,-5.502734411259979,36.84210526315789,0.43775184035433795,-38.30531001026757,-39.13601399681165
57060-57130,三井金属/住友金属鉱山,3.0,0.0,151,151,1.0,-0.2689742607321344,-5.617515206857822,35.099337748344375,0.35854460474858263,-40.61511337055227,-41.11875416847096
