date,miner_long,miner_short,pnl_miner,wire_long,wire_short,pnl_wire,pnl_total
2025-05-09,57110,50160,-0.012317126146843108,58010,58030,-0.006256143814749538,-0.009286634980796323
2025-05-12,50160,57130,0.0038050373265411837,58010,58020,-0.0008702393905101417,0.001467398968015521
2025-05-13,57130,50160,-0.0065931605631789954,58020,58010,-0.03232874615670779,-0.019460953359943394
2025-05-14,57130,50160,0.004196256328528463,58030,58010,-0.0025663752149760553,0.0008149405567762038
2025-05-15,57060,57140,-0.004704631718855476,58010,58030,-0.0014284359985763735,-0.0030665338587159245
2025-05-16,57130,50160,-0.003175179092530825,58030,58010,0.0004826027279501415,-0.0013462881822903418
2025-05-19,57110,57060,-0.004190063854905241,58030,58020,-0.007772539707526559,-0.005981301781215901
2025-05-20,57140,57130,0.004056536256053785,58010,58020,0.008462581119745889,0.006259558687899837
2025-05-21,57060,50160,0.007194825445709718,58010,58030,-0.011574666773966588,-0.002189920664128435
2025-05-22,50160,57110,-0.0013498693313295806,58010,58030,0.0095486604249534,0.00409939554681191
2025-05-23,57140,50160,-0.004878912105327124,58030,58020,0.002235980641039968,-0.001321465732143578
2025-05-26,57130,57060,-0.00689993998396236,58020,58030,-0.003387757578993295,-0.005143848781477828
2025-05-27,57110,57140,-0.0030924342960272936,58020,58030,-0.014226251367703958,-0.008659342831865625
2025-05-28,50160,57130,-0.004209359633118264,58020,58010,-0.005611588599105659,-0.004910474116111962
2025-05-29,57130,57060,-0.007125230720786133,58030,58010,-0.013189826388762158,-0.010157528554774146
2025-05-30,57060,50160,-0.002373099304870139,58010,58030,-0.002899517678420478,-0.0026363084916453086
2025-06-02,57060,57140,-0.00024172758821134092,58010,58020,-0.009914613119016478,-0.00507817035361391
2025-06-03,57140,50160,0.0025313522511668848,58020,58030,0.0021089339965079737,0.0023201431238374292
2025-06-04,57130,57110,-0.000993876973538057,58010,58030,0.0009690246275942992,-1.2426172971878851e-05
2025-06-05,50160,57110,-0.007781061362015781,58030,58020,0.008230821206325257,0.00022487992215473786
2025-06-06,57130,50160,-0.004954218343083142,58020,58030,-0.006815350453240658,-0.0058847843981619
2025-06-09,57060,50160,-0.004313154594429758,58030,58020,-0.004992030205026046,-0.004652592399727902
2025-06-10,50160,57060,0.008075511678207943,58020,58010,-0.0026784157048041915,0.002698547986701876
2025-06-11,57140,50160,-0.0028134816100888905,58020,58010,-0.00039536292623223524,-0.0016044222681605629
2025-06-12,57130,57060,-0.005342616404690479,58010,58020,0.0025061501254037503,-0.0014182331396433642
2025-06-13,57110,50160,-9.883838431328602e-05,58030,58010,0.0007902582703805082,0.0003457099430336111
2025-06-16,57130,50160,-0.021304941777132748,58010,58030,0.004463953203341784,-0.008420494286895482
2025-06-17,50160,57110,0.008512859556431319,58020,58010,0.0016516996993860156,0.005082279627908667
2025-06-18,50160,57130,-0.010341359172070604,58010,58030,-0.002899385414107776,-0.0066203722930891894
2025-06-19,50160,57140,0.001995283824055922,58030,58020,-0.002900778401355307,-0.00045274728864969256
2025-06-20,50160,57140,-0.003741553153490303,58010,58020,-0.007451300128098361,-0.005596426640794332
2025-06-23,57060,50160,0.0017483519796151095,58010,58020,-0.00851985143060357,-0.00338574972549423
2025-06-24,50160,57130,0.010737405982843146,58010,58020,0.005193628194503761,0.007965517088673452
2025-06-25,57140,50160,-0.006719860103983278,58030,58020,-0.007965238500895123,-0.007342549302439201
2025-06-26,50160,57060,-0.004131381440267102,58030,58010,-0.0003739518294803574,-0.00225266663487373
2025-06-27,57130,50160,-0.004736610852675583,58020,58010,0.0003515939656430268,-0.0021925084435162785
2025-06-30,50160,57140,-0.0065773534589750726,58020,58010,-0.000994852658461465,-0.003786103058718269
2025-07-01,57060,50160,-0.016022588177021256,58030,58020,-0.004847857536911233,-0.010435222856966245
2025-07-02,57060,50160,-0.00038178213391153095,58010,58030,0.0007155622753967548,0.0001668900707426119
2025-07-03,57130,57060,-0.0023655739808443642,58020,58010,0.0032250334766480687,0.0004297297479018522
2025-07-04,57110,57130,-0.008251453642842393,58010,58030,0.007308896562493176,-0.0004712785401746085
2025-07-07,50160,57110,-0.003636725780306308,58030,58010,-0.0029786253471514508,-0.003307675563728879
2025-07-08,50160,57140,-0.001950774536706406,58010,58030,-0.012996692720137605,-0.007473733628422005
2025-07-09,57060,57130,-0.008079616214060304,58010,58030,-0.012066515993137667,-0.010073066103598986
2025-07-10,50160,57130,-0.0018490857312028351,58030,58010,-0.009245314076217878,-0.005547199903710357
2025-07-11,50160,57140,-0.00028739424234824223,58010,58030,0.001395495545957815,0.0005540506518047864
2025-07-14,57140,57060,0.001735625011798352,58010,58030,0.0003080426416007809,0.0010218338266995664
2025-07-15,57060,57130,0.0007881955424845211,58010,58020,0.002661221402579618,0.0017247084725320696
2025-07-16,50160,57130,-0.004215397331383731,58030,58010,-0.004344333405326477,-0.004279865368355104
2025-07-17,57060,57130,0.00030805561636496667,58020,58010,-0.00681427284274516,-0.0032531086131900966
2025-07-18,50160,57140,-0.005883909110701543,58010,58020,-0.00493535880490346,-0.005409633957802501
2025-07-22,57130,57110,-0.0009724135793499893,58030,58020,0.005041025927784218,0.0020343061742171143
2025-07-23,50160,57060,-0.002467043437689797,58020,58030,-0.009515091814270838,-0.005991067625980317
2025-07-24,57060,57140,-0.004232460948642571,58010,58020,0.004196390106477413,-1.8035421082578974e-05
2025-07-25,57060,57130,0.0058942613876296224,58010,58020,-0.0008527213886894013,0.002520769999470111
2025-07-28,57140,57060,-0.009677437722363078,58030,58010,-0.00027414759000706423,-0.004975792656185071
2025-07-29,57060,50160,-0.004613744769314027,58010,58020,-0.010476978361980804,-0.007545361565647416
2025-07-30,57060,57110,0.0013042431478779526,58030,58010,0.0015403598290255026,0.0014223014884517276
2025-07-31,57060,50160,0.005979139528395674,58010,58020,-0.009707874886640521,-0.0018643676791224237
2025-08-01,57060,57130,0.003922961313861302,58020,58010,-0.005458713428183043,-0.0007678760571608705
2025-08-04,57060,57140,-0.0025634783468135515,58010,58020,-0.0034244725333207058,-0.002993975440067129
2025-08-05,57130,57060,-0.0005646037241290502,58010,58030,-0.0027771886656111494,-0.0016708961948701
2025-08-06,57140,50160,-0.015543867095997392,58030,58020,-0.002646932003237641,-0.009095399549617517
2025-08-07,57110,57060,-0.002168084846474953,58020,58030,-0.03381932017569606,-0.017993702511085508
2025-08-08,57110,57060,0.004358937718606835,58020,58010,0.005484312639124935,0.0049216251788658846
2025-08-12,57060,50160,-0.010762587782473418,58030,58020,-0.0010668914105255085,-0.005914739596499463
2025-08-13,57060,57130,0.009962589452577652,58010,58030,-0.00438167966233507,0.002790454895121291
2025-08-14,57060,57140,-0.0025996489944669805,58030,58010,0.006970486293380278,0.002185418649456649
2025-08-15,57060,50160,-0.02427991509364668,58010,58020,-0.007753908035078404,-0.01601691156436254
2025-08-18,57060,50160,-0.0035842156807284835,58010,58020,0.00010660907498076825,-0.0017388033028738576
2025-08-19,57060,57140,-0.0035769653508621567,58020,58010,0.002720283728494811,-0.0004283408111836729
2025-08-20,57060,50160,-0.003015871886458709,58030,58020,-0.0038149293559399727,-0.003415400621199341
2025-08-21,57060,57130,-0.013451986463893072,58030,58020,-0.004447913649434173,-0.008949950056663623
2025-08-22,57060,57140,-0.006400801030201806,58020,58010,-0.001647961860882951,-0.004024381445542379
2025-08-25,57130,57060,-0.005499982373138055,58010,58030,-0.003025174069136061,-0.004262578221137058
2025-08-26,57130,50160,-0.003658492603574017,58010,58020,0.004062328740620602,0.00020191806852329244
2025-08-27,50160,57130,0.0027782741874328764,58020,58010,-0.008765988231060319,-0.0029938570218137213
2025-08-28,50160,57110,0.0038224306255354775,58030,58020,0.002312717270631849,0.0030675739480836633
2025-08-29,57060,57130,-0.0032014376208400514,58010,58020,-0.00021912044115936528,-0.0017102790309997083
2025-09-01,50160,57130,-0.0004273099613375554,58020,58010,-0.0020060685800443517,-0.0012166892706909536
2025-09-02,57060,50160,-0.010001949989909576,58030,58010,0.0019146439820277219,-0.004043653003940927
2025-09-03,50160,57140,-0.010667250413046848,58020,58030,-0.005330055073766317,-0.007998652743406583
2025-09-04,50160,57140,-0.008020633003675684,58030,58020,-0.009196869686835583,-0.008608751345255634
2025-09-05,57140,57060,-0.0056551334414709055,58010,58020,-0.003570248202628814,-0.00461269082204986
