date,pnl,grp
2025-05-23,-0.0034845432623062476,wire
2025-05-26,-0.013112885535010657,miner
2025-05-26,1.4216078263450463e-05,wire
2025-05-27,-0.007030459735397312,miner
2025-05-27,-0.003452946408596268,wire
2025-05-28,-0.00065499499680327,miner
2025-05-28,0.0010989207224432226,wire
2025-05-29,0.009638950862073932,miner
2025-05-29,0.0021467026546467443,wire
2025-05-30,-0.0036947948234970045,miner
2025-05-30,-0.0012239233394931073,wire
2025-06-02,-0.0016547322841144524,miner
2025-06-02,0.004760456003880217,wire
2025-06-03,0.0028995745297246125,miner
2025-06-03,0.00724301928068306,wire
2025-06-04,0.0033460866491009126,miner
2025-06-04,-0.011706045916571753,wire
2025-06-05,0.0027690475996997406,miner
2025-06-05,0.017091355885864586,wire
2025-06-06,-0.0028951351845153874,miner
2025-06-06,-0.011423715262939024,wire
2025-06-09,0.00377749486566173,miner
2025-06-09,-0.012271440153461136,wire
2025-06-10,0.013057597787319802,miner
2025-06-10,-0.002101624054418475,wire
2025-06-11,0.0014605482959800017,miner
2025-06-11,-0.010053395519088331,wire
2025-06-12,-8.466655316629202e-05,miner
2025-06-12,0.007218544411485287,wire
2025-06-13,0.0001086406350103309,miner
2025-06-13,0.0017211164053113131,wire
2025-06-16,-0.004544434040616276,miner
2025-06-16,0.007726460715032598,wire
2025-06-17,0.008600984159646477,miner
2025-06-17,-0.0012070888166811188,wire
2025-06-18,-0.0027523363126769436,miner
2025-06-18,-0.00046109823217497896,wire
2025-06-19,-0.01184327162098524,miner
2025-06-19,0.003037184264318869,wire
2025-06-20,-0.003479802388571854,miner
2025-06-20,-0.0057382629598567506,wire
2025-06-23,-0.0074806267555929205,miner
2025-06-23,-0.0070405562567959915,wire
2025-06-24,0.01253469923002059,miner
2025-06-24,0.003094109165112149,wire
2025-06-25,0.0008646770543388914,miner
2025-06-25,0.001143398006439117,wire
2025-06-26,-0.0027400065191477974,miner
2025-06-26,-0.009336645663525265,wire
