signal_date,code,name,sector,doc_type,disc_time,gap_pct,tp1_close,turnover_oku,selected,sl_price,exit_target_date
2026-07-31,67520,パナソニック　ホールディングス,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,19.53,4284.0,159.2,Y,4069.8,2026-08-07
2026-07-31,65040,富士電機,電気機器,1QFinancialStatements_Consolidated_JP,15:30:00,18.91,14285.0,425.6,N,13570.8,2026-08-07
2026-07-31,53330,ＮＧＫ,ガラス･土石製品,1QFinancialStatements_Consolidated_JP,15:40:00,15.25,5594.0,188.6,N,5314.3,2026-08-07
2026-07-31,80350,東京エレクトロン,電気機器,1QFinancialStatements_Consolidated_JP,16:00:00,13.40,55500.0,7955.4,N,52725.0,2026-08-07
2026-07-31,64710,日本精工,機械,1QFinancialStatements_Consolidated_IFRS,15:30:00,9.78,1152.0,90.3,N,1094.4,2026-08-07
2026-07-31,40920,日本化学工業,化学,DividendForecastRevision,16:00:00,7.21,5930.0,25.8,N,5633.5,2026-08-07
2026-07-31,69710,京セラ,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,7.04,3691.0,395.4,N,3506.4,2026-08-07
2026-07-31,64540,マックス,機械,1QFinancialStatements_Consolidated_JP,15:30:00,7.02,1843.0,19.8,N,1750.8,2026-08-07
2026-08-03,69520,カシオ計算機,電気機器,1QFinancialStatements_Consolidated_JP,15:30:00,18.45,2164.5,101.3,Y,2056.3,2026-08-10
2026-08-03,68100,マクセル,電気機器,1QFinancialStatements_Consolidated_JP,15:30:00,10.92,2570.0,31.1,N,2441.5,2026-08-10
2026-08-03,21210,ＭＩＸＩ,情報･通信業,1QFinancialStatements_Consolidated_JP,15:30:00,10.50,3400.0,56.3,N,3230.0,2026-08-10
2026-08-03,67230,ルネサスエレクトロニクス,電気機器,2QFinancialStatements_Consolidated_IFRS,15:30:00,10.17,3905.0,1478.2,N,3709.8,2026-08-10
2026-08-03,37620,テクマトリックス,情報･通信業,1QFinancialStatements_Consolidated_IFRS,15:30:00,9.79,2324.0,23.3,N,2207.8,2026-08-10
2026-08-03,67620,ＴＤＫ,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,8.98,3092.0,725.3,N,2937.4,2026-08-10
2026-08-03,80050,スクロール,小売業,1QFinancialStatements_Consolidated_JP,15:30:00,8.35,1814.0,11.6,N,1723.3,2026-08-10
2026-08-05,40620,イビデン,電気機器,1QFinancialStatements_Consolidated_JP,15:40:00,22.05,20330.0,1799.4,Y,19313.5,2026-08-12
2026-08-05,39640,オークネット,情報･通信業,2QFinancialStatements_Consolidated_JP,15:30:00,13.57,1470.0,47.2,N,1396.5,2026-08-12
2026-08-05,63950,タダノ,機械,2QFinancialStatements_Consolidated_JP,15:30:00,10.64,1412.0,18.8,N,1341.4,2026-08-12
2026-08-05,80120,長瀬産業,卸売業,1QFinancialStatements_Consolidated_JP,15:30:00,10.36,1272.5,43.2,N,1208.9,2026-08-12
2026-08-05,69250,ウシオ電機,電気機器,1QFinancialStatements_Consolidated_JP,16:30:00,8.72,4360.0,59.2,N,4142.0,2026-08-12
2026-08-06,53010,東海カーボン,ガラス･土石製品,2QFinancialStatements_Consolidated_JP,15:30:00,14.06,1757.0,151.2,Y,1669.1,2026-08-13
2026-08-06,44830,ＪＭＤＣ,情報･通信業,1QFinancialStatements_Consolidated_IFRS,15:30:00,13.68,3565.0,43.1,Y,3386.8,2026-08-13
2026-08-06,44710,三洋化成工業,化学,1QFinancialStatements_Consolidated_JP,16:30:00,11.58,5890.0,38.5,Y,5595.5,2026-08-13
2026-08-06,44520,花王,化学,2QFinancialStatements_Consolidated_IFRS,15:30:00,10.19,3597.0,442.6,N,3417.1,2026-08-13
2026-08-06,66450,オムロン,電気機器,1QFinancialStatements_Consolidated_IFRS,15:35:00,9.59,6819.0,463.1,N,6478.0,2026-08-13
2026-08-06,49680,荒川化学工業,化学,1QFinancialStatements_Consolidated_JP,15:00:00,8.56,2440.0,32.1,N,2318.0,2026-08-13
2026-08-06,43850,メルカリ,情報･通信業,FYFinancialStatements_Consolidated_IFRS,15:30:00,7.94,4921.0,277.3,N,4674.9,2026-08-13
2026-08-06,19260,ライト工業,建設業,1QFinancialStatements_Consolidated_JP,16:00:00,7.54,3815.0,19.9,N,3624.2,2026-08-13
2026-08-06,54800,日本冶金工業,鉄鋼,1QFinancialStatements_Consolidated_JP,15:30:00,7.52,5690.0,30.7,N,5405.5,2026-08-13
2026-08-06,63630,酉島製作所,機械,1QFinancialStatements_Consolidated_JP,15:30:00,7.49,3220.0,16.4,N,3059.0,2026-08-13
2026-08-07,57110,三菱マテリアル,非鉄金属,1QFinancialStatements_Consolidated_JP,15:30:00,15.71,5157.0,63.6,Y,4899.1,2026-08-14
2026-08-07,45270,ロート製薬,医薬品,1QFinancialStatements_Consolidated_JP,15:30:00,12.21,2862.5,227.6,Y,2719.4,2026-08-14
2026-08-07,64480,ブラザー工業,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,11.82,4561.0,126.9,Y,4332.9,2026-08-14
2026-08-07,39010,マークラインズ,情報･通信業,2QFinancialStatements_Consolidated_JP,15:30:00,11.51,1488.0,6.3,Y,1413.6,2026-08-14
2026-08-07,90750,福山通運,陸運業,1QFinancialStatements_Consolidated_JP,15:30:00,11.33,6090.0,21.1,N,5785.5,2026-08-14
2026-08-07,64900,ＰＩＬＬＡＲ,機械,1QFinancialStatements_Consolidated_JP,15:30:00,11.31,10280.0,49.1,N,9766.0,2026-08-14
2026-08-07,65230,ＰＨＣホールディングス,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,10.48,1311.0,49.1,N,1245.5,2026-08-14
2026-08-07,68750,メガチップス,電気機器,1QFinancialStatements_Consolidated_JP,15:30:00,8.78,11100.0,33.5,N,10545.0,2026-08-14
2026-08-07,50210,コスモエネルギーホールディングス,石油･石炭製品,1QFinancialStatements_Consolidated_JP,15:30:00,7.35,4088.0,52.5,N,3883.6,2026-08-14
2026-08-10,68690,シスメックス,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,16.56,1980.0,234.9,Y,1881.0,2026-08-17
2026-08-10,74560,松田産業,卸売業,1QFinancialStatements_Consolidated_JP,16:00:00,15.38,6850.0,15.5,N,6507.5,2026-08-17
2026-08-10,53310,ノリタケ,ガラス･土石製品,1QFinancialStatements_Consolidated_JP,16:30:00,15.17,3860.0,41.9,N,3667.0,2026-08-17
2026-08-10,67420,京三製作所,電気機器,1QFinancialStatements_Consolidated_JP,15:30:00,12.99,994.0,5.9,N,944.3,2026-08-17
2026-08-10,31560,レスター,卸売業,1QFinancialStatements_Consolidated_JP,16:00:00,12.68,5120.0,11.4,N,4864.0,2026-08-17
2026-08-10,62580,平田機工,機械,1QFinancialStatements_Consolidated_JP,15:30:00,11.06,3865.0,33.9,N,3671.8,2026-08-17
2026-08-10,30340,クオールホールディングス,小売業,1QFinancialStatements_Consolidated_JP,15:30:00,10.60,2419.0,17.8,N,2298.0,2026-08-17
2026-08-10,67790,日本電波工業,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,9.05,2966.0,53.7,N,2817.7,2026-08-17
2026-08-10,43900,アイ・ピー・エス,情報･通信業,1QFinancialStatements_Consolidated_JP,15:30:00,7.76,3765.0,11.9,N,3576.8,2026-08-17
2026-08-10,89190,カチタス,不動産業,1QFinancialStatements_Consolidated_JP,15:30:00,7.31,3505.0,16.5,N,3329.8,2026-08-17
2026-08-10,87150,アニコム　ホールディングス,保険業,1QFinancialStatements_Consolidated_JP,15:30:00,7.18,1242.0,8.2,N,1179.9,2026-08-17
2026-08-10,40460,大阪ソーダ,化学,1QFinancialStatements_Consolidated_JP,16:00:00,7.02,2083.0,19.6,N,1978.8,2026-08-17
2026-08-10,68690,シスメックス,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,16.56,1980.0,234.9,N,1881.0,2026-08-17
2026-08-10,74560,松田産業,卸売業,1QFinancialStatements_Consolidated_JP,16:00:00,15.38,6850.0,15.5,Y,6507.5,2026-08-17
2026-08-10,53310,ノリタケ,ガラス･土石製品,1QFinancialStatements_Consolidated_JP,16:30:00,15.17,3860.0,41.9,N,3667.0,2026-08-17
2026-08-10,67420,京三製作所,電気機器,1QFinancialStatements_Consolidated_JP,15:30:00,12.99,994.0,5.9,N,944.3,2026-08-17
2026-08-10,31560,レスター,卸売業,1QFinancialStatements_Consolidated_JP,16:00:00,12.68,5120.0,11.4,N,4864.0,2026-08-17
2026-08-10,62580,平田機工,機械,1QFinancialStatements_Consolidated_JP,15:30:00,11.06,3865.0,33.9,N,3671.8,2026-08-17
2026-08-10,30340,クオールホールディングス,小売業,1QFinancialStatements_Consolidated_JP,15:30:00,10.60,2419.0,17.8,N,2298.0,2026-08-17
2026-08-10,67790,日本電波工業,電気機器,1QFinancialStatements_Consolidated_IFRS,15:30:00,9.05,2966.0,53.7,N,2817.7,2026-08-17
2026-08-10,43900,アイ・ピー・エス,情報･通信業,1QFinancialStatements_Consolidated_JP,15:30:00,7.76,3765.0,11.9,N,3576.8,2026-08-17
2026-08-10,89190,カチタス,不動産業,1QFinancialStatements_Consolidated_JP,15:30:00,7.31,3505.0,16.5,N,3329.8,2026-08-17
2026-08-10,87150,アニコム　ホールディングス,保険業,1QFinancialStatements_Consolidated_JP,15:30:00,7.18,1242.0,8.2,N,1179.9,2026-08-17
2026-08-10,40460,大阪ソーダ,化学,1QFinancialStatements_Consolidated_JP,16:00:00,7.02,2083.0,19.6,N,1978.8,2026-08-17
2026-08-13,62870,サトー,機械,1QFinancialStatements_Consolidated_JP,15:30:00,13.24,2920.0,17.1,Y,2774.0,2026-08-20
2026-08-13,79110,ＴＯＰＰＡＮホールディングス,その他製品,1QFinancialStatements_Consolidated_JP,15:30:00,8.95,5448.0,374.7,N,5175.6,2026-08-20
2026-08-14,36590,ネクソン,情報･通信業,2QFinancialStatements_Consolidated_IFRS,15:30:00,19.85,3022.0,23.8,Y,2870.9,2026-08-21
2026-08-14,44800,メドレー,情報･通信業,2QFinancialStatements_Consolidated_JP,15:30:00,18.37,2677.0,23.3,Y,2543.2,2026-08-21
2026-08-14,36600,アイスタイル,情報･通信業,FYFinancialStatements_Consolidated_JP,15:30:00,17.85,517.0,14.5,Y,491.1,2026-08-21
2026-08-14,41800,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,情報･通信業,2QFinancialStatements_Consolidated_IFRS,15:30:00,15.27,1132.0,6.5,N,1075.4,2026-08-21
