hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H2b_20d下落<-10%,Core30,5,1296,1.6564487240824501,1.5564487240824503,61.882716049382715,9.59735761896907,1.9809055408482086,1.778366490526366
H3a_20d上昇>+20%,Core30,5,622,0.06283834637469854,-0.037161653625301355,44.21221864951769,0.25767512310290597,0.9838848851934147,-0.04337733348502952
H3b_20d上昇>+10%,Core30,5,3031,0.11700071789192902,0.01700071789192908,46.387330913889805,1.249645863782758,1.0091205935168548,0.023414667253004236
H4a_BB<-1.8σ,Core30,5,249,1.8931062075379101,1.7931062075379103,59.43775100401606,4.236748495797057,2.080214478769968,1.8054244229484668
H4b_BB<-1.5σ,Core30,5,416,1.7541050985764752,1.654105098576475,58.894230769230774,5.3998435429027944,2.043952596268711,1.7723817475668247
H5_52週高値×vol≥1.5x,Core30,5,249,-0.10204603237201854,-0.20204603237201837,44.97991967871486,-0.35310608951086475,0.8879569461257663,-0.3145393643491148
H6_5MA>25MA,Core30,5,483,0.331087309673719,0.2310873096737191,51.96687370600414,1.6559967491822933,1.1508871967377534,0.37336598052206416
H7a_5d<-8%,Core30,5,620,1.5452850729599106,1.4452850729599107,59.83870967741935,5.119164096020957,1.669820655674555,1.3650965921401312
H7b_5d>+10%,Core30,5,596,-0.0017024867952507685,-0.10170248679525086,45.63758389261745,-0.007329420352528363,0.9533945833204043,-0.12732379899053692
H8a_vol≥2.0x×陰線,Core30,5,275,1.6843227635217146,1.5843227635217147,59.63636363636363,4.770364073279106,2.150824072703271,1.9209620755548462
H8b_vol≥1.5x×陰線,Core30,5,707,1.18284577948029,1.08284577948029,56.15275813295615,5.611191499757332,1.7192198734787525,1.3715104958702673
H9a_MA25 -5〜0%,Core30,5,4968,0.4221114585078855,0.3221114585078856,53.925120772946855,6.507067222522129,1.2225403706628752,0.5001367881013874
H9b_MA25 -10〜-5%,Core30,5,1426,0.8176937997611646,0.7176937997611647,57.57363253856943,5.526243772582168,1.4356646104113084,0.9118723216351399
H10_vol≥2.0x×大陽線,Core30,5,259,1.1482324364560663,1.0482324364560665,57.91505791505791,3.1338673326690754,1.6214245949705934,1.2620419087020567
H11_52高値-30%超下,Core30,5,1578,0.7400701107670019,0.6400701107670018,53.80228136882129,5.060569782923259,1.3488522279108959,0.7821965021770949
H12_20日高値×vol≥1.5x,Core30,5,534,0.3238558921027751,0.2238558921027752,48.50187265917603,1.5293930934996143,1.1332171876495982,0.3247734295741742
H1a_MA25<-15%,Core30,10,202,6.229355058249251,6.129355058249251,73.76237623762376,9.223134914534457,5.076002097053067,3.205345448971017
H1b_MA25<-10%,Core30,10,560,3.919736320369167,3.819736320369167,68.57142857142857,10.54924332258245,3.161401810235018,2.180741044248361
H1c_MA25 -10〜-5%,Core30,10,1426,2.121030898925673,2.0210308989256727,61.22019635343619,10.413762075196002,2.0639783962415583,1.319089054697989
H2a_20d下落<-20%,Core30,10,218,6.004825215435383,5.904825215435381,77.52293577981652,9.835487955472574,5.713752206778775,3.2883240636637545
H2b_20d下落<-10%,Core30,10,1296,3.0175173577062946,2.917517357706294,64.2746913580247,12.66487447233242,2.483275838569666,1.7075063633794212
H3a_20d上昇>+20%,Core30,10,622,1.245544783389275,1.1455447833892751,52.89389067524116,3.582197782124071,1.4149356246946818,0.6631432654674325
H3b_20d上昇>+10%,Core30,10,3031,0.6045364010276093,0.5045364010276094,50.742329264269216,4.374382906866803,1.202489056793426,0.33288493928199536
H4a_BB<-1.8σ,Core30,10,249,3.672018341574745,3.5720183415747444,65.46184738955823,6.774643486889235,3.3957506229377494,2.096504895353974
