code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
57110,2020-10-26,2021-01-04,1959.0,2182.0,70,10.780774844847546,0.10620774844847546
57110,2021-01-08,2021-01-21,2330.0,2344.0,13,0.5990604137156973,0.0043906041371569735
57110,2021-02-08,2021-03-02,2452.0,2550.0,22,3.9189341096369845,0.03758934109636985
57110,2021-03-30,2021-04-02,2600.0,2586.0,3,-0.5399164677770673,-0.0069991646777706725
57110,2021-04-08,2021-04-09,2609.0,2590.0,1,-0.7309130443144959,-0.00890913044314496
57110,2021-05-07,2021-05-18,2596.0,2318.0,11,-11.326705392428355,-0.11486705392428356
57110,2021-06-07,2021-06-21,2283.0,2176.0,14,-4.800203855396228,-0.04960203855396228
57110,2021-06-25,2021-08-20,2278.0,2164.0,56,-5.133950404075528,-0.05293950404075528
57110,2021-09-02,2021-09-22,2239.0,2210.0,20,-1.3036822086956312,-0.014636822086956313
57110,2021-10-14,2021-10-29,2212.0,2219.0,15,0.31595602903685177,0.0015595602903685178
57110,2021-11-02,2021-11-04,2279.0,2281.0,2,0.08771930387038711,-0.0007228069612961291
57110,2021-12-07,2021-12-22,2052.0,1933.0,15,-5.974172708232923,-0.06134172708232923
57110,2022-01-04,2022-01-26,1997.0,2041.0,22,2.179382939402951,0.02019382939402951
57110,2022-02-04,2022-02-24,2080.0,2045.0,20,-1.6970104218461588,-0.01857010421846159
57110,2022-03-04,2022-03-10,2200.0,2061.0,6,-6.526605845594824,-0.06686605845594824
57110,2022-03-22,2022-04-01,2240.0,2121.0,10,-5.458819028440306,-0.05618819028440306
57110,2022-05-24,2022-06-16,1994.0,2008.0,23,0.6996530289836103,0.005396530289836102
57110,2022-07-12,2022-07-13,1920.0,1912.0,1,-0.41753714104806217,-0.005775371410480621
57110,2022-07-14,2022-08-25,1917.0,2117.0,42,9.923852808922067,0.09763852808922067
57110,2022-10-06,2022-10-14,2059.0,2001.0,8,-2.8573372444056,-0.030173372444056
57110,2022-10-17,2022-10-18,1987.0,1991.0,1,0.20110615123794373,0.00041106151237943716
57110,2022-10-20,2022-10-21,1973.0,1969.0,1,-0.20294273834898383,-0.003629427383489838
57110,2022-11-04,2022-12-06,1962.0,2150.0,32,9.150348099640016,0.08990348099640015
57110,2022-12-08,2022-12-15,2224.0,2214.0,7,-0.4506542101890779,-0.006106542101890779
57110,2023-01-13,2023-02-06,2188.0,2156.0,24,-1.4733231512984004,-0.016333231512984003
57110,2023-02-24,2023-03-01,2149.0,2135.0,5,-0.6535970979785534,-0.008135970979785533
57110,2023-03-02,2023-03-15,2236.0,2155.0,13,-3.68978317371416,-0.0384978317371416
57110,2023-03-31,2023-04-27,2159.0,2190.0,27,1.4256392295739166,0.012656392295739165
57110,2023-05-08,2023-05-15,2262.0,2375.0,7,4.874805979267578,0.047148059792675785
