code,dt,total_vol,close_vol,close_px,pre_px,open_px,close_pct,adv60,adj_close,fwd_open,fwd_close,fwd2_close,cp_med,close_x,close_jump_bps,fwd_oc_bps,fwd_co_bps,fwd_cc_bps
14750,2026-05-15,2811360.0,238360.0,399.7,398.3,403.8,8.478,2368291180.3,399.7,400.7,396.0,398.3,1.7240000000000002,4.917633410672853,35.14938488576425,-117.29473421512316,25.01876407305481,-92.56942707030258
14890,2025-08-25,341646.0,81697.0,2534.0,2532.0,2545.0,23.913,1003919958.6833333,2534.0,2531.0,2509.0,2507.0,1.9945,11.989471045374781,7.898894154818592,-86.92216515211348,-11.838989739542116,-98.65824782951837
15140,2026-03-27,990700.0,213400.0,1009.0,,,21.54,2431277380.0,1009.0,1125.0,1078.0,992.0,3.5385,6.087325137770241,,-417.777777777778,1149.6531219028739,683.8453914767096
15140,2026-05-13,376900.0,86400.0,723.0,731.0,731.0,22.924,2584406438.3333335,723.0,720.0,708.0,704.0,3.1915,7.182829390568698,-109.43912448700411,-166.6666666666672,-41.49377593360981,-207.46887966805016
15140,2026-05-14,555600.0,73300.0,708.0,709.0,717.0,13.193,2558714503.3333335,708.0,700.0,704.0,621.0,3.1915,4.133792887357042,-14.104372355430161,57.14285714285783,-112.99435028248594,-56.497175141242415
15140,2026-05-15,520300.0,95100.0,704.0,714.0,696.0,18.278,2525578160.0,704.0,647.0,621.0,617.0,3.1915,5.727087576374745,-140.0560224089631,-401.85471406491536,-809.6590909090907,-1178.977272727273
15150,2026-04-30,1227600.0,438500.0,2412.0,2389.0,,35.72,4646233240.0,2412.0,2402.0,2422.0,2493.0,7.101,5.030277425714688,96.27459187944831,83.26394671107407,-41.45936981757914,41.45936981757803
15400,2025-07-15,259417.0,23283.0,15000.0,14980.0,14930.0,8.975,5582845163.25,15000.0,14980.0,15005.0,14970.0,1.419,6.324876673713883,13.35113484646211,16.688918558076526,-13.333333333332975,3.333333333332966
15400,2025-08-06,206535.0,21358.0,15060.0,15050.0,15070.0,10.341,4707657655.833333,15060.0,15010.0,15040.0,15085.0,1.499,6.898599066044028,6.644518272425071,19.986675549632515,-33.20053120849931,-13.280212483399723
15400,2026-02-20,567136.0,71754.0,23825.0,23870.0,23725.0,12.652,20808679626.166668,23825.0,24800.0,24485.0,24690.0,1.8325,6.904229195088676,-18.85211562630884,-127.01612903225801,409.23399790136375,277.0199370409232
15420,2026-02-02,38522.0,38522.0,46800.0,,,100.0,15200520370.833334,46800.0,43860.0,45280.0,47630.0,1.521,65.74621959237344,,323.75740994072146,-628.2051282051282,-324.78632478632477
15450,2024-12-09,31896.0,4643.0,32800.0,,32730.0,14.557,1257231578.8333333,32800.0,32790.0,32720.0,32800.0,2.6105,5.576326374257805,,-21.347971942665687,-3.0487804878043256,-24.390243902439046
15450,2025-03-28,18230.0,3106.0,30240.0,30250.0,30200.0,17.038,1201149231.25,30240.0,28820.0,28700.0,29130.0,2.6319999999999997,6.47340425531915,-3.3057851239670644,-41.63775156141525,-469.57671957671977,-509.2592592592593
15450,2025-04-16,55960.0,6692.0,26575.0,26595.0,26935.0,11.959,1338052712.0,26575.0,26275.0,26715.0,26405.0,2.685,4.454003724394785,-7.52021056589558,167.4595623215991,-112.8880526810916,52.681091251176596
15450,2025-06-20,11271.0,1472.0,31970.0,31960.0,31860.0,13.06,1434069734.8333333,31970.0,31890.0,32220.0,32540.0,2.9215,4.470306349478008,3.1289111389232183,103.48071495766663,-25.023459493275226,78.1983109164841
15450,2025-08-22,15672.0,1272.0,34600.0,34610.0,34680.0,8.116,1220066191.6666667,34600.0,34920.0,34860.0,34870.0,1.9580000000000002,4.1450459652706835,-2.8893383415196094,-17.18213058419238,92.48554913294794,75.14450867051936
15450,2025-08-29,14192.0,1328.0,34970.0,35100.0,35090.0,9.357,1187210680.8333333,34970.0,34850.0,34540.0,34830.0,1.9580000000000002,4.778855975485188,-37.037037037036534,-88.95265423242482,-34.31512725193042,-122.96253931941669
15450,2025-09-01,34809.0,3607.0,34540.0,34600.0,34880.0,10.362,1200598552.5,34540.0,34710.0,34830.0,34920.0,1.9580000000000002,5.2921348314606735,-17.341040462427458,34.572169403630504,49.21829762594143,83.96062536189852
15450,2025-09-03,20037.0,4036.0,34920.0,34910.0,34890.0,20.143,1192314274.5,34920.0,34990.0,35030.0,35480.0,2.0010000000000003,10.06646676661669,2.864508736750704,11.431837667905675,20.04581901489111,31.500572737686028
15450,2025-09-12,19520.0,1856.0,35730.0,35700.0,35640.0,9.508,1163427320.1666667,35730.0,36080.0,36060.0,35840.0,2.1975,4.326734926052332,8.403361344537785,-5.543237250554833,97.95689896445525,92.35936188077164
15450,2025-10-14,92075.0,10561.0,37570.0,37610.0,38070.0,11.47,1508293838.8333333,37570.0,37680.0,37700.0,37980.0,2.3815,4.81629225278186,-10.6354692900823,5.307855626326408,29.278679797710705,34.602076124568
15450,2025-10-16,14808.0,1589.0,37980.0,37860.0,37810.0,10.731,1496203750.0,37980.0,37290.0,37000.0,37920.0,2.3815,4.505983623766534,31.695721077653616,-77.76883883078622,-181.67456556082095,-258.0305423907314
15450,2025-12-17,14934.0,1253.0,39450.0,39450.0,39210.0,8.39,1936925988.5,39450.0,38820.0,38990.0,39460.0,2.0069999999999997,4.180368709516692,0.0,43.791859866049165,-159.69581749049388,-116.60329531052005
15450,2026-03-06,14231.0,1662.0,39980.0,,39830.0,11.679,1163007563.3333333,39980.0,38650.0,38900.0,39700.0,2.0975,5.568057210965435,,64.68305304010435,-332.66633316658357,-270.1350675337666
15450,2026-03-10,14023.0,2097.0,39700.0,39650.0,,14.954,1161355914.8333333,39700.0,39910.0,39900.0,39780.0,2.0975,7.129439809296782,12.610340479193294,-2.505637684790951,52.896725440805255,50.37783375314797
15450,2026-03-13,8827.0,990.0,39490.0,39530.0,39390.0,11.216,1131557331.8333333,39490.0,39370.0,39480.0,39520.0,2.198,5.102820746132847,-10.118897040222175,27.94005588011128,-30.38743985819159,-2.5322866548493916
15680,2024-12-09,5264850.0,488520.0,466.0,465.5,468.0,9.279,2395681129.1833334,466.0,474.0,468.4,471.6,1.29,7.193023255813953,10.741138560688146,-118.14345991561281,171.6738197424883,51.502145922746045
15680,2024-12-17,4316090.0,571250.0,463.9,464.5,468.9,13.235,2306302132.733333,463.9,462.5,461.9,458.1,1.3725,9.642987249544626,-12.91711517761085,-12.972972972973285,-30.178917870230528,-43.11273981461472
15680,2025-01-31,6461680.0,1344230.0,486.3,485.8,481.0,20.803,2604540156.9166665,486.3,463.1,459.4,465.8,1.0594999999999999,19.634733364794716,10.292301358583167,-79.89635068019973,-477.0717663993418,-553.1564877647554
15680,2025-05-30,8509080.0,934010.0,484.4,484.7,,10.977,2931195112.616667,484.4,475.2,473.7,471.6,0.9595,11.440333507034914,-6.189395502372852,-31.565656565656354,-189.92568125516084,-220.89182493806757
15680,2026-03-26,4648270.0,469400.0,801.4,791.4,808.3,10.098,5396531846.15,801.4,787.0,797.8,766.8,0.901,11.20754716981132,126.35835228708592,137.22998729351897,-179.68555028699762,-44.92138757175024
16050,2026-05-29,12569800.0,7458500.0,3604.0,3609.0,,59.337,46812808421.666664,3604.0,,,,11.613499999999998,5.109312438110821,-13.854253255749516,,,
16150,2025-02-12,2268100.0,386600.0,391.5,391.8,391.4,17.045,1778014721.1666667,391.5,395.1,399.0,400.8,1.9295,8.833894791396736,-7.656967840735662,98.70918754745661,91.9540229885074,191.57088122605305
16150,2025-04-28,2911400.0,248100.0,369.2,370.5,367.8,8.522,2498565360.0,369.2,373.5,377.0,371.0,1.6095000000000002,5.294812053432743,-35.08771929824572,93.70816599732157,116.4680390032502,211.26760563380253
16150,2025-10-03,2768770.0,263940.0,459.7,458.2,454.2,9.533,1107338714.8333333,459.7,451.7,458.4,457.0,1.7850000000000001,5.340616246498599,32.73679615888314,148.32853663936163,-174.02653904720512,-28.2793125951708
16150,2026-03-02,5142420.0,527450.0,631.9,621.2,,10.257,2519108568.35,631.9,615.1,603.0,564.0,0.9804999999999999,10.46098929117797,172.24726336123598,-196.71598114127775,-265.86485203354937,-457.3508466529508
16150,2026-03-27,4951540.0,1385260.0,587.8,588.6,579.4,27.976,3093678962.8333335,587.8,567.8,574.5,573.5,0.982,28.488798370672097,-13.591573224601694,117.99929552659405,-340.2517863218779,-226.26743790404856
16150,2026-05-29,1927040.0,182620.0,656.1,660.1,654.9,9.477,2621697254.0,656.1,,,,1.354,6.999261447562777,-60.596879260718104,,,
16550,2024-12-18,2678510.0,254840.0,671.3,671.6,670.3,9.514,1543264949.3666666,671.3,656.6,659.1,664.2,2.268,4.1948853615520285,-4.466944609887724,38.07493146512408,-218.97810218977963,-181.73692834798084
16550,2025-01-08,1623850.0,177140.0,678.1,677.2,676.3,10.909,1811188042.6666667,678.1,675.3,675.6,675.2,2.5415,4.292347039150108,13.290017720022362,4.442470013328315,-41.29184486064141,-36.8677186255717
16550,2025-06-05,1054960.0,172420.0,616.3,616.2,614.7,16.344,2155950971.3166666,616.3,615.6,619.7,624.2,1.8375,8.894693877551022,1.6228497241144169,66.60168940870736,-11.358104819080284,55.16793769268391
16550,2025-07-16,2375610.0,589110.0,669.5,669.4,669.7,24.798,1558014334.8333333,669.5,668.8,673.7,678.8,2.2344999999999997,11.097784739315284,1.4938751120419091,73.26555023923653,-10.455563853623007,62.733383121733596
16710,2026-03-09,226350.0,226350.0,4835.0,,,100.0,1375039937.7,4835.0,4485.0,4561.0,4368.0,1.671,59.844404548174744,,169.45373467112557,-723.8883143743535,-566.7011375387798
186A0,2025-02-27,1069500.0,185300.0,795.0,,,17.326,1738594893.3333333,795.0,843.0,832.0,780.0,3.506,4.941814033086138,,-130.48635824436494,603.7735849056603,465.40880503144643
186A0,2025-05-19,3714700.0,437900.0,722.0,720.0,,11.788,3150651753.3333335,722.0,742.0,717.0,707.0,2.8635,4.116640474943251,27.77777777777768,-336.9272237196763,277.00831024930704,-69.25207756232732
186A0,2025-05-26,2263300.0,283100.0,675.0,679.0,676.0,12.508,3257558971.6666665,675.0,681.0,692.0,695.0,2.928,4.271857923497268,-58.9101620029453,161.5271659324513,88.88888888888945,251.851851851852
186A0,2026-05-29,26320900.0,3443700.0,2739.0,2717.0,2805.0,13.084,18548830863.333332,2739.0,,,,2.534,5.163378058405683,80.97165991902911,,,
19110,2025-06-20,3717400.0,1915800.0,4243.0,4267.0,4330.0,51.536,5674064296.666667,1414.3,1424.3,1410.0,1454.3,12.648499999999999,4.074475234217497,-56.245605812046406,-100.40019658779764,-6643.176997407495,-6676.879566344567
19730,2024-12-20,424400.0,164900.0,3310.0,3330.0,3330.0,38.855,2449443441.6666665,3310.0,3290.0,3290.0,3290.0,8.804,4.413334847796456,-60.06006006005982,0.0,-60.42296072507503,-60.42296072507503
19730,2024-12-25,181900.0,140700.0,3290.0,3290.0,3290.0,77.35,2487727820.0,3290.0,3290.0,3290.0,3290.0,9.3915,8.23617100569664,0.0,0.0,0.0,0.0
19730,2024-12-26,437900.0,295400.0,3290.0,3290.0,3290.0,67.458,2503717878.3333335,3290.0,3295.0,3290.0,3295.0,9.662,6.981784309666735,0.0,-15.174506828528056,15.19756838905817,0.0
19730,2025-01-06,459500.0,315800.0,3290.0,3295.0,3295.0,68.727,2534347371.6666665,3290.0,3290.0,3300.0,3300.0,10.658000000000001,6.448395571401764,-15.174506828528056,30.39513677811634,0.0,30.39513677811634
19730,2025-01-16,379000.0,265200.0,3305.0,3305.0,3310.0,69.974,2555582513.3333335,3305.0,3310.0,3305.0,3310.0,11.486,6.092112136514017,0.0,-15.105740181269312,15.128593040847349,0.0
19730,2025-01-17,103300.0,48800.0,3305.0,3310.0,3305.0,47.241,2555633815.0,3305.0,3315.0,3310.0,3300.0,11.613,4.067941100490829,-15.105740181269312,-15.082956259426794,30.257186081694698,15.128593040847349
19730,2025-01-21,56600.0,33200.0,3300.0,,3315.0,58.657,2552173505.0,3300.0,3300.0,3310.0,3320.0,11.8825,4.9364191037239635,,30.303030303029388,0.0,30.303030303029388
19800,2025-04-28,1327200.0,906400.0,4035.0,4035.0,,68.294,1169905295.0,1345.0,1346.7,1386.7,1376.7,14.032,4.867018244013683,0.0,297.0223509319081,-6662.453531598513,-6563.320941759603
19800,2026-03-19,1271600.0,657500.0,2965.0,2952.0,,51.707,1849388460.0,2965.0,2815.0,2758.0,2852.0,12.302499999999998,4.202966876651088,44.037940379404446,-202.48667850799262,-505.90219224283305,-698.1450252951093
202A0,2026-01-28,400200.0,56200.0,3540.0,3545.0,3540.0,14.043,2334030036.6666665,3540.0,3540.0,3540.0,3540.0,2.246,6.252448797862867,-14.104372355430161,0.0,0.0,0.0
202A0,2026-01-29,202800.0,27500.0,3540.0,3545.0,3545.0,13.56,2336266911.6666665,3540.0,3540.0,3540.0,3540.0,2.2584999999999997,6.003984945760461,-14.104372355430161,0.0,0.0,0.0
202A0,2026-01-30,132100.0,21400.0,3540.0,3540.0,3545.0,16.2,2339943245.0,3540.0,3540.0,3540.0,3545.0,2.271,7.133421400264201,0.0,0.0,0.0,0.0
202A0,2026-02-02,142600.0,48900.0,3540.0,3545.0,3540.0,34.292,2342492321.6666665,3540.0,3545.0,3545.0,3540.0,2.3235,14.758769098343016,-14.104372355430161,0.0,14.124293785311437,14.124293785311437
202A0,2026-02-03,155400.0,61800.0,3545.0,3545.0,3540.0,39.768,2320103345.0,3545.0,3540.0,3540.0,3540.0,2.376,16.737373737373737,0.0,0.0,-14.104372355430161,-14.104372355430161
202A0,2026-02-04,68300.0,14800.0,3540.0,3545.0,3540.0,21.669,2292273680.0,3540.0,3540.0,3540.0,3545.0,2.3884999999999996,9.072221059242203,-14.104372355430161,0.0,0.0,0.0
202A0,2026-02-05,119500.0,22400.0,3540.0,3545.0,3545.0,18.745,2280878985.0,3540.0,3540.0,3545.0,3545.0,2.401,7.807163681799252,-14.104372355430161,14.124293785311437,0.0,14.124293785311437
202A0,2026-02-06,62900.0,16200.0,3545.0,3545.0,3545.0,25.755,2273855288.3333335,3545.0,3545.0,3545.0,3540.0,2.4245,10.622808826562176,0.0,0.0,0.0,0.0
202A0,2026-02-09,104700.0,21700.0,3545.0,3545.0,3540.0,20.726,2272927675.0,3545.0,3545.0,3540.0,3545.0,2.448,8.466503267973856,0.0,-14.104372355430161,0.0,-14.104372355430161
202A0,2026-02-10,68900.0,32400.0,3540.0,3540.0,3545.0,47.025,2268930391.6666665,3540.0,3545.0,3545.0,3540.0,2.448,19.209558823529413,0.0,0.0,14.124293785311437,14.124293785311437
202A0,2026-02-12,80500.0,33600.0,3545.0,3545.0,3545.0,41.739,2259450106.6666665,3545.0,3540.0,3540.0,3545.0,2.448,17.050245098039216,0.0,0.0,-14.104372355430161,-14.104372355430161
202A0,2026-02-13,53800.0,14400.0,3540.0,,3545.0,26.766,2222499831.6666665,3540.0,3545.0,3545.0,3545.0,2.46,10.880487804878047,,0.0,14.124293785311437,14.124293785311437
202A0,2026-02-16,82600.0,11800.0,3545.0,3545.0,3540.0,14.286,2217199681.6666665,3545.0,3545.0,3545.0,3545.0,2.472,5.7791262135922326,0.0,0.0,0.0,0.0
202A0,2026-02-17,60500.0,11000.0,3545.0,3545.0,3545.0,18.182,2209533896.6666665,3545.0,3540.0,3545.0,3545.0,2.5060000000000002,7.255387071029528,0.0,14.124293785311437,-14.104372355430161,0.0
202A0,2026-02-18,45500.0,25000.0,3545.0,3545.0,3545.0,54.945,2203557886.6666665,3545.0,3545.0,3545.0,3540.0,2.54,21.631889763779526,0.0,0.0,0.0,0.0
202A0,2026-02-19,26900.0,6900.0,3545.0,,3540.0,25.651,2193727756.6666665,3545.0,3540.0,3540.0,3545.0,2.566,9.996492595479346,,0.0,-14.104372355430161,-14.104372355430161
202A0,2026-02-20,30800.0,11500.0,3540.0,3540.0,3540.0,37.338,2180569151.6666665,3540.0,3545.0,3545.0,3545.0,2.592,14.405092592592592,0.0,0.0,14.124293785311437,14.124293785311437
202A0,2026-02-26,29400.0,8500.0,3545.0,3545.0,3545.0,28.912,2165476038.3333335,3545.0,3545.0,3545.0,3545.0,2.62,11.035114503816793,0.0,0.0,0.0,0.0
202A0,2026-03-03,88900.0,9500.0,3545.0,3545.0,3550.0,10.686,2099067305.0,3545.0,3545.0,3550.0,3545.0,2.648,4.035498489425982,0.0,14.104372355430161,0.0,14.104372355430161
202A0,2026-03-04,18400.0,2800.0,3550.0,,3545.0,15.217,2087287880.0,3550.0,3550.0,3545.0,3545.0,2.6765,5.685410050439007,,-14.084507042253502,0.0,-14.084507042253502
202A0,2026-03-05,22300.0,5900.0,3545.0,3545.0,3550.0,26.457,2029014088.3333333,3545.0,3545.0,3545.0,3520.0,2.705,9.780776340110906,0.0,0.0,0.0,0.0
