p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
7267.T,7269.T,304,0.5574316007185627,0.3421709062845879,0.2118015346289932,0.42968677817454437,0.4259616089717928,1.5283096425826826e-14,0.06357318449889332,自動車
7203.T,7269.T,304,0.5743775654867589,0.7397891588648982,0.5575423842831487,0.777396145503339,0.4198861050109332,2.6122379113614538e-14,0.07690431132076116,自動車
7270.T,7261.T,304,0.7798522036557253,0.633116706796788,0.6686163375949127,0.8537659234517609,0.47108311419854343,5.291089204200417e-15,0.07965036996640179,自動車
7267.T,7261.T,304,0.7454169497075175,0.2509897510559217,0.6684978907035513,0.8707071278215831,0.41277063460460456,-7.838758881761303e-15,0.06873043485830671,自動車
7203.T,7267.T,304,0.7976431774406083,0.4613845819330342,0.7809900759105539,0.9163259328455727,0.39778076616590324,-8.601306801306476e-15,0.11490394731712748,自動車
7203.T,7270.T,304,0.7461891094704123,0.6132405698130676,0.8556475370988708,0.9496456445647787,0.42464809413905874,1.3170751039500542e-14,0.09658383443751249,自動車
8002.T,8031.T,304,0.7911593523316681,1.1185161738244331,0.016412698877860565,0.0602145060719386,0.5000056978226112,-7.856288718992225e-15,0.06869499420631109,商社
8015.T,8053.T,304,0.7140077818016003,1.4681599870781465,0.07260069883374441,0.19497375839554165,0.36379739361970836,-5.498525611433012e-15,0.06781083541766539,商社
8002.T,8015.T,304,0.7461396398522737,0.9185316301230786,0.08019831859533316,0.20938051491033555,0.3745696314553934,-1.511948461167154e-14,0.04621776348573873,商社
8053.T,8058.T,304,0.7490935088158486,0.8870256216192673,0.1481919476840859,0.23864587817222865,0.5955472010323389,1.5659987926291681e-15,0.07409789938210336,商社
8031.T,8053.T,304,0.8089728098959834,1.1789957528541763,0.10628070341551094,0.2580695980280142,0.5739501500201389,9.889749837779355e-15,0.06574230179601517,商社
8031.T,8058.T,304,0.7859260975100105,1.1086480270957693,0.07560888760502825,0.3550137570594185,0.5178157747886821,5.162537064506978e-15,0.06329950663702909,商社
8002.T,8053.T,304,0.8327084905790477,1.3696639465438687,0.21267364658891008,0.42899761134120024,0.3634103407800716,2.135426338680334e-14,0.055230273598694486,商社
8015.T,8031.T,304,0.6845150246816485,1.1857157955878586,0.21373673766482615,0.4352959314409596,0.45994374547930167,9.752432779470454e-15,0.09444003966529882,商社
8001.T,8031.T,304,0.13326304839047967,-0.7771183109434348,0.2890635359062195,0.5296102241703343,0.49097298058773353,1.8686806488164478e-14,0.7103173813583004,商社
8001.T,8058.T,304,0.13464370150023688,-0.8859139707046718,0.29648937251234214,0.5383141461574913,0.4935915133198597,-9.26744061608157e-15,0.7102617736453775,商社
8001.T,8002.T,304,0.11177683848253436,-0.6639930677959384,0.29954315662531833,0.5418886358539976,0.4871704951096343,-2.160844602665173e-14,0.7116564184066341,商社
8001.T,8053.T,304,0.14641637802873422,-0.8945953663213025,0.30232785530767275,0.5450316151779583,0.48312885732305105,5.294010843738904e-15,0.7135714213217121,商社
8015.T,8058.T,304,0.6558542226875835,1.347776488230505,0.3310953147233917,0.5773622540400314,0.4998348322303858,-1.074579022255612e-14,0.09674180148738949,商社
8001.T,8015.T,304,0.12321070830105617,-0.4440962119076418,0.33323801307738604,0.579394057423503,0.49253536292522165,2.804773956947764e-15,0.7264045860555337,商社
8002.T,8058.T,304,0.7854138178863761,1.2749626765874866,0.3371173000549853,0.5831950353588268,0.5402030766456178,2.252584084173673e-15,0.06765334896976818,商社
8001.T,8267.T,304,0.03459934617785696,0.19640303418020338,0.36382453381484536,0.6111761655582224,0.5000416327892722,-2.029955151340944e-14,0.7404654970549003,商社
8053.T,8267.T,304,0.15593292512753731,0.7623045568649192,0.8594404569844276,0.9511823276920461,0.47364763864911547,-9.156418313619054e-15,0.13349232186041038,商社
8015.T,8267.T,304,0.19475800432696774,1.2042095551616896,0.9120236218995943,0.9675527407940021,0.4328759343757442,-1.200209522410564e-14,0.17748901133077605,商社
8058.T,8267.T,304,0.21216787016539718,0.7268962934317853,0.9434793849229932,0.9812513402232514,0.512351208357365,-3.517654004338654e-15,0.16707384445851062,商社
8002.T,8267.T,304,0.1304419822787272,1.0372917834088842,0.9572170660966679,0.9849453533920485,0.48528988917971494,-7.257352613602339e-15,0.19314837387677017,商社
8031.T,8267.T,304,0.13181802640073464,0.8303248369944729,0.9569430187501539,0.9853028038024938,0.5082283359339772,-5.071966238813873e-15,0.18969693812773458,商社
