trade_date,bps
2015-12-24,0.0
2015-12-25,0.0
2015-12-28,0.0
2015-12-29,-10.85472498571027
2015-12-30,-46.28528400539069
2016-01-04,0.0
2016-01-05,6.504979868037997
2016-01-06,16.02835736595715
2016-01-07,0.0
2016-01-08,8.46541315824229
2016-01-12,36.21418112555188
2016-01-13,15.809359751461885
2016-01-14,63.31630332036174
2016-01-15,0.0
2016-01-18,0.0
2016-01-19,29.205782781102798
2016-01-20,12.619884413979012
2016-01-21,10.214820392723315
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,23.773319549631115
2016-01-27,0.0
2016-01-28,22.055685537524322
2016-01-29,22.571197622426794
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,10.609357079803763
2016-02-05,-42.11167470620089
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-12,0.0
2016-02-15,10.456186190620766
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,-15.712881736922403
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-22,-12.719724161745246
2016-03-23,37.64919144656686
2016-03-24,0.0
2016-03-25,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,-7.752298620848986
2016-03-31,0.0
2016-04-01,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,-28.0479746165791
2016-04-11,0.0
2016-04-12,26.920948220526416
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-18,22.644626833180226
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-25,0.0
2016-04-26,0.2095695648419527
2016-04-27,-0.32427675371132936
2016-04-28,0.0
2016-05-02,31.631710733749642
2016-05-06,0.0
2016-05-09,11.207906145026335
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,98.29958746753745
2016-05-16,0.0
2016-05-17,2.3692623076214114
2016-05-18,0.0
2016-05-19,-43.27242233927165
2016-05-20,4.734239254756508
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,-52.89149387611778
2016-05-26,0.0
2016-05-27,0.5495256196843885
2016-05-30,11.996872394884997
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.835379869504044
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,-20.643071377630932
2016-06-10,14.793753161446435
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,0.0
2016-06-21,-36.08202862208254
2016-06-22,-0.9655345065802083
2016-06-23,0.0
2016-06-24,0.0
2016-06-27,0.0
2016-06-28,-23.574973577958573
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-04,0.0
2016-07-05,17.49590610688314
2016-07-06,0.0
2016-07-07,8.380473535070287
2016-07-08,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,25.457310047702254
2016-07-14,0.0
2016-07-15,0.0
2016-07-19,0.0
2016-07-20,-9.362064687942567
2016-07-21,0.0
2016-07-22,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,-4.8751264769038585
2016-08-01,0.0
2016-08-02,-29.700026311014636
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,13.231722221202466
2016-08-12,6.227631719341002
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,9.854096785035088
2016-08-25,0.0
2016-08-26,0.0
2016-08-29,12.336813610723773
2016-08-30,4.844016261498749
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,-5.2564905340309025
2016-09-15,0.0
2016-09-16,0.0
2016-09-20,-6.365021199686359
2016-09-21,0.0
2016-09-23,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,-19.82078997038926
2016-09-29,0.0
2016-09-30,0.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.4279697560588355
2016-10-11,0.0
2016-10-12,3.584820225967527
2016-10-13,41.51162599388877
2016-10-14,0.0
2016-10-17,-21.499533120979525
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,23.421740488371658
2016-10-28,10.303563638848894
2016-10-31,0.0
2016-11-01,-13.169874973820628
2016-11-02,0.0
2016-11-04,-26.154236223905503
2016-11-07,14.368659702582622
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,45.53549775879941
2016-11-11,0.0
2016-11-14,-40.91816011247354
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-24,0.0
2016-11-25,-39.42913684603056
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,-0.3106086629338244
2016-12-01,0.0
2016-12-02,1.473230563104408
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-12,-2.150936687246885
2016-12-13,0.0
2016-12-14,-11.836645788403304
2016-12-15,0.0
2016-12-16,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,56.590151676013846
2016-12-26,22.560663619176932
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2017-01-04,-5.024296052651504
2017-01-05,0.0
2017-01-06,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,-4.297608940949071
2017-01-13,0.0
2017-01-16,0.0
2017-01-17,-21.624672673731286
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,-7.241828920651035
2017-01-30,15.82852621370107
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,-5.156591635992835
2017-02-03,0.8357377503393381
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,18.933724967092505
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,-7.876922449709895
2017-02-20,0.0
2017-02-21,45.91137490393763
2017-02-22,0.0
2017-02-23,9.037499671790878
2017-02-24,0.0
2017-02-27,14.184879217799734
2017-02-28,87.35472329410035
2017-03-01,-2.8981085823794253
2017-03-02,0.0
2017-03-03,0.0
2017-03-06,2.0957763422260123
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,2.5882515517785345
2017-03-27,16.806264165028143
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,5.44510630268015
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,22.132933114133746
2017-04-10,0.5261650881144304
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-17,-12.521379669934502
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,-26.482724819070167
2017-04-21,0.0
2017-04-24,0.0
2017-04-25,-30.855226052622722
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-05-01,0.0
2017-05-02,-4.305868918591718
2017-05-08,0.0
2017-05-09,25.426812033349037
2017-05-10,16.218089641139965
2017-05-11,0.0
2017-05-12,11.393009238377116
2017-05-15,-18.42407626648266
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-22,0.0
2017-05-23,-35.42928774706925
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,40.40925823203233
2017-05-29,0.0
2017-05-30,21.48493055394814
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,-3.2973125314195317
2017-06-15,-21.314406661439435
2017-06-16,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,4.624461533560778
2017-06-29,7.706544607658884
2017-06-30,0.0
2017-07-03,0.0
2017-07-04,-3.710911642731639
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,11.760734898878301
2017-07-12,37.87645429683047
2017-07-13,0.0
2017-07-14,0.0
2017-07-18,5.146380457092285
2017-07-19,10.935804210324672
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,24.743930696286
2017-07-31,0.0
2017-08-01,-0.19083293033259002
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,-5.266832655264068
2017-08-10,0.0
2017-08-14,0.0
2017-08-15,-18.162486769322637
2017-08-16,50.533560958174455
2017-08-17,28.005435332712157
2017-08-18,0.0
2017-08-21,6.4140984870047175
2017-08-22,62.15930977251417
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,-21.172601118913203
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,-10.905734086641809
2017-09-22,-6.820416084324239
2017-09-25,0.4616312508244385
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,55.57471377327728
2017-09-29,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,-5.297134996647097
2017-10-26,0.0
2017-10-27,-21.117790424350634
2017-10-30,25.931819514954736
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,33.48635751838947
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,46.33406657569984
2017-11-09,0.0
2017-11-10,0.0
2017-11-13,0.0
2017-11-14,-46.26820991875478
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,-8.289788412212879
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,10.55455182792419
2017-11-24,7.061431097066798
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,0.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,9.754168696822699
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-18,0.0
2017-12-19,5.7130791439726885
2017-12-20,7.140543054492227
2017-12-21,0.0
2017-12-22,-20.42176661989287
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,-30.895099280699135
2018-01-12,-101.62016891169684
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,5.087413735019939
2018-01-22,-4.188155967923922
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
