pair,p1,p2,ez,zw,hd,n,mean,sharpe,t,wr,pf,avg_hold,mr,stop,time,h1_sh,h2_sh,h1_mean,h2_mean,h1_n,h2_n
ビール: アサヒ/キリン,2502.T,2503.T,2.5,60,30,34,25.038050483139212,0.31973512827210215,0.5186171177769903,50.0,1.261035297109709,19.5,16,6,12,-0.6527587466140922,1.3528264351908132,-50.13967664579624,100.21577761207469,17,17
自動車: トヨタ/ホンダ,7203.T,7267.T,1.5,20,30,97,38.03687011280274,0.3050397552768919,0.8507152324797076,51.546391752577314,1.3067574342124013,20.20618556701031,65,0,32,0.2819029668432326,0.3407972427004432,22.015269714223454,53.73149907467633,48,49
自動車: トヨタ/マツダ,7203.T,7261.T,2.0,20,10,95,15.83675752686238,0.28358961479871436,0.5329482685938799,53.68421052631579,1.1461753486715178,9.368421052631579,19,0,76,-0.21059453229807007,0.6237443033768769,-9.313087893577714,40.462647834376625,47,48
自動車: スバル/スズキ,7270.T,7269.T,2.5,40,10,38,20.088286422162525,0.2638500176177054,0.30827341849095474,60.526315789473685,1.1441946986165121,9.052631578947368,10,1,27,0.43309174877261464,0.025362971602602393,38.61204117808728,1.564531666237735,19,19
半導体: ディスコ/ローツェ,6146.T,6323.T,2.0,40,10,81,22.780717117058522,0.22520494951572168,0.3957012837626877,55.55555555555556,1.1228558776378466,9.604938271604938,10,1,70,0.4154266612541704,0.05310920320146168,40.43142820147027,5.560511181047038,40,41
医薬: 武田/第一三共,4502.T,4568.T,1.5,40,30,72,6.393882751785248,0.038738347440740305,0.0981286512305157,47.22222222222222,1.0327438492469136,22.458333333333332,45,3,24,-0.5451106894825046,0.5390119483303374,-81.43931015832746,94.22707566189791,36,36
海運: 郵船/商船三井,9101.T,9104.T,2.5,20,20,47,0.5251327065374853,0.013205849876282044,0.022228757673463124,51.06382978723404,1.007927857949399,15.191489361702128,31,0,16,-0.19930126870234555,0.18616912694531973,-7.2424450782338985,7.969061416943394,23,24
銀行: SMFG/みずほ,8316.T,8411.T,2.0,60,20,48,-1.1699758917883802,-0.033369327317484654,-0.06034076159980638,45.83333333333333,0.978255514065782,17.166666666666668,14,4,30,0.40548510433597024,-0.47630519502819346,14.15349383018394,-16.493445613760702,24,24
海運: 郵船/川崎汽船,9101.T,9107.T,1.5,40,10,127,-13.706640527304424,-0.18955323249435635,-0.41877763532285245,44.09448818897638,0.9010035128403743,9.68503937007874,12,3,112,-0.11618870789921801,-0.25518336222851373,-7.942658472807044,-19.380560362200292,63,64
不動産: 三井不/三菱地,8801.T,8802.T,1.5,20,10,163,-11.611131528602002,-0.2333461525130174,-0.5772215822658263,49.079754601226995,0.873474175198848,9.460122699386503,34,0,129,-0.11299723555832855,-0.35196300749155374,-5.611514266603506,-17.53758272642979,81,82
海運: 商船三井/川崎汽船,9104.T,9107.T,1.5,20,10,158,-19.296867941760414,-0.2708861027225522,-0.6591296772691099,47.46835443037975,0.8589670281922374,9.443037974683545,26,0,132,-0.40777955865685506,-0.09592494986295708,-32.73988221975647,-5.85385366376436,79,79
