period,lead,follow,lag,r
IS,部品,AI下流,-5,0.5303679168079019
IS,部品,AI下流,-4,0.5301181632487039
IS,部品,AI下流,-3,0.5302626134454638
IS,部品,AI下流,-2,0.5304446852720076
IS,部品,AI下流,-1,0.5299295902371506
IS,部品,AI下流,0,0.5294995904097564
IS,部品,AI下流,1,0.5299295902371506
IS,部品,AI下流,2,0.5304446852720076
IS,部品,AI下流,3,0.5302626134454638
IS,部品,AI下流,4,0.5301181632487039
IS,部品,AI下流,5,0.5303679168079019
IS,AI下流,上流,-5,0.5507811198127026
IS,AI下流,上流,-4,0.550877685714637
IS,AI下流,上流,-3,0.550821046859269
IS,AI下流,上流,-2,0.5511194270680605
IS,AI下流,上流,-1,0.5505255214312241
IS,AI下流,上流,0,0.5504555002029544
IS,AI下流,上流,1,0.5505255214312241
IS,AI下流,上流,2,0.5511194270680605
IS,AI下流,上流,3,0.550821046859269
IS,AI下流,上流,4,0.550877685714637
IS,AI下流,上流,5,0.5507811198127026
IS,AI下流,装置,-5,0.5005401793367888
IS,AI下流,装置,-4,0.49893544022871417
IS,AI下流,装置,-3,0.49827919200043125
IS,AI下流,装置,-2,0.49857229289309096
IS,AI下流,装置,-1,0.49839197981875094
IS,AI下流,装置,0,0.4981727381032553
IS,AI下流,装置,1,0.49839197981875094
IS,AI下流,装置,2,0.49857229289309096
IS,AI下流,装置,3,0.49827919200043125
IS,AI下流,装置,4,0.49893544022871417
IS,AI下流,装置,5,0.5005401793367888
IS,AI下流,部品,-5,0.5303679168079019
IS,AI下流,部品,-4,0.5301181632487039
IS,AI下流,部品,-3,0.5302626134454638
IS,AI下流,部品,-2,0.5304446852720076
IS,AI下流,部品,-1,0.5299295902371506
IS,AI下流,部品,0,0.5294995904097564
IS,AI下流,部品,1,0.5299295902371506
IS,AI下流,部品,2,0.5304446852720076
IS,AI下流,部品,3,0.5302626134454638
IS,AI下流,部品,4,0.5301181632487039
IS,AI下流,部品,5,0.5303679168079019
OOS,上流,装置,-5,0.7825962660749455
OOS,上流,装置,-4,0.7826845712168851
OOS,上流,装置,-3,0.7827050765068809
OOS,上流,装置,-2,0.7742706008753096
OOS,上流,装置,-1,0.7741041650771106
OOS,上流,装置,0,0.7725081079714653
OOS,上流,装置,1,0.7741041650771106
OOS,上流,装置,2,0.7742706008753096
OOS,上流,装置,3,0.7827050765068809
OOS,上流,装置,4,0.7826845712168851
OOS,上流,装置,5,0.7825962660749455
OOS,上流,部品,-5,0.8085844588861502
OOS,上流,部品,-4,0.8085816209155599
OOS,上流,部品,-3,0.8071960954137998
OOS,上流,部品,-2,0.810605424783334
OOS,上流,部品,-1,0.8103034847576513
OOS,上流,部品,0,0.8107118038625273
OOS,上流,部品,1,0.8103034847576513
OOS,上流,部品,2,0.810605424783334
OOS,上流,部品,3,0.8071960954137998
OOS,上流,部品,4,0.8085816209155599
OOS,上流,部品,5,0.8085844588861502
OOS,上流,AI下流,-5,0.49086671820913075
OOS,上流,AI下流,-4,0.4907932349152119
OOS,上流,AI下流,-3,0.4909060731349887
OOS,上流,AI下流,-2,0.4890436867106389
OOS,上流,AI下流,-1,0.4885172492538946
OOS,上流,AI下流,0,0.4887883730720603
OOS,上流,AI下流,1,0.4885172492538946
OOS,上流,AI下流,2,0.4890436867106389
OOS,上流,AI下流,3,0.4909060731349887
OOS,上流,AI下流,4,0.4907932349152119
OOS,上流,AI下流,5,0.49086671820913075
OOS,装置,上流,-5,0.7825962660749455
OOS,装置,上流,-4,0.7826845712168851
OOS,装置,上流,-3,0.7827050765068809
OOS,装置,上流,-2,0.7742706008753096
OOS,装置,上流,-1,0.7741041650771106
OOS,装置,上流,0,0.7725081079714653
OOS,装置,上流,1,0.7741041650771106
OOS,装置,上流,2,0.7742706008753096
OOS,装置,上流,3,0.7827050765068809
OOS,装置,上流,4,0.7826845712168851
OOS,装置,上流,5,0.7825962660749455
OOS,装置,部品,-5,0.7183051531852731
OOS,装置,部品,-4,0.7178465658051603
OOS,装置,部品,-3,0.7159167126665134
OOS,装置,部品,-2,0.7103014032340549
OOS,装置,部品,-1,0.7097280716119465
OOS,装置,部品,0,0.7087944702512337
OOS,装置,部品,1,0.7097280716119465
OOS,装置,部品,2,0.7103014032340549
OOS,装置,部品,3,0.7159167126665134
OOS,装置,部品,4,0.7178465658051603
OOS,装置,部品,5,0.7183051531852731
OOS,装置,AI下流,-5,0.46919627313686346
OOS,装置,AI下流,-4,0.4687389815134342
OOS,装置,AI下流,-3,0.469058401428147
OOS,装置,AI下流,-2,0.46871281862929237
OOS,装置,AI下流,-1,0.4672276905211605
OOS,装置,AI下流,0,0.46719286129469184
OOS,装置,AI下流,1,0.4672276905211605
OOS,装置,AI下流,2,0.46871281862929237
OOS,装置,AI下流,3,0.469058401428147
OOS,装置,AI下流,4,0.4687389815134342
OOS,装置,AI下流,5,0.46919627313686346
OOS,部品,上流,-5,0.8085844588861502
OOS,部品,上流,-4,0.8085816209155599
OOS,部品,上流,-3,0.8071960954137998
OOS,部品,上流,-2,0.810605424783334
OOS,部品,上流,-1,0.8103034847576513
OOS,部品,上流,0,0.8107118038625273
OOS,部品,上流,1,0.8103034847576513
OOS,部品,上流,2,0.810605424783334
OOS,部品,上流,3,0.8071960954137998
OOS,部品,上流,4,0.8085816209155599
OOS,部品,上流,5,0.8085844588861502
OOS,部品,装置,-5,0.7183051531852731
OOS,部品,装置,-4,0.7178465658051603
OOS,部品,装置,-3,0.7159167126665134
OOS,部品,装置,-2,0.7103014032340549
OOS,部品,装置,-1,0.7097280716119465
OOS,部品,装置,0,0.7087944702512337
OOS,部品,装置,1,0.7097280716119465
OOS,部品,装置,2,0.7103014032340549
OOS,部品,装置,3,0.7159167126665134
OOS,部品,装置,4,0.7178465658051603
OOS,部品,装置,5,0.7183051531852731
OOS,部品,AI下流,-5,0.5275095032399031
OOS,部品,AI下流,-4,0.5276754473248009
OOS,部品,AI下流,-3,0.5257320039717532
OOS,部品,AI下流,-2,0.5243542044078746
OOS,部品,AI下流,-1,0.5243028804054277
OOS,部品,AI下流,0,0.5246810232730986
OOS,部品,AI下流,1,0.5243028804054277
OOS,部品,AI下流,2,0.5243542044078746
OOS,部品,AI下流,3,0.5257320039717532
OOS,部品,AI下流,4,0.5276754473248009
OOS,部品,AI下流,5,0.5275095032399031
OOS,AI下流,上流,-5,0.49086671820913075
OOS,AI下流,上流,-4,0.4907932349152119
OOS,AI下流,上流,-3,0.4909060731349887
OOS,AI下流,上流,-2,0.4890436867106389
OOS,AI下流,上流,-1,0.4885172492538946
OOS,AI下流,上流,0,0.4887883730720603
OOS,AI下流,上流,1,0.4885172492538946
OOS,AI下流,上流,2,0.4890436867106389
OOS,AI下流,上流,3,0.4909060731349887
OOS,AI下流,上流,4,0.4907932349152119
OOS,AI下流,上流,5,0.49086671820913075
OOS,AI下流,装置,-5,0.46919627313686346
OOS,AI下流,装置,-4,0.4687389815134342
OOS,AI下流,装置,-3,0.469058401428147
OOS,AI下流,装置,-2,0.46871281862929237
OOS,AI下流,装置,-1,0.4672276905211605
OOS,AI下流,装置,0,0.46719286129469184
OOS,AI下流,装置,1,0.4672276905211605
OOS,AI下流,装置,2,0.46871281862929237
OOS,AI下流,装置,3,0.469058401428147
OOS,AI下流,装置,4,0.4687389815134342
OOS,AI下流,装置,5,0.46919627313686346
OOS,AI下流,部品,-5,0.5275095032399031
OOS,AI下流,部品,-4,0.5276754473248009
OOS,AI下流,部品,-3,0.5257320039717532
OOS,AI下流,部品,-2,0.5243542044078746
OOS,AI下流,部品,-1,0.5243028804054277
OOS,AI下流,部品,0,0.5246810232730986
OOS,AI下流,部品,1,0.5243028804054277
OOS,AI下流,部品,2,0.5243542044078746
OOS,AI下流,部品,3,0.5257320039717532
OOS,AI下流,部品,4,0.5276754473248009
OOS,AI下流,部品,5,0.5275095032399031
