sym,time,th,N,mean,wr,pf,sharpe,t
5713.T,10:00,120,35,-37.68683981885354,54.285714285714285,0.6707958270686734,-2.221427273973902,-0.8278770652796158
5713.T,11:00,20,201,4.76069881824974,54.22885572139303,1.0895151937799494,0.5043057738188836,0.45039306913613986
5713.T,11:00,30,171,11.020135743534613,55.55555555555556,1.2176130141675274,1.1581989025889112,0.9540715243704029
5713.T,11:00,50,121,3.6753061032489196,55.371900826446286,1.0619503874446785,0.35542380049177047,0.24628554398764935
5713.T,11:00,80,73,-3.3558189040853925,53.42465753424658,0.9528629949238231,-0.2878371865904507,-0.15492020420221783
5713.T,11:00,120,38,6.772256449599282,52.63157894736842,1.0865272572842757,0.5411436681180666,0.2101377651163758
5713.T,11:30,20,195,-3.011792782226797,50.76923076923077,0.9450041403635772,-0.32787840643274013,-0.2884229741880579
5713.T,11:30,30,175,-1.8081600013693262,51.42857142857142,0.9672790167374741,-0.19381973257367696,-0.16151644381139746
5713.T,11:30,50,135,-4.004293865956271,50.37037037037037,0.9325900596484114,-0.4185005369997017,-0.30631102844025687
5713.T,11:30,80,80,-13.118241108884302,47.5,0.8104502154321571,-1.264872061221626,-0.7126746694857906
5713.T,11:30,120,44,-15.004106198309403,45.45454545454545,0.8085328401091892,-1.2916545699768636,-0.5397248977313935
5713.T,13:30,20,206,4.736286189505537,53.398058252427184,1.1514826482494236,0.7734230644196737,0.6992789561191711
5713.T,13:30,30,185,7.582629772226236,54.59459459459459,1.247503647871669,1.207627660245434,1.0347099982318573
5713.T,13:30,50,141,4.813297820507551,52.4822695035461,1.1411502118182775,0.7251881905276053,0.5424503691253261
5713.T,13:30,80,90,11.343783523134727,55.55555555555556,1.3346276290856158,1.5832676744336616,0.9461834103587223
5713.T,13:30,120,51,6.735551449460209,60.78431372549019,1.1763386472447905,0.9216662431889672,0.4146278779876156
5713.T,14:00,20,208,7.494263403253874,52.40384615384615,1.2650689788512985,1.2592959335348621,1.1440873877941462
5713.T,14:00,30,184,6.0644391690413535,51.08695652173913,1.205507151802751,0.9900016582627585,0.8459497436637349
5713.T,14:00,50,139,5.089699149758868,51.798561151079134,1.1669938419206405,0.850854186456432,0.6319202458683344
5713.T,14:00,80,85,3.701310963558207,55.294117647058826,1.108281422590694,0.570808093747967,0.3315120469362658
5713.T,14:00,120,45,2.479624309980008,64.44444444444444,1.0604348843399312,0.3185092688966637,0.13459473188924226
1605.T,9:30,20,164,-7.274543317729696,50.0,0.8531594325559815,-0.9514491088451392,-0.7675509566416017
1605.T,9:30,30,113,-12.05379386690843,46.902654867256636,0.7799454984323465,-1.4803149043521502,-0.9912725115306917
1605.T,9:30,50,67,-2.7013977231641566,50.74626865671642,0.9522311092755823,-0.29331825491901004,-0.15124332742470514
1605.T,9:30,80,28,-10.094679240658383,42.857142857142854,0.8666805173431477,-0.8566204057931427,-0.28554013526438093
