sym,time,th,N,mean,wr,pf,sharpe,t
5713.T,11:00,30,171,-19.02013574353461,41.52046783625731,0.7128534399461669,-1.9989862972584642,-1.6466738999301744
5713.T,11:00,50,121,-11.675306103248918,41.32231404958678,0.8272535532866532,-1.129071035322264,-0.7823726879018639
5713.T,11:00,80,73,-4.6441810959146075,43.83561643835616,0.9356899653757639,-0.3983433131737914,-0.2143969934895101
5713.T,11:00,120,38,-14.77225644959928,44.73684210526316,0.8347596139800246,-1.1803913660106484,-0.4583714422433661
5713.T,11:30,20,195,-4.988207217773202,46.666666666666664,0.910756001625851,-0.5430404917533963,-0.4776934090906341
5713.T,11:30,30,175,-6.191839998630673,45.714285714285715,0.8926063573266416,-0.6637138150189987,-0.5530948458491655
5713.T,11:30,50,135,-3.9957061340437305,47.40740740740741,0.9328324688066163,-0.4176030078629011,-0.305654104377699
5713.T,11:30,80,80,5.118241108884308,48.75,1.0853148448051417,0.4935051984095113,0.2780586787776262
5713.T,11:30,120,44,7.004106198309401,52.27272727272727,1.1045356977918093,0.6029606602403933,0.2519503962194234
5713.T,13:30,20,206,-12.736286189505538,39.32038834951456,0.6861912134264073,-2.0798020009516627,-1.8804220342863713
5713.T,13:30,30,185,-15.58262977222624,38.37837837837838,0.6368224024549752,-2.481726696090492,-2.12637347574654
5713.T,13:30,50,141,-12.81329782050755,41.13475177304964,0.704703795161312,-1.9304960149266963,-1.444036581911346
5713.T,13:30,80,90,-19.343783523134725,36.666666666666664,0.6138320145245839,-2.699838822819711,-1.6134623008129048
5713.T,13:30,120,51,-14.735551449460207,33.33333333333333,0.7055286799174207,-2.016354629260554,-0.9070928303808976
5713.T,14:00,20,208,-15.494263403253871,39.90384615384615,0.6154652367581005,-2.6035731394714436,-2.3653814109504747
5713.T,14:00,30,184,-14.064439169041352,40.21739130434783,0.648728675996167,-2.295977865680803,-1.9618976096853964
5713.T,14:00,50,139,-13.08969914975887,38.84892086330935,0.6738288587642931,-2.1882286149575623,-1.6251738387032237
5713.T,14:00,80,85,-11.701310963558207,37.64705882352941,0.7256976293657734,-1.8045506230689365,-1.048040974551839
5713.T,14:00,120,45,-10.479624309980009,33.33333333333333,0.7852839255243332,-1.3461141931256302,-0.5688370688352853
