sym,time,th,N,mean,wr,pf,sharpe,t
6146.T,9:30,20,88,18.74691357328547,56.81818181818182,1.2470568711962617,1.3854502279967427,0.8187135801049145
6146.T,10:00,5,148,5.0350670189663065,53.37837837837838,1.0779709171325191,0.4665665398197087,0.35755608806183975
6146.T,10:00,10,87,-2.40918750712798,56.32183908045977,0.9645840703806683,-0.2292297602755075,-0.13468845033398164
6146.T,10:00,20,31,-2.2383286917657137,58.06451612903226,0.9642261428930156,-0.23125506961137623,-0.08110952138757552
6146.T,11:00,5,81,8.8672447245836,56.79012345679012,1.1502503908216348,0.8637960067550258,0.48972630372095727
6146.T,11:00,10,34,-34.085612584813,44.11764705882353,0.6075479187624471,-3.187520828243847,-1.1708256262017196
6146.T,11:30,5,66,-6.0542185386583345,51.515151515151516,0.9031960471088393,-0.6585375063042969,-0.3370173133642324
6146.T,13:30,5,47,-10.86793917745682,48.93617021276596,0.8055316306406642,-1.3299602588525177,-0.5743641468255287
6146.T,14:00,5,29,-29.732608759777833,55.172413793103445,0.5030081065739546,-3.7248605835245834,-1.263597479349372
4063.T,9:30,5,155,13.539817474209027,53.5483870967742,1.3514507480632687,1.7681976711114968,1.386744311069165
4063.T,9:30,10,92,30.108732605440736,58.69565217391305,1.823277149355875,3.5863090148450674,2.166912381851179
4063.T,9:30,20,41,14.94495644604164,53.65853658536586,1.2629211117290906,1.4299755623579253,0.5767933884525732
4063.T,10:00,5,92,13.350253720759074,54.347826086956516,1.377988942481283,1.8678625890530132,1.128596156957331
4063.T,10:00,10,32,12.83468432690578,50.0,1.2761417687374925,1.5664975831132086,0.5582187860208633
4063.T,11:00,5,40,-11.893442803631078,45.0,0.7196877883788199,-2.0885799472045736,-0.8321101685936746
4063.T,11:30,5,26,11.433090668729742,50.0,1.387356126538762,1.9413977405057348,0.623592557690822
6963.T,9:30,5,177,13.651332203520248,50.847457627118644,1.2374983348933757,1.1120463833847407,0.9319857344168405
6963.T,9:30,10,136,13.130488823241542,48.529411764705884,1.2064308025265467,0.972911014169406,0.7147304810121244
6963.T,9:30,20,67,17.715714738504335,50.74626865671642,1.2958017899015342,1.3899972675252272,0.716722564402992
6963.T,10:00,5,134,4.98372210358238,47.01492537313433,1.0953139762787736,0.4586309701452926,0.33443791477855134
6963.T,10:00,10,65,9.108364599815724,49.23076923076923,1.1664253312631359,0.7423147708803359,0.3770027432395834
6963.T,11:00,5,71,9.419773735582323,47.88732394366197,1.1817757305075007,0.8544976310144816,0.45356524311521196
6963.T,11:00,10,24,49.40449331426647,41.66666666666667,1.8726363510233224,3.084327284972487,0.9518440649014768
6963.T,11:30,5,67,-3.0340805241934765,38.80597014925373,0.9437238153055925,-0.29414119965346486,-0.1516676613958722
6963.T,13:30,5,34,-33.56523009862707,23.52941176470588,0.4715016584938958,-3.7558191979175928,-1.3795703938113693
6963.T,14:00,5,25,-28.697937124062356,36.0,0.5554988435221068,-3.034936266454681,-0.9559150721392793
8267.T,9:30,5,174,-3.1150871301713696,47.12643678160919,0.9463554325586525,-0.32609315118299775,-0.2709667680470054
8267.T,9:30,10,119,4.693590522979827,48.739495798319325,1.0877243987782017,0.5177857200566054,0.3558142025383134
8267.T,9:30,20,57,-14.62177436147683,42.10526315789473,0.7985641292775799,-1.3960630451072256,-0.6639604163148146
8267.T,10:00,5,105,10.986886063855279,50.476190476190474,1.2298668544498432,1.2552818589519856,0.8102809557528879
8267.T,10:00,10,57,29.87255964806309,54.385964912280706,1.66166751330932,2.957888019604367,1.406756355160363
8267.T,11:00,5,48,-6.151517146613247,47.91666666666667,0.8634872130751304,-0.7568134419547028,-0.33030046521118983
8267.T,11:30,5,26,-7.69125513628819,46.15384615384615,0.8639546442597452,-0.8546781870111719,-0.27452950290444467
8267.T,14:00,5,21,33.85184037848116,76.19047619047619,5.091962486833716,9.257407296158895,2.6723832972176718
9020.T,9:30,5,120,-6.1338587368824244,39.166666666666664,0.8623726875808533,-0.8648809838481156,-0.5968245798837155
9020.T,9:30,10,56,12.184026577963559,42.857142857142854,1.3339926935877602,1.5993113088449087,0.7539225811417118
9020.T,10:00,5,77,-6.92777839929228,42.857142857142854,0.8377143551383599,-1.0822481639261479,-0.598235181632346
9020.T,11:00,5,20,-3.149524573786249,35.0,0.9117630829101037,-0.501173536370909,-0.14118964887373692
7974.T,9:30,5,176,-13.518722601854636,43.18181818181818,0.7571421844971524,-1.6899592491287638,-1.4123173549760792
7974.T,9:30,10,110,1.513133473374838,48.18181818181818,1.02995966438971,0.17800984429007238,0.11760887412965483
7974.T,9:30,20,41,-17.477079324654248,48.78048780487805,0.6919130262830521,-2.2196039384848354,-0.8952970319229103
7974.T,10:00,5,110,-9.753286002129242,40.909090909090914,0.7863965711169535,-1.5400818804603,-1.0175128052652258
7974.T,10:00,10,62,-0.5828017608351452,43.54838709677419,0.9866183342792504,-0.08738800603186962,-0.043345838080819696
7974.T,11:00,5,47,-10.95504104560826,48.93617021276596,0.7887397049991359,-1.466900770936019,-0.6335040495896559
7974.T,11:30,5,47,-18.686794823923602,48.93617021276596,0.6258270931193044,-2.909717319974131,-1.2566069511222386
7974.T,13:30,5,23,-12.897508447539993,52.17391304347826,0.5655070291861883,-3.369978362298546,-1.018100756182433
6758.T,9:30,5,161,-13.873719740340652,48.4472049689441,0.7537218134043546,-1.6608749795192352,-1.3275460971766193
6758.T,9:30,10,90,-18.054438168243866,51.11111111111111,0.7066840838903282,-2.0154487083288704,-1.2044609784203575
6758.T,9:30,20,29,-58.13372384325545,41.37931034482759,0.3205942889834443,-5.562578456877166,-1.8870129389224473
