sym,break_dir,persist,hold,N,mean,wr,pf,sharpe,t
9101.T,down,30,60,190,-5.140400424675996,40.526315789473685,0.7318465258001186,-1.3649834673581407,-1.1852335088573278
9101.T,up,30,120,187,9.380823227192336,51.33689839572193,1.7197034331755985,2.3968713588600123,2.0647394644656165
9101.T,down,30,120,190,-4.240829199146883,39.473684210526315,0.8107145692285805,-0.9968123048134858,-0.8655455351359659
9101.T,up,60,30,99,5.104006858850102,47.474747474747474,1.7114994502817469,2.5990134924338304,1.629017917032749
9101.T,down,60,30,103,0.3255252474498028,44.66019417475729,1.0230563269908861,0.101721581389454,0.06503264907740405
9101.T,up,60,60,99,7.599554735082127,44.44444444444444,1.7475501332260952,2.7177889016293517,1.7034643445890791
9101.T,down,60,60,103,-0.2586415403202321,39.80582524271845,0.9849917853862641,-0.07334485984509839,-0.04689084132182179
9101.T,up,60,120,99,11.074403208558612,54.54545454545454,2.155827721549332,4.182187326432104,2.6213246322031702
9101.T,down,60,120,103,-0.26559084566487906,35.92233009708738,0.9862666100414283,-0.06494313543300206,-0.041519450237711426
9104.T,up,20,30,258,-3.6643044559571405,41.08527131782946,0.7380712868430036,-1.346372066943055,-1.3623060188144054
9104.T,down,20,30,252,-1.9713457800411727,42.06349206349206,0.8457543446954607,-0.7783729771252799,-0.7783729771252799
9104.T,up,20,60,258,-1.05702623759329,41.86046511627907,0.9371480047733814,-0.3140196809949892,-0.31773601959594633
9104.T,down,20,60,252,0.6810567515620208,44.84126984126984,1.0418572331704066,0.18928603387916437,0.18928603387916437
9104.T,up,20,120,258,-4.979264877935499,43.02325581395349,0.7921590589224992,-1.1532290708592967,-1.1668772272366315
9104.T,down,20,120,252,-1.487727803398561,45.63492063492063,0.9233225919480982,-0.3951285829475434,-0.3951285829475434
9104.T,up,30,30,204,-3.827884721694336,40.19607843137255,0.7042358554847766,-1.8252209656355827,-1.6422159353943613
9104.T,down,30,30,189,-2.8219739969408253,42.32804232804233,0.788045272291298,-1.0653596599441446,-0.92262852967878
9104.T,up,30,60,204,-0.16747232185568706,44.11764705882353,0.9890211031383008,-0.05842579066630024,-0.05256775276893788
9104.T,down,30,60,189,-1.0084466649953165,44.97354497354497,0.9387836791884228,-0.28357017916178334,-0.245578978909809
9104.T,up,30,120,204,-5.068786072600116,44.11764705882353,0.7774993606630648,-1.3327615895862583,-1.1991327963614122
9104.T,down,30,120,189,-3.8013897877831933,44.44444444444444,0.8059795350221917,-1.0967693956688256,-0.9498301587425094
9104.T,up,60,30,108,-2.8396177033939325,38.88888888888889,0.7876281988007037,-1.1585489164658727,-0.7584483008591332
9104.T,down,60,30,87,-4.6550045725829445,37.93103448275862,0.6388647433205182,-2.3524659718802052,-1.3822376110115546
9104.T,up,60,60,108,-1.1394158680519193,44.44444444444444,0.925142957561552,-0.4239467235750271,-0.27753827877301157
9104.T,down,60,60,87,-2.454981672766005,40.229885057471265,0.8574425036754896,-0.673263587766953,-0.39558925155983116
9104.T,up,60,120,108,-0.6534073592333058,47.22222222222222,0.964955612408976,-0.20451845762513784,-0.13388875901183037
9104.T,down,60,120,87,-4.347663644168936,42.5287356321839,0.752764539466133,-1.3717293245528301,-0.8059865210330661
9107.T,up,20,30,248,-1.5542740593094153,46.774193548387096,0.885605036411756,-0.3993380666597019,-0.39615603932252097
9107.T,down,20,30,267,-5.259967549152205,37.82771535580524,0.6289179167411223,-2.4920965566307456,-2.5651940589215125
9107.T,up,20,60,248,-0.4890784792956085,47.17741935483871,0.9704918551162562,-0.11248678490684501,-0.11159046157949692
9107.T,down,20,60,267,-6.67112564701074,39.70037453183521,0.6410783544443425,-2.269291517328558,-2.3358537624570563
9107.T,up,20,120,248,0.2183034907031104,46.774193548387096,1.011679806336792,0.053550662496250394,0.0531239571901108
9107.T,down,20,120,267,-7.08755218750747,40.074906367041194,0.6979705665499619,-1.8759498849678033,-1.9309747397026418
9107.T,up,30,30,189,-2.847772339274918,46.03174603174603,0.7988166172037053,-0.6719556439709314,-0.5819306578951584
9107.T,down,30,30,192,-6.765327513195598,35.9375,0.5451429596459672,-3.2132848301872126,-2.8047849454830898
9107.T,up,30,60,189,-2.4360880620260015,47.61904761904761,0.8680861420145414,-0.5132449164425035,-0.4444831360024295
9107.T,down,30,60,192,-7.78423613725827,38.02083333333333,0.6090643093620436,-2.5333110036710034,-2.2112551301308425
